preamble,stimulus,item,category,rank,score,params,model
A doll,is a toy.,doll,toy,1,-11.43438720703125,81913344,distilgpt2
A top,is a toy.,top,toy,2,-21.98470687866211,81913344,distilgpt2
A jack-in-the-box,is a toy.,jack-in-the-box,toy,3,-15.198295593261719,81913344,distilgpt2
A toy soldier,is a toy.,toy soldier,toy,4,-17.373844146728516,81913344,distilgpt2
A yo-yo,is a toy.,yo-yo,toy,5,-12.616989135742188,81913344,distilgpt2
A block,is a toy.,block,toy,6,-18.347267150878906,81913344,distilgpt2
Marbles,are toys.,marbles,toy,7,-16.383506774902344,81913344,distilgpt2
A rattle,is a toy.,rattle,toy,8,-15.574954986572266,81913344,distilgpt2
A stuffed animal,is a toy.,stuffed animal,toy,9,-12.71017074584961,81913344,distilgpt2
A water pistol,is a toy.,water pistol,toy,10,-12.621036529541016,81913344,distilgpt2
A teddy bear,is a toy.,teddy bear,toy,11,-11.231147766113281,81913344,distilgpt2
A rocking horse,is a toy.,rocking horse,toy,12,-13.731281280517578,81913344,distilgpt2
A doll house,is a toy.,doll house,toy,13,-16.433143615722656,81913344,distilgpt2
A ball,is a toy.,ball,toy,14,-13.181221008300781,81913344,distilgpt2
Jacks,are toys.,jacks,toy,15,-15.005306243896484,81913344,distilgpt2
Paper dolls,are toys.,paper dolls,toy,16,-10.77032470703125,81913344,distilgpt2
An erector set,is a toy.,erector set,toy,17,-15.55133056640625,81913344,distilgpt2
A hula hoop,is a toy.,hula hoop,toy,18,-13.522285461425781,81913344,distilgpt2
A jump rope,is a toy.,jump rope,toy,19,-15.735980987548828,81913344,distilgpt2
A pogo stick,is a toy.,pogo stick,toy,20,-12.481727600097656,81913344,distilgpt2
A clay,is a toy.,clay,toy,21,-18.908737182617188,81913344,distilgpt2
A wagon,is a toy.,wagon,toy,22,-13.504158020019531,81913344,distilgpt2
A kite,is a toy.,kite,toy,23,-13.964176177978516,81913344,distilgpt2
A train,is a toy.,train,toy,24,-16.912986755371094,81913344,distilgpt2
A tricycle,is a toy.,tricycle,toy,25,-13.668384552001953,81913344,distilgpt2
A coloring book,is a toy.,coloring book,toy,26,-13.605056762695312,81913344,distilgpt2
Crayons,are toys.,crayons,toy,27,-13.851802825927734,81913344,distilgpt2
A truck,is a toy.,truck,toy,28,-17.727550506591797,81913344,distilgpt2
A puzzle,is a toy.,puzzle,toy,29,-15.118770599365234,81913344,distilgpt2
A fire engine,is a toy.,fire engine,toy,30,-16.929683685302734,81913344,distilgpt2
A balloon,is a toy.,balloon,toy,31,-13.92159652709961,81913344,distilgpt2
Skates,are toys.,skates,toy,32,-14.015937805175781,81913344,distilgpt2
A baseball,is a toy.,baseball,toy,33,-17.242828369140625,81913344,distilgpt2
A drum,is a toy.,drum,toy,34,-16.53716278076172,81913344,distilgpt2
A football,is a toy.,football,toy,35,-18.10485076904297,81913344,distilgpt2
A game,is a toy.,game,toy,36,-15.605903625488281,81913344,distilgpt2
A swing,is a toy.,swing,toy,37,-17.976184844970703,81913344,distilgpt2
A boat,is a toy.,boat,toy,38,-16.323009490966797,81913344,distilgpt2
A monopoly,is a toy.,monopoly,toy,39,-17.468719482421875,81913344,distilgpt2
A sled,is a toy.,sled,toy,40,-14.068309783935547,81913344,distilgpt2
A seesaw,is a toy.,seesaw,toy,41,-14.83987808227539,81913344,distilgpt2
Stilts,are toys.,stilts,toy,42,-14.264171600341797,81913344,distilgpt2
Checkers,are toys.,checkers,toy,43,-16.673198699951172,81913344,distilgpt2
A bat,is a toy.,bat,toy,44,-11.974987030029297,81913344,distilgpt2
A car,is a toy.,car,toy,45,-14.417865753173828,81913344,distilgpt2
An airplane,is a toy.,airplane,toy,46,-15.708663940429688,81913344,distilgpt2
A bicycle,is a toy.,bicycle,toy,47,-13.428409576416016,81913344,distilgpt2
A tractor,is a toy.,tractor,toy,48,-16.845848083496094,81913344,distilgpt2
A sandbox,is a toy.,sandbox,toy,49,-15.831428527832031,81913344,distilgpt2
A bike,is a toy.,bike,toy,50,-14.095252990722656,81913344,distilgpt2
A bow and arrow,is a toy.,bow and arrow,toy,51,-14.8131103515625,81913344,distilgpt2
A rope,is a toy.,rope,toy,52,-15.62093734741211,81913344,distilgpt2
Dishes,are toys.,dishes,toy,53,-15.122108459472656,81913344,distilgpt2
Cards,are toys.,cards,toy,54,-13.68136978149414,81913344,distilgpt2
A mitt,is a toy.,mitt,toy,55,-13.467086791992188,81913344,distilgpt2
A horse,is a toy.,horse,toy,56,-13.175048828125,81913344,distilgpt2
A gun,is a toy.,gun,toy,57,-12.063255310058594,81913344,distilgpt2
Animals,are toys.,animals,toy,58,-12.82781982421875,81913344,distilgpt2
A tennis racket,is a toy.,tennis racket,toy,59,-12.627098083496094,81913344,distilgpt2
Books,are toys.,books,toy,60,-15.523544311523438,81913344,distilgpt2
A robin,is a bird.,robin,bird,1,-14.444015502929688,81913344,distilgpt2
A sparrow,is a bird.,sparrow,bird,2,-10.414009094238281,81913344,distilgpt2
A bluejay,is a bird.,bluejay,bird,3,-12.481060028076172,81913344,distilgpt2
A bluebird,is a bird.,bluebird,bird,4,-10.098129272460938,81913344,distilgpt2
A canary,is a bird.,canary,bird,5,-14.051513671875,81913344,distilgpt2
A blackbird,is a bird.,blackbird,bird,6,-10.016178131103516,81913344,distilgpt2
A dove,is a bird.,dove,bird,7,-10.844917297363281,81913344,distilgpt2
A lark,is a bird.,lark,bird,8,-12.430622100830078,81913344,distilgpt2
A swallow,is a bird.,swallow,bird,9,-11.921943664550781,81913344,distilgpt2
A parakeet,is a bird.,parakeet,bird,10,-13.282917022705078,81913344,distilgpt2
An oriole,is a bird.,oriole,bird,11,-11.685798645019531,81913344,distilgpt2
A mockingbird,is a bird.,mockingbird,bird,12,-11.184810638427734,81913344,distilgpt2
A redbird,is a bird.,redbird,bird,13,-9.644214630126953,81913344,distilgpt2
A wren,is a bird.,wren,bird,14,-14.426376342773438,81913344,distilgpt2
A finch,is a bird.,finch,bird,15,-12.433307647705078,81913344,distilgpt2
A starling,is a bird.,starling,bird,16,-13.68582534790039,81913344,distilgpt2
A cardinal,is a bird.,cardinal,bird,17,-14.581703186035156,81913344,distilgpt2
An eagle,is a bird.,eagle,bird,18,-8.71706771850586,81913344,distilgpt2
A hummingbird,is a bird.,hummingbird,bird,19,-10.684127807617188,81913344,distilgpt2
A seagull,is a bird.,seagull,bird,20,-11.424213409423828,81913344,distilgpt2
A woodpecker,is a bird.,woodpecker,bird,21,-11.695075988769531,81913344,distilgpt2
A pigeon,is a bird.,pigeon,bird,22,-8.361827850341797,81913344,distilgpt2
A thrush,is a bird.,thrush,bird,23,-16.000442504882812,81913344,distilgpt2
A falcon,is a bird.,falcon,bird,24,-9.948921203613281,81913344,distilgpt2
A crow,is a bird.,crow,bird,25,-9.595844268798828,81913344,distilgpt2
A hawk,is a bird.,hawk,bird,26,-9.25448226928711,81913344,distilgpt2
A raven,is a bird.,raven,bird,27,-11.513660430908203,81913344,distilgpt2
A goldfinch,is a bird.,goldfinch,bird,28,-14.364128112792969,81913344,distilgpt2
A parrot,is a bird.,parrot,bird,29,-8.745109558105469,81913344,distilgpt2
A sandpiper,is a bird.,sandpiper,bird,30,-12.112953186035156,81913344,distilgpt2
A pheasant,is a bird.,pheasant,bird,31,-11.779487609863281,81913344,distilgpt2
A catbird,is a bird.,catbird,bird,32,-9.939281463623047,81913344,distilgpt2
A crane,is a bird.,crane,bird,33,-17.05911636352539,81913344,distilgpt2
An albatross,is a bird.,albatross,bird,34,-11.237594604492188,81913344,distilgpt2
A condor,is a bird.,condor,bird,35,-14.85214614868164,81913344,distilgpt2
A toucan,is a bird.,toucan,bird,36,-11.222206115722656,81913344,distilgpt2
An owl,is a bird.,owl,bird,37,-9.364643096923828,81913344,distilgpt2
A pelican,is a bird.,pelican,bird,38,-12.132026672363281,81913344,distilgpt2
A goose,is a bird.,goose,bird,39,-8.495803833007812,81913344,distilgpt2
A vulture,is a bird.,vulture,bird,40,-11.494873046875,81913344,distilgpt2
A stork,is a bird.,stork,bird,41,-12.141624450683594,81913344,distilgpt2
A buzzard,is a bird.,buzzard,bird,42,-13.205635070800781,81913344,distilgpt2
A swan,is a bird.,swan,bird,43,-13.00698471069336,81913344,distilgpt2
A flamingo,is a bird.,flamingo,bird,44,-11.581981658935547,81913344,distilgpt2
A duck,is a bird.,duck,bird,45,-9.62359619140625,81913344,distilgpt2
A peacock,is a bird.,peacock,bird,46,-10.516036987304688,81913344,distilgpt2
An egret,is a bird.,egret,bird,47,-12.331119537353516,81913344,distilgpt2
A chicken,is a bird.,chicken,bird,48,-10.196033477783203,81913344,distilgpt2
A turkey,is a bird.,turkey,bird,49,-10.111461639404297,81913344,distilgpt2
An ostrich,is a bird.,ostrich,bird,50,-9.87813949584961,81913344,distilgpt2
A titmouse,is a bird.,titmouse,bird,51,-12.165763854980469,81913344,distilgpt2
An emu,is a bird.,emu,bird,52,-14.507667541503906,81913344,distilgpt2
A penguin,is a bird.,penguin,bird,53,-11.005550384521484,81913344,distilgpt2
A bat,is a bird.,bat,bird,54,-10.08627700805664,81913344,distilgpt2
Football,is a sport.,football,sport,1,-10.970024108886719,81913344,distilgpt2
Baseball,is a sport.,baseball,sport,2,-11.564033508300781,81913344,distilgpt2
Basketball,is a sport.,basketball,sport,3,-10.75933837890625,81913344,distilgpt2
Tennis,is a sport.,tennis,sport,4,-13.54085922241211,81913344,distilgpt2
Softball,is a sport.,softball,sport,5,-13.465511322021484,81913344,distilgpt2
Canoeing,is a sport.,canoeing,sport,6,-16.01342010498047,81913344,distilgpt2
Handball,is a sport.,handball,sport,7,-13.590858459472656,81913344,distilgpt2
Rugby,is a sport.,rugby,sport,8,-16.62805938720703,81913344,distilgpt2
Hockey,is a sport.,hockey,sport,9,-11.158817291259766,81913344,distilgpt2
Ice hockey,is a sport.,ice hockey,sport,10,-11.261070251464844,81913344,distilgpt2
Swimming,is a sport.,swimming,sport,11,-12.07342529296875,81913344,distilgpt2
Track,is a sport.,track,sport,12,-19.310306549072266,81913344,distilgpt2
Boxing,is a sport.,boxing,sport,13,-13.292430877685547,81913344,distilgpt2
Volleyball,is a sport.,volleyball,sport,14,-12.868427276611328,81913344,distilgpt2
Lacrosse,is a sport.,lacrosse,sport,15,-12.679939270019531,81913344,distilgpt2
Skiing,is a sport.,skiing,sport,16,-16.165260314941406,81913344,distilgpt2
Golf,is a sport.,golf,sport,17,-12.4415283203125,81913344,distilgpt2
Polo,is a sport.,polo,sport,18,-16.665569305419922,81913344,distilgpt2
Surfing,is a sport.,surfing,sport,19,-12.193733215332031,81913344,distilgpt2
Wrestling,is a sport.,wrestling,sport,20,-12.925277709960938,81913344,distilgpt2
Gymnastics,is a sport.,gymnastics,sport,21,-14.505146026611328,81913344,distilgpt2
Cricket,is a sport.,cricket,sport,22,-13.67935562133789,81913344,distilgpt2
Squash,is a sport.,squash,sport,23,-17.078628540039062,81913344,distilgpt2
Badminton,is a sport.,badminton,sport,24,-14.17313003540039,81913344,distilgpt2
Racing,is a sport.,racing,sport,25,-13.866085052490234,81913344,distilgpt2
Pole vault,is a sport.,pole vault,sport,26,-18.410858154296875,81913344,distilgpt2
Fencing,is a sport.,fencing,sport,27,-13.083629608154297,81913344,distilgpt2
Bowling,is a sport.,bowling,sport,28,-13.081863403320312,81913344,distilgpt2
Water skiing,is a sport.,water skiing,sport,29,-11.098587036132812,81913344,distilgpt2
Ice skating,is a sport.,ice skating,sport,30,-10.617919921875,81913344,distilgpt2
Jai alai,is a sport.,jai alai,sport,31,-18.688278198242188,81913344,distilgpt2
Skating,is a sport.,skating,sport,32,-12.259807586669922,81913344,distilgpt2
Skindiving,is a sport.,skindiving,sport,33,-18.103050231933594,81913344,distilgpt2
Sailing,is a sport.,sailing,sport,34,-16.57099151611328,81913344,distilgpt2
Diving,is a sport.,diving,sport,35,-15.324146270751953,81913344,distilgpt2
Archery,is a sport.,archery,sport,36,-13.590435028076172,81913344,distilgpt2
Judo,is a sport.,judo,sport,37,-15.272178649902344,81913344,distilgpt2
Car racing,is a sport.,car racing,sport,38,-12.050457000732422,81913344,distilgpt2
Ping pong,is a sport.,ping pong,sport,39,-15.986713409423828,81913344,distilgpt2
Rowing,is a sport.,rowing,sport,40,-14.209877014160156,81913344,distilgpt2
Fishing,is a sport.,fishing,sport,41,-13.789985656738281,81913344,distilgpt2
Horseback riding,is a sport.,horseback riding,sport,42,-13.167804718017578,81913344,distilgpt2
Running,is a sport.,running,sport,43,-17.226024627685547,81913344,distilgpt2
Horse racing,is a sport.,horse racing,sport,44,-11.547626495361328,81913344,distilgpt2
Hiking,is a sport.,hiking,sport,45,-13.009674072265625,81913344,distilgpt2
Weight lifting,is a sport.,weight lifting,sport,46,-11.283824920654297,81913344,distilgpt2
Croquet,is a sport.,croquet,sport,47,-15.037506103515625,81913344,distilgpt2
Horseshoes,is a sport.,horseshoes,sport,48,-18.047130584716797,81913344,distilgpt2
Boating,is a sport.,boating,sport,49,-12.12509536743164,81913344,distilgpt2
Pool,is a sport.,pool,sport,50,-18.26092529296875,81913344,distilgpt2
Billiards,is a sport.,billiards,sport,51,-18.166824340820312,81913344,distilgpt2
Hunting,is a sport.,hunting,sport,52,-14.652660369873047,81913344,distilgpt2
Jump rope,is a sport.,jump rope,sport,53,-15.229061126708984,81913344,distilgpt2
Camping,is a sport.,camping,sport,54,-14.91695785522461,81913344,distilgpt2
Chess,is a sport.,chess,sport,55,-13.350776672363281,81913344,distilgpt2
Dancing,is a sport.,dancing,sport,56,-14.678886413574219,81913344,distilgpt2
Checkers,is a sport.,checkers,sport,57,-19.588436126708984,81913344,distilgpt2
Cards,is a sport.,cards,sport,58,-19.05504608154297,81913344,distilgpt2
Sunbathing,is a sport.,sunbathing,sport,59,-15.720848083496094,81913344,distilgpt2
Pea,is a vegetable.,pea,vegetable,1,-16.956043243408203,81913344,distilgpt2
Carrot,is a vegetable.,carrot,vegetable,2,-15.013374328613281,81913344,distilgpt2
Green bean,is a vegetable.,green bean,vegetable,3,-12.923259735107422,81913344,distilgpt2
String bean,is a vegetable.,string bean,vegetable,4,-14.854667663574219,81913344,distilgpt2
Spinach,is a vegetable.,spinach,vegetable,5,-16.86770248413086,81913344,distilgpt2
Broccoli,is a vegetable.,broccoli,vegetable,6,-11.90057373046875,81913344,distilgpt2
Asparagus,is a vegetable.,asparagus,vegetable,7,-11.88370132446289,81913344,distilgpt2
Corn,is a vegetable.,corn,vegetable,8,-15.55733871459961,81913344,distilgpt2
Cauliflower,is a vegetable.,cauliflower,vegetable,9,-12.286285400390625,81913344,distilgpt2
Brussels sprouts,are vegetables.,brussels sprouts,vegetable,10,-14.564071655273438,81913344,distilgpt2
Squash,is a vegetable.,squash,vegetable,11,-20.07897186279297,81913344,distilgpt2
Lettuce,is a vegetable.,lettuce,vegetable,12,-14.495414733886719,81913344,distilgpt2
Celery,is a vegetable.,celery,vegetable,13,-17.555362701416016,81913344,distilgpt2
Cucumber,is a vegetable.,cucumber,vegetable,14,-16.347972869873047,81913344,distilgpt2
Beet,is a vegetable.,beet,vegetable,15,-19.785175323486328,81913344,distilgpt2
Green,is a vegetable.,green,vegetable,16,-18.600692749023438,81913344,distilgpt2
Tomato,is a vegetable.,tomato,vegetable,17,-18.733570098876953,81913344,distilgpt2
Lima bean,is a vegetable.,lima bean,vegetable,18,-12.716888427734375,81913344,distilgpt2
Artichoke,is a vegetable.,artichoke,vegetable,19,-17.95169448852539,81913344,distilgpt2
Turnip,is a vegetable.,turnip,vegetable,20,-18.101234436035156,81913344,distilgpt2
Eggplant,is a vegetable.,eggplant,vegetable,21,-13.747169494628906,81913344,distilgpt2
Romaine,is a vegetable.,romaine,vegetable,22,-18.46533203125,81913344,distilgpt2
Green pepper,is a vegetable.,green pepper,vegetable,23,-11.551029205322266,81913344,distilgpt2
Okra,is a vegetable.,okra,vegetable,24,-18.163333892822266,81913344,distilgpt2
Radish,is a vegetable.,radish,vegetable,25,-18.549869537353516,81913344,distilgpt2
Onion,is a vegetable.,onion,vegetable,26,-17.385780334472656,81913344,distilgpt2
Bean,is a vegetable.,bean,vegetable,27,-17.2774658203125,81913344,distilgpt2
Green onion,is a vegetable.,green onion,vegetable,28,-12.14052963256836,81913344,distilgpt2
Potato,is a vegetable.,potato,vegetable,29,-15.007415771484375,81913344,distilgpt2
Parsnip,is a vegetable.,parsnip,vegetable,30,-20.01374053955078,81913344,distilgpt2
Turnip green,is a vegetable.,turnip green,vegetable,31,-14.97469711303711,81913344,distilgpt2
Collard,is a vegetable.,collard,vegetable,32,-20.117259979248047,81913344,distilgpt2
Wax bean,is a vegetable.,wax bean,vegetable,33,-13.926712036132812,81913344,distilgpt2
Watercress,is a vegetable.,watercress,vegetable,34,-15.157062530517578,81913344,distilgpt2
Black eyed pea,is a vegetable.,black eyed pea,vegetable,35,-15.82699966430664,81913344,distilgpt2
Leek,is a vegetable.,leek,vegetable,36,-18.81769561767578,81913344,distilgpt2
Pepper,is a vegetable.,pepper,vegetable,37,-16.32290267944336,81913344,distilgpt2
Sweet potato,is a vegetable.,sweet potato,vegetable,38,-13.044906616210938,81913344,distilgpt2
Yam,is a vegetable.,yam,vegetable,39,-21.56639862060547,81913344,distilgpt2
Parsley,is a vegetable.,parsley,vegetable,40,-19.908802032470703,81913344,distilgpt2
Endive,is a vegetable.,endive,vegetable,41,-21.66318130493164,81913344,distilgpt2
Rutabaga,is a vegetable.,rutabaga,vegetable,42,-18.65182876586914,81913344,distilgpt2
Mushroom,is a vegetable.,mushroom,vegetable,43,-19.75000762939453,81913344,distilgpt2
Avocado,is a vegetable.,avocado,vegetable,44,-12.087837219238281,81913344,distilgpt2
Rhubarb,is a vegetable.,rhubarb,vegetable,45,-13.770610809326172,81913344,distilgpt2
Kale,is a vegetable.,kale,vegetable,46,-20.235946655273438,81913344,distilgpt2
Escarole,is a vegetable.,escarole,vegetable,47,-19.821392059326172,81913344,distilgpt2
Sauerkraut,is a vegetable.,sauerkraut,vegetable,48,-15.82568359375,81913344,distilgpt2
Pickle,is a vegetable.,pickle,vegetable,49,-16.16912078857422,81913344,distilgpt2
Baked bean,is a vegetable.,baked bean,vegetable,50,-13.05722427368164,81913344,distilgpt2
Pumpkin,is a vegetable.,pumpkin,vegetable,51,-17.139400482177734,81913344,distilgpt2
Seaweed,is a vegetable.,seaweed,vegetable,52,-15.814888000488281,81913344,distilgpt2
Garlic,is a vegetable.,garlic,vegetable,53,-13.898113250732422,81913344,distilgpt2
Dandelion,is a vegetable.,dandelion,vegetable,54,-14.4053955078125,81913344,distilgpt2
Peanut,is a vegetable.,peanut,vegetable,55,-15.636714935302734,81913344,distilgpt2
Rice,is a vegetable.,rice,vegetable,56,-16.861209869384766,81913344,distilgpt2
A saw,is a tool.,saw,tool,1,-16.231998443603516,81913344,distilgpt2
A hammer,is a tool.,hammer,tool,2,-10.785957336425781,81913344,distilgpt2
A ruler,is a tool.,ruler,tool,3,-15.179611206054688,81913344,distilgpt2
A screwdriver,is a tool.,screwdriver,tool,4,-10.798095703125,81913344,distilgpt2
A drill,is a tool.,drill,tool,5,-13.600151062011719,81913344,distilgpt2
A nail,is a tool.,nail,tool,6,-13.70584487915039,81913344,distilgpt2
A tape measure,is a tool.,tape measure,tool,7,-13.35336685180664,81913344,distilgpt2
A sawhorse,is a tool.,sawhorse,tool,8,-15.432640075683594,81913344,distilgpt2
A sandpaper,is a tool.,sandpaper,tool,9,-13.835334777832031,81913344,distilgpt2
A sander,is a tool.,sander,tool,10,-13.717952728271484,81913344,distilgpt2
A level,is a tool.,level,tool,11,-18.305973052978516,81913344,distilgpt2
A plane,is a tool.,plane,tool,12,-18.869251251220703,81913344,distilgpt2
A file,is a tool.,file,tool,13,-16.024620056152344,81913344,distilgpt2
A toolbox,is a tool.,toolbox,tool,14,-12.189552307128906,81913344,distilgpt2
A t-square,is a tool.,T-square,tool,15,-13.805561065673828,81913344,distilgpt2
A chisel,is a tool.,chisel,tool,16,-10.318622589111328,81913344,distilgpt2
A rasp,is a tool.,rasp,tool,17,-16.365631103515625,81913344,distilgpt2
A pencil,is a tool.,pencil,tool,18,-11.01287841796875,81913344,distilgpt2
A hacksaw,is a tool.,hacksaw,tool,19,-12.361251831054688,81913344,distilgpt2
A square,is a tool.,square,tool,20,-14.946949005126953,81913344,distilgpt2
A bench,is a tool.,bench,tool,21,-16.707454681396484,81913344,distilgpt2
A plier,is a tool.,plier,tool,22,-12.483955383300781,81913344,distilgpt2
A wrench,is a tool.,wrench,tool,23,-11.002334594726562,81913344,distilgpt2
A ladder,is a tool.,ladder,tool,24,-12.708999633789062,81913344,distilgpt2
A lathe,is a tool.,lathe,tool,25,-14.627689361572266,81913344,distilgpt2
A vise,is a tool.,vise,tool,26,-13.611011505126953,81913344,distilgpt2
A screw,is a tool.,screw,tool,27,-13.953388214111328,81913344,distilgpt2
A wood,is a tool.,wood,tool,28,-14.385177612304688,81913344,distilgpt2
A wedge,is a tool.,wedge,tool,29,-13.159645080566406,81913344,distilgpt2
A lumber,is a tool.,lumber,tool,30,-16.9371337890625,81913344,distilgpt2
A blueprint,is a tool.,blueprint,tool,31,-16.18964385986328,81913344,distilgpt2
A brace,is a tool.,brace,tool,32,-14.333988189697266,81913344,distilgpt2
An awl,is a tool.,awl,tool,33,-16.11001205444336,81913344,distilgpt2
A crowbar,is a tool.,crowbar,tool,34,-12.40664291381836,81913344,distilgpt2
A hinge,is a tool.,hinge,tool,35,-12.925491333007812,81913344,distilgpt2
A miter box,is a tool.,miter box,tool,36,-12.006755828857422,81913344,distilgpt2
A knife,is a tool.,knife,tool,37,-11.0618896484375,81913344,distilgpt2
A chalk,is a tool.,chalk,tool,38,-17.985580444335938,81913344,distilgpt2
A nut,is a tool.,nut,tool,39,-13.832237243652344,81913344,distilgpt2
A bolt,is a tool.,bolt,tool,40,-13.757675170898438,81913344,distilgpt2
A plumb line,is a tool.,plumb line,tool,41,-13.992122650146484,81913344,distilgpt2
A brush,is a tool.,brush,tool,42,-12.34237289428711,81913344,distilgpt2
A sledge hammer,is a tool.,sledge hammer,tool,43,-10.578792572021484,81913344,distilgpt2
A glue,is a tool.,glue,tool,44,-14.643013000488281,81913344,distilgpt2
A paintbrush,is a tool.,paintbrush,tool,45,-10.936805725097656,81913344,distilgpt2
A varnish,is a tool.,varnish,tool,46,-13.77914810180664,81913344,distilgpt2
An apron,is a tool.,apron,tool,47,-13.607749938964844,81913344,distilgpt2
A stapler,is a tool.,stapler,tool,48,-12.985515594482422,81913344,distilgpt2
An extension cord,is a tool.,extension cord,tool,49,-14.081802368164062,81913344,distilgpt2
A soldering iron,is a tool.,soldering iron,tool,50,-13.043403625488281,81913344,distilgpt2
A plaster,is a tool.,plaster,tool,51,-16.69192886352539,81913344,distilgpt2
A wheelbarrow,is a tool.,wheelbarrow,tool,52,-12.834815979003906,81913344,distilgpt2
An axe,is a tool.,axe,tool,53,-10.163719177246094,81913344,distilgpt2
A slide rule,is a tool.,slide rule,tool,54,-14.085010528564453,81913344,distilgpt2
A cement,is a tool.,cement,tool,55,-16.81737518310547,81913344,distilgpt2
An anvil,is a tool.,anvil,tool,56,-11.976634979248047,81913344,distilgpt2
A hatchet,is a tool.,hatchet,tool,57,-12.353813171386719,81913344,distilgpt2
A rag,is a tool.,rag,tool,58,-14.255725860595703,81913344,distilgpt2
A scissor,is a tool.,scissor,tool,59,-14.793682098388672,81913344,distilgpt2
A crane,is a tool.,crane,tool,60,-16.14708709716797,81913344,distilgpt2
Orange,is a fruit.,orange,fruit,1,-16.556411743164062,81913344,distilgpt2
Apple,is a fruit.,apple,fruit,2,-22.807453155517578,81913344,distilgpt2
Banana,is a fruit.,banana,fruit,3,-15.203693389892578,81913344,distilgpt2
