preamble,stimulus,item,category,rank,score,params,model
A gun is a,weapon.,gun,weapon,1,-1.670344352722168,1557612800,gpt2-xl
A pistol is a,weapon.,pistol,weapon,2,-1.839472770690918,1557612800,gpt2-xl
A revolver is a,weapon.,revolver,weapon,3,-2.2589645385742188,1557612800,gpt2-xl
A machine gun is a,weapon.,machine gun,weapon,4,-1.6209678649902344,1557612800,gpt2-xl
A rifle is a,weapon.,rifle,weapon,5,-1.5663557052612305,1557612800,gpt2-xl
A switchblade is a,weapon.,switchblade,weapon,6,-3.9416723251342773,1557612800,gpt2-xl
A knife is a,weapon.,knife,weapon,7,-2.6691741943359375,1557612800,gpt2-xl
A dagger is a,weapon.,dagger,weapon,8,-2.014523506164551,1557612800,gpt2-xl
A shotgun is a,weapon.,shotgun,weapon,9,-1.9221315383911133,1557612800,gpt2-xl
A sword is a,weapon.,sword,weapon,10,-1.5662212371826172,1557612800,gpt2-xl
A bomb is a,weapon.,bomb,weapon,11,-3.2246055603027344,1557612800,gpt2-xl
A hand grenade is a,weapon.,hand grenade,weapon,12,-3.216771125793457,1557612800,gpt2-xl
An atom bomb is a,weapon.,Atom bomb,weapon,13,-2.9022912979125977,1557612800,gpt2-xl
A bayonet is a,weapon.,bayonet,weapon,14,-2.664057731628418,1557612800,gpt2-xl
A spear is a,weapon.,spear,weapon,15,-1.6924562454223633,1557612800,gpt2-xl
A bazooka is a,weapon.,bazooka,weapon,16,-2.2312850952148438,1557612800,gpt2-xl
A cannon is a,weapon.,cannon,weapon,17,-2.613255500793457,1557612800,gpt2-xl
A bow and arrow is a,weapon.,bow and arrow,weapon,18,-2.0362510681152344,1557612800,gpt2-xl
A club is a,weapon.,club,weapon,19,-10.01948070526123,1557612800,gpt2-xl
A lance is a,weapon.,lance,weapon,20,-2.3824329376220703,1557612800,gpt2-xl
A brass knuckle is a,weapon.,brass knuckle,weapon,21,-3.009230613708496,1557612800,gpt2-xl
A bullet is a,weapon.,bullet,weapon,22,-3.406491279602051,1557612800,gpt2-xl
A tomahawk is a,weapon.,tomahawk,weapon,23,-2.8877458572387695,1557612800,gpt2-xl
A mortar is a,weapon.,mortar,weapon,24,-3.3118667602539062,1557612800,gpt2-xl
An arrow is a,weapon.,arrow,weapon,25,-2.571883201599121,1557612800,gpt2-xl
A blackjack is a,weapon.,blackjack,weapon,26,-8.282489776611328,1557612800,gpt2-xl
A tank is a,weapon.,tank,weapon,27,-5.582009315490723,1557612800,gpt2-xl
Teargas is a,weapon.,teargas,weapon,28,-4.249111652374268,1557612800,gpt2-xl
A missile is a,weapon.,missile,weapon,29,-1.754119873046875,1557612800,gpt2-xl
A whip is a,weapon.,whip,weapon,30,-2.428068161010742,1557612800,gpt2-xl
An ice pick is a,weapon.,ice pick,weapon,31,-3.1228761672973633,1557612800,gpt2-xl
A hatchet is a,weapon.,hatchet,weapon,32,-2.3118152618408203,1557612800,gpt2-xl
A slingshot is a,weapon.,slingshot,weapon,33,-1.9681453704833984,1557612800,gpt2-xl
A fist is a,weapon.,fist,weapon,34,-2.759378433227539,1557612800,gpt2-xl
An axe is a,weapon.,axe,weapon,35,-1.6286239624023438,1557612800,gpt2-xl
A bow is a,weapon.,bow,weapon,36,-2.0453128814697266,1557612800,gpt2-xl
A razor is a,weapon.,razor,weapon,37,-4.247167587280273,1557612800,gpt2-xl
A razor blade is a,weapon.,razor blade,weapon,38,-5.156744003295898,1557612800,gpt2-xl
A rocket is a,weapon.,rocket,weapon,39,-3.122258186340332,1557612800,gpt2-xl
A judo is a,weapon.,judo,weapon,40,-5.314321517944336,1557612800,gpt2-xl
A stick is a,weapon.,stick,weapon,41,-3.6929550170898438,1557612800,gpt2-xl
A poison is a,weapon.,poison,weapon,42,-4.809812545776367,1557612800,gpt2-xl
A rock is a,weapon.,rock,weapon,43,-7.938064098358154,1557612800,gpt2-xl
A stone is a,weapon.,stone,weapon,44,-5.808768272399902,1557612800,gpt2-xl
Gas is a,weapon.,gas,weapon,45,-6.815474510192871,1557612800,gpt2-xl
A chain is a,weapon.,chain,weapon,46,-8.233110427856445,1557612800,gpt2-xl
A scissor is a,weapon.,scissor,weapon,47,-4.091381072998047,1557612800,gpt2-xl
A brick is a,weapon.,brick,weapon,48,-7.834333896636963,1557612800,gpt2-xl
A pitchfork is a,weapon.,pitchfork,weapon,49,-3.1908578872680664,1557612800,gpt2-xl
A hammer is a,weapon.,hammer,weapon,50,-2.544279098510742,1557612800,gpt2-xl
A word is a,weapon.,word,weapon,51,-8.491785049438477,1557612800,gpt2-xl
A hand is a,weapon.,hand,weapon,52,-4.6272125244140625,1557612800,gpt2-xl
A pipe is a,weapon.,pipe,weapon,53,-5.875338554382324,1557612800,gpt2-xl
A rope is a,weapon.,rope,weapon,54,-6.332930564880371,1557612800,gpt2-xl
An airplane is a,weapon.,airplane,weapon,55,-7.25706148147583,1557612800,gpt2-xl
A foot is a,weapon.,foot,weapon,56,-8.438262939453125,1557612800,gpt2-xl
A car is a,weapon.,car,weapon,57,-6.430379390716553,1557612800,gpt2-xl
A screwdriver is a,weapon.,screwdriver,weapon,58,-5.119351387023926,1557612800,gpt2-xl
Glass is a,weapon.,glass,weapon,59,-8.506171226501465,1557612800,gpt2-xl
A shoe is a,weapon.,shoe,weapon,60,-7.044953346252441,1557612800,gpt2-xl
Orange is a,fruit.,orange,fruit,1,-6.365347862243652,1557612800,gpt2-xl
Apple is a,fruit.,apple,fruit,2,-9.864867210388184,1557612800,gpt2-xl
Banana is a,fruit.,banana,fruit,3,-2.6113710403442383,1557612800,gpt2-xl
Peach is a,fruit.,peach,fruit,4,-4.856992244720459,1557612800,gpt2-xl
Pear is a,fruit.,pear,fruit,5,-7.726677894592285,1557612800,gpt2-xl
Apricot is a,fruit.,apricot,fruit,6,-3.5740714073181152,1557612800,gpt2-xl
Tangerine is a,fruit.,tangerine,fruit,7,-6.4844970703125,1557612800,gpt2-xl
Plum is a,fruit.,plum,fruit,8,-5.378477573394775,1557612800,gpt2-xl
Grape is a,fruit.,grape,fruit,9,-3.2315444946289062,1557612800,gpt2-xl
Nectarine is a,fruit.,nectarine,fruit,10,-2.873171806335449,1557612800,gpt2-xl
Strawberry is a,fruit.,strawberry,fruit,11,-3.506840705871582,1557612800,gpt2-xl
Grapefruit is a,fruit.,grapefruit,fruit,12,-1.592576026916504,1557612800,gpt2-xl
Berry is a,fruit.,berry,fruit,13,-6.724305629730225,1557612800,gpt2-xl
Cherry is a,fruit.,cherry,fruit,14,-6.077667713165283,1557612800,gpt2-xl
Pineapple is a,fruit.,pineapple,fruit,15,-3.090099334716797,1557612800,gpt2-xl
Blackberry is a,fruit.,blackberry,fruit,16,-8.465648651123047,1557612800,gpt2-xl
Melon is a,fruit.,melon,fruit,17,-6.4758195877075195,1557612800,gpt2-xl
Blueberry is a,fruit.,blueberry,fruit,18,-3.628851890563965,1557612800,gpt2-xl
Raspberry is a,fruit.,raspberry,fruit,19,-7.848541259765625,1557612800,gpt2-xl
Lemon is a,fruit.,lemon,fruit,20,-4.6965556144714355,1557612800,gpt2-xl
Black raspberry is a,fruit.,black raspberry,fruit,21,-3.6940317153930664,1557612800,gpt2-xl
Boysenberry is a,fruit.,boysenberry,fruit,22,-4.835098743438721,1557612800,gpt2-xl
Watermelon is a,fruit.,watermelon,fruit,23,-2.0596370697021484,1557612800,gpt2-xl
Cantaloupe is a,fruit.,cantaloupe,fruit,24,-1.5347480773925781,1557612800,gpt2-xl
Lime is a,fruit.,lime,fruit,25,-5.7291765213012695,1557612800,gpt2-xl
Tangelo is a,fruit.,tangelo,fruit,26,-8.149706840515137,1557612800,gpt2-xl
Papaya is a,fruit.,papaya,fruit,27,-1.8426494598388672,1557612800,gpt2-xl
Honeydew is a,fruit.,honeydew,fruit,28,-4.006543159484863,1557612800,gpt2-xl
Fig is a,fruit.,fig,fruit,29,-9.483380317687988,1557612800,gpt2-xl
Mango is a,fruit.,mango,fruit,30,-3.141451835632324,1557612800,gpt2-xl
Guava is a,fruit.,guava,fruit,31,-2.8228940963745117,1557612800,gpt2-xl
Pomegranate is a,fruit.,pomegranate,fruit,32,-2.606217384338379,1557612800,gpt2-xl
