preamble,stimulus,item,category,rank,score,params,model
A doll,is a toy.,doll,toy,1,-13.67209005355835,116536320,openai-gpt
A top,is a toy.,top,toy,2,-19.007805109024048,116536320,openai-gpt
A jack-in-the-box,is a toy.,jack-in-the-box,toy,3,-16.71494746208191,116536320,openai-gpt
A toy soldier,is a toy.,toy soldier,toy,4,-13.18910837173462,116536320,openai-gpt
A yo-yo,is a toy.,yo-yo,toy,5,-15.8198881149292,116536320,openai-gpt
A block,is a toy.,block,toy,6,-23.338125705718994,116536320,openai-gpt
Marbles,are toys.,marbles,toy,7,-16.20492696762085,116536320,openai-gpt
A rattle,is a toy.,rattle,toy,8,-18.689364433288574,116536320,openai-gpt
A stuffed animal,is a toy.,stuffed animal,toy,9,-16.656986236572266,116536320,openai-gpt
A water pistol,is a toy.,water pistol,toy,10,-15.88884449005127,116536320,openai-gpt
A teddy bear,is a toy.,teddy bear,toy,11,-16.897608757019043,116536320,openai-gpt
A rocking horse,is a toy.,rocking horse,toy,12,-16.696810245513916,116536320,openai-gpt
A doll house,is a toy.,doll house,toy,13,-15.94153356552124,116536320,openai-gpt
A ball,is a toy.,ball,toy,14,-16.69319224357605,116536320,openai-gpt
Jacks,are toys.,jacks,toy,15,-18.73697519302368,116536320,openai-gpt
Paper dolls,are toys.,paper dolls,toy,16,-16.373599529266357,116536320,openai-gpt
An erector set,is a toy.,erector set,toy,17,-17.397480964660645,116536320,openai-gpt
A hula hoop,is a toy.,hula hoop,toy,18,-17.980645418167114,116536320,openai-gpt
A jump rope,is a toy.,jump rope,toy,19,-19.554210901260376,116536320,openai-gpt
A pogo stick,is a toy.,pogo stick,toy,20,-15.70534610748291,116536320,openai-gpt
A clay,is a toy.,clay,toy,21,-21.473737955093384,116536320,openai-gpt
A wagon,is a toy.,wagon,toy,22,-18.66383385658264,116536320,openai-gpt
A kite,is a toy.,kite,toy,23,-16.641613006591797,116536320,openai-gpt
A train,is a toy.,train,toy,24,-19.390982151031494,116536320,openai-gpt
A tricycle,is a toy.,tricycle,toy,25,-15.82101821899414,116536320,openai-gpt
A coloring book,is a toy.,coloring book,toy,26,-18.458622455596924,116536320,openai-gpt
Crayons,are toys.,crayons,toy,27,-17.075566291809082,116536320,openai-gpt
A truck,is a toy.,truck,toy,28,-18.172444581985474,116536320,openai-gpt
A puzzle,is a toy.,puzzle,toy,29,-20.539062976837158,116536320,openai-gpt
A fire engine,is a toy.,fire engine,toy,30,-18.47730278968811,116536320,openai-gpt
A balloon,is a toy.,balloon,toy,31,-18.001508474349976,116536320,openai-gpt
Skates,are toys.,skates,toy,32,-17.53239870071411,116536320,openai-gpt
A baseball,is a toy.,baseball,toy,33,-18.829164505004883,116536320,openai-gpt
A drum,is a toy.,drum,toy,34,-16.947294235229492,116536320,openai-gpt
A football,is a toy.,football,toy,35,-17.08024263381958,116536320,openai-gpt
A game,is a toy.,game,toy,36,-19.13971185684204,116536320,openai-gpt
A swing,is a toy.,swing,toy,37,-20.55240821838379,116536320,openai-gpt
A boat,is a toy.,boat,toy,38,-17.390161752700806,116536320,openai-gpt
A monopoly,is a toy.,monopoly,toy,39,-17.694879055023193,116536320,openai-gpt
A sled,is a toy.,sled,toy,40,-17.481661558151245,116536320,openai-gpt
A seesaw,is a toy.,seesaw,toy,41,-16.90556526184082,116536320,openai-gpt
Stilts,are toys.,stilts,toy,42,-18.544771194458008,116536320,openai-gpt
Checkers,are toys.,checkers,toy,43,-16.90067958831787,116536320,openai-gpt
A bat,is a toy.,bat,toy,44,-16.540231227874756,116536320,openai-gpt
A car,is a toy.,car,toy,45,-17.11018943786621,116536320,openai-gpt
An airplane,is a toy.,airplane,toy,46,-15.946927547454834,116536320,openai-gpt
A bicycle,is a toy.,bicycle,toy,47,-17.39018487930298,116536320,openai-gpt
A tractor,is a toy.,tractor,toy,48,-17.03331208229065,116536320,openai-gpt
A sandbox,is a toy.,sandbox,toy,49,-19.09748077392578,116536320,openai-gpt
A bike,is a toy.,bike,toy,50,-16.994027614593506,116536320,openai-gpt
A bow and arrow,is a toy.,bow and arrow,toy,51,-19.312264680862427,116536320,openai-gpt
A rope,is a toy.,rope,toy,52,-19.374406099319458,116536320,openai-gpt
Dishes,are toys.,dishes,toy,53,-21.054306030273438,116536320,openai-gpt
Cards,are toys.,cards,toy,54,-18.44409942626953,116536320,openai-gpt
A mitt,is a toy.,mitt,toy,55,-19.29551649093628,116536320,openai-gpt
A horse,is a toy.,horse,toy,56,-15.658296585083008,116536320,openai-gpt
A gun,is a toy.,gun,toy,57,-15.475101470947266,116536320,openai-gpt
Animals,are toys.,animals,toy,58,-16.15890121459961,116536320,openai-gpt
A tennis racket,is a toy.,tennis racket,toy,59,-17.23080039024353,116536320,openai-gpt
Books,are toys.,books,toy,60,-18.129811763763428,116536320,openai-gpt
A robin,is a bird.,robin,bird,1,-11.104434967041016,116536320,openai-gpt
A sparrow,is a bird.,sparrow,bird,2,-10.746628761291504,116536320,openai-gpt
A bluejay,is a bird.,bluejay,bird,3,-14.189460039138794,116536320,openai-gpt
A bluebird,is a bird.,bluebird,bird,4,-10.79587984085083,116536320,openai-gpt
A canary,is a bird.,canary,bird,5,-12.118901252746582,116536320,openai-gpt
A blackbird,is a bird.,blackbird,bird,6,-10.277713775634766,116536320,openai-gpt
A dove,is a bird.,dove,bird,7,-10.870104789733887,116536320,openai-gpt
A lark,is a bird.,lark,bird,8,-18.483336687088013,116536320,openai-gpt
A swallow,is a bird.,swallow,bird,9,-20.22352933883667,116536320,openai-gpt
A parakeet,is a bird.,parakeet,bird,10,-13.408656597137451,116536320,openai-gpt
An oriole,is a bird.,oriole,bird,11,-16.530094861984253,116536320,openai-gpt
A mockingbird,is a bird.,mockingbird,bird,12,-14.128277778625488,116536320,openai-gpt
A redbird,is a bird.,redbird,bird,13,-10.347903728485107,116536320,openai-gpt
A wren,is a bird.,wren,bird,14,-12.116154670715332,116536320,openai-gpt
A finch,is a bird.,finch,bird,15,-10.601702690124512,116536320,openai-gpt
A starling,is a bird.,starling,bird,16,-11.978561878204346,116536320,openai-gpt
A cardinal,is a bird.,cardinal,bird,17,-13.063101768493652,116536320,openai-gpt
An eagle,is a bird.,eagle,bird,18,-9.884547710418701,116536320,openai-gpt
A hummingbird,is a bird.,hummingbird,bird,19,-12.229377269744873,116536320,openai-gpt
A seagull,is a bird.,seagull,bird,20,-11.103957176208496,116536320,openai-gpt
A woodpecker,is a bird.,woodpecker,bird,21,-10.917518138885498,116536320,openai-gpt
A pigeon,is a bird.,pigeon,bird,22,-11.565101623535156,116536320,openai-gpt
A thrush,is a bird.,thrush,bird,23,-11.562495708465576,116536320,openai-gpt
A falcon,is a bird.,falcon,bird,24,-10.756781101226807,116536320,openai-gpt
A crow,is a bird.,crow,bird,25,-10.733678102493286,116536320,openai-gpt
A hawk,is a bird.,hawk,bird,26,-10.739336490631104,116536320,openai-gpt
A raven,is a bird.,raven,bird,27,-10.93969440460205,116536320,openai-gpt
A goldfinch,is a bird.,goldfinch,bird,28,-11.474215507507324,116536320,openai-gpt
A parrot,is a bird.,parrot,bird,29,-11.231878280639648,116536320,openai-gpt
A sandpiper,is a bird.,sandpiper,bird,30,-13.250229835510254,116536320,openai-gpt
A pheasant,is a bird.,pheasant,bird,31,-13.41754674911499,116536320,openai-gpt
A catbird,is a bird.,catbird,bird,32,-10.106739521026611,116536320,openai-gpt
A crane,is a bird.,crane,bird,33,-15.604843854904175,116536320,openai-gpt
An albatross,is a bird.,albatross,bird,34,-12.201399803161621,116536320,openai-gpt
A condor,is a bird.,condor,bird,35,-12.143460273742676,116536320,openai-gpt
A toucan,is a bird.,toucan,bird,36,-12.838061332702637,116536320,openai-gpt
An owl,is a bird.,owl,bird,37,-10.656032085418701,116536320,openai-gpt
A pelican,is a bird.,pelican,bird,38,-10.97284746170044,116536320,openai-gpt
A goose,is a bird.,goose,bird,39,-12.228178977966309,116536320,openai-gpt
A vulture,is a bird.,vulture,bird,40,-12.732154130935669,116536320,openai-gpt
A stork,is a bird.,stork,bird,41,-12.018075942993164,116536320,openai-gpt
A buzzard,is a bird.,buzzard,bird,42,-11.988778591156006,116536320,openai-gpt
A swan,is a bird.,swan,bird,43,-11.863970756530762,116536320,openai-gpt
A flamingo,is a bird.,flamingo,bird,44,-12.754325866699219,116536320,openai-gpt
A duck,is a bird.,duck,bird,45,-12.600927829742432,116536320,openai-gpt
A peacock,is a bird.,peacock,bird,46,-12.342339515686035,116536320,openai-gpt
An egret,is a bird.,egret,bird,47,-12.182425022125244,116536320,openai-gpt
A chicken,is a bird.,chicken,bird,48,-13.09903860092163,116536320,openai-gpt
A turkey,is a bird.,turkey,bird,49,-13.374106884002686,116536320,openai-gpt
An ostrich,is a bird.,ostrich,bird,50,-11.26174783706665,116536320,openai-gpt
A titmouse,is a bird.,titmouse,bird,51,-13.653444766998291,116536320,openai-gpt
An emu,is a bird.,emu,bird,52,-12.898414611816406,116536320,openai-gpt
A penguin,is a bird.,penguin,bird,53,-13.803265571594238,116536320,openai-gpt
A bat,is a bird.,bat,bird,54,-11.584940433502197,116536320,openai-gpt
Football,is a sport.,football,sport,1,-11.667537450790405,116536320,openai-gpt
Baseball,is a sport.,baseball,sport,2,-12.799097537994385,116536320,openai-gpt
Basketball,is a sport.,basketball,sport,3,-11.505508661270142,116536320,openai-gpt
Tennis,is a sport.,tennis,sport,4,-12.598146438598633,116536320,openai-gpt
Softball,is a sport.,softball,sport,5,-11.286046028137207,116536320,openai-gpt
Canoeing,is a sport.,canoeing,sport,6,-13.317914485931396,116536320,openai-gpt
Handball,is a sport.,handball,sport,7,-13.858830451965332,116536320,openai-gpt
Rugby,is a sport.,rugby,sport,8,-12.094040155410767,116536320,openai-gpt
Hockey,is a sport.,hockey,sport,9,-11.547356128692627,116536320,openai-gpt
Ice hockey,is a sport.,ice hockey,sport,10,-13.139848232269287,116536320,openai-gpt
Swimming,is a sport.,swimming,sport,11,-14.177651643753052,116536320,openai-gpt
Track,is a sport.,track,sport,12,-17.952775239944458,116536320,openai-gpt
Boxing,is a sport.,boxing,sport,13,-12.2823326587677,116536320,openai-gpt
Volleyball,is a sport.,volleyball,sport,14,-12.597320795059204,116536320,openai-gpt
Lacrosse,is a sport.,lacrosse,sport,15,-10.387247562408447,116536320,openai-gpt
Skiing,is a sport.,skiing,sport,16,-14.07381820678711,116536320,openai-gpt
Golf,is a sport.,golf,sport,17,-13.08195686340332,116536320,openai-gpt
Polo,is a sport.,polo,sport,18,-14.731963157653809,116536320,openai-gpt
Surfing,is a sport.,surfing,sport,19,-13.514214992523193,116536320,openai-gpt
Wrestling,is a sport.,wrestling,sport,20,-13.084691762924194,116536320,openai-gpt
Gymnastics,is a sport.,gymnastics,sport,21,-14.124950170516968,116536320,openai-gpt
Cricket,is a sport.,cricket,sport,22,-17.302863836288452,116536320,openai-gpt
Squash,is a sport.,squash,sport,23,-15.172014713287354,116536320,openai-gpt
Badminton,is a sport.,badminton,sport,24,-12.719765663146973,116536320,openai-gpt
Racing,is a sport.,racing,sport,25,-18.063780307769775,116536320,openai-gpt
Pole vault,is a sport.,pole vault,sport,26,-18.665823698043823,116536320,openai-gpt
Fencing,is a sport.,fencing,sport,27,-15.617392301559448,116536320,openai-gpt
Bowling,is a sport.,bowling,sport,28,-13.63138723373413,116536320,openai-gpt
Water skiing,is a sport.,water skiing,sport,29,-13.604628086090088,116536320,openai-gpt
Ice skating,is a sport.,ice skating,sport,30,-14.596635580062866,116536320,openai-gpt
Jai alai,is a sport.,jai alai,sport,31,-19.30840563774109,116536320,openai-gpt
Skating,is a sport.,skating,sport,32,-13.52381443977356,116536320,openai-gpt
Skindiving,is a sport.,skindiving,sport,33,-15.678818702697754,116536320,openai-gpt
Sailing,is a sport.,sailing,sport,34,-15.338924169540405,116536320,openai-gpt
Diving,is a sport.,diving,sport,35,-14.81203031539917,116536320,openai-gpt
Archery,is a sport.,archery,sport,36,-12.551175832748413,116536320,openai-gpt
Judo,is a sport.,judo,sport,37,-11.400296449661255,116536320,openai-gpt
Car racing,is a sport.,car racing,sport,38,-13.69180679321289,116536320,openai-gpt
Ping pong,is a sport.,ping pong,sport,39,-16.193793296813965,116536320,openai-gpt
Rowing,is a sport.,rowing,sport,40,-12.815076112747192,116536320,openai-gpt
Fishing,is a sport.,fishing,sport,41,-13.066482067108154,116536320,openai-gpt
Horseback riding,is a sport.,horseback riding,sport,42,-12.940464973449707,116536320,openai-gpt
Running,is a sport.,running,sport,43,-16.683900356292725,116536320,openai-gpt
Horse racing,is a sport.,horse racing,sport,44,-11.278939008712769,116536320,openai-gpt
Hiking,is a sport.,hiking,sport,45,-14.743408441543579,116536320,openai-gpt
Weight lifting,is a sport.,weight lifting,sport,46,-15.529573678970337,116536320,openai-gpt
Croquet,is a sport.,croquet,sport,47,-14.688210725784302,116536320,openai-gpt
Horseshoes,is a sport.,horseshoes,sport,48,-16.470262050628662,116536320,openai-gpt
Boating,is a sport.,boating,sport,49,-12.706069707870483,116536320,openai-gpt
Pool,is a sport.,pool,sport,50,-16.968533754348755,116536320,openai-gpt
Billiards,is a sport.,billiards,sport,51,-14.967047214508057,116536320,openai-gpt
Hunting,is a sport.,hunting,sport,52,-13.789899110794067,116536320,openai-gpt
Jump rope,is a sport.,jump rope,sport,53,-16.602731466293335,116536320,openai-gpt
Camping,is a sport.,camping,sport,54,-15.358948469161987,116536320,openai-gpt
Chess,is a sport.,chess,sport,55,-11.921119213104248,116536320,openai-gpt
Dancing,is a sport.,dancing,sport,56,-14.216222524642944,116536320,openai-gpt
Checkers,is a sport.,checkers,sport,57,-13.064544200897217,116536320,openai-gpt
Cards,is a sport.,cards,sport,58,-17.42120671272278,116536320,openai-gpt
Sunbathing,is a sport.,sunbathing,sport,59,-13.660859107971191,116536320,openai-gpt
Pea,is a vegetable.,pea,vegetable,1,-15.558061361312866,116536320,openai-gpt
Carrot,is a vegetable.,carrot,vegetable,2,-14.999802589416504,116536320,openai-gpt
Green bean,is a vegetable.,green bean,vegetable,3,-13.962633609771729,116536320,openai-gpt
String bean,is a vegetable.,string bean,vegetable,4,-14.156400203704834,116536320,openai-gpt
Spinach,is a vegetable.,spinach,vegetable,5,-14.349407434463501,116536320,openai-gpt
Broccoli,is a vegetable.,broccoli,vegetable,6,-14.123812913894653,116536320,openai-gpt
Asparagus,is a vegetable.,asparagus,vegetable,7,-14.307482957839966,116536320,openai-gpt
Corn,is a vegetable.,corn,vegetable,8,-14.09904170036316,116536320,openai-gpt
Cauliflower,is a vegetable.,cauliflower,vegetable,9,-15.39755916595459,116536320,openai-gpt
Brussels sprouts,are vegetables.,brussels sprouts,vegetable,10,-14.651463985443115,116536320,openai-gpt
Squash,is a vegetable.,squash,vegetable,11,-13.977509498596191,116536320,openai-gpt
Lettuce,is a vegetable.,lettuce,vegetable,12,-13.388474464416504,116536320,openai-gpt
Celery,is a vegetable.,celery,vegetable,13,-14.347412586212158,116536320,openai-gpt
Cucumber,is a vegetable.,cucumber,vegetable,14,-15.314620971679688,116536320,openai-gpt
Beet,is a vegetable.,beet,vegetable,15,-21.23035430908203,116536320,openai-gpt
Green,is a vegetable.,green,vegetable,16,-16.614415884017944,116536320,openai-gpt
Tomato,is a vegetable.,tomato,vegetable,17,-15.972737550735474,116536320,openai-gpt
Lima bean,is a vegetable.,lima bean,vegetable,18,-13.761350393295288,116536320,openai-gpt
Artichoke,is a vegetable.,artichoke,vegetable,19,-14.558300971984863,116536320,openai-gpt
Turnip,is a vegetable.,turnip,vegetable,20,-13.97290587425232,116536320,openai-gpt
Eggplant,is a vegetable.,eggplant,vegetable,21,-14.16867184638977,116536320,openai-gpt
Romaine,is a vegetable.,romaine,vegetable,22,-17.124834299087524,116536320,openai-gpt
Green pepper,is a vegetable.,green pepper,vegetable,23,-14.590513229370117,116536320,openai-gpt
Okra,is a vegetable.,okra,vegetable,24,-13.51326847076416,116536320,openai-gpt
Radish,is a vegetable.,radish,vegetable,25,-13.215316772460938,116536320,openai-gpt
Onion,is a vegetable.,onion,vegetable,26,-15.043448686599731,116536320,openai-gpt
Bean,is a vegetable.,bean,vegetable,27,-15.574105501174927,116536320,openai-gpt
Green onion,is a vegetable.,green onion,vegetable,28,-14.008191585540771,116536320,openai-gpt
Potato,is a vegetable.,potato,vegetable,29,-15.860411643981934,116536320,openai-gpt
Parsnip,is a vegetable.,parsnip,vegetable,30,-13.33305549621582,116536320,openai-gpt
Turnip green,is a vegetable.,turnip green,vegetable,31,-15.661111831665039,116536320,openai-gpt
Collard,is a vegetable.,collard,vegetable,32,-16.72352385520935,116536320,openai-gpt
Wax bean,is a vegetable.,wax bean,vegetable,33,-14.56871509552002,116536320,openai-gpt
Watercress,is a vegetable.,watercress,vegetable,34,-14.351511478424072,116536320,openai-gpt
Black eyed pea,is a vegetable.,black eyed pea,vegetable,35,-17.51649498939514,116536320,openai-gpt
Leek,is a vegetable.,leek,vegetable,36,-16.634299516677856,116536320,openai-gpt
Pepper,is a vegetable.,pepper,vegetable,37,-15.647322654724121,116536320,openai-gpt
Sweet potato,is a vegetable.,sweet potato,vegetable,38,-15.785340785980225,116536320,openai-gpt
Yam,is a vegetable.,yam,vegetable,39,-15.06705379486084,116536320,openai-gpt
Parsley,is a vegetable.,parsley,vegetable,40,-12.814114570617676,116536320,openai-gpt
Endive,is a vegetable.,endive,vegetable,41,-18.739060878753662,116536320,openai-gpt
Rutabaga,is a vegetable.,rutabaga,vegetable,42,-13.09096908569336,116536320,openai-gpt
Mushroom,is a vegetable.,mushroom,vegetable,43,-14.135705947875977,116536320,openai-gpt
Avocado,is a vegetable.,avocado,vegetable,44,-14.673673629760742,116536320,openai-gpt
Rhubarb,is a vegetable.,rhubarb,vegetable,45,-13.953675746917725,116536320,openai-gpt
Kale,is a vegetable.,kale,vegetable,46,-16.823275089263916,116536320,openai-gpt
Escarole,is a vegetable.,escarole,vegetable,47,-15.45696234703064,116536320,openai-gpt
Sauerkraut,is a vegetable.,sauerkraut,vegetable,48,-13.528300523757935,116536320,openai-gpt
Pickle,is a vegetable.,pickle,vegetable,49,-13.44700288772583,116536320,openai-gpt
Baked bean,is a vegetable.,baked bean,vegetable,50,-15.155824422836304,116536320,openai-gpt
Pumpkin,is a vegetable.,pumpkin,vegetable,51,-13.637237787246704,116536320,openai-gpt
Seaweed,is a vegetable.,seaweed,vegetable,52,-16.004971981048584,116536320,openai-gpt
Garlic,is a vegetable.,garlic,vegetable,53,-14.336675643920898,116536320,openai-gpt
Dandelion,is a vegetable.,dandelion,vegetable,54,-16.310628175735474,116536320,openai-gpt
Peanut,is a vegetable.,peanut,vegetable,55,-18.485609531402588,116536320,openai-gpt
Rice,is a vegetable.,rice,vegetable,56,-14.969488143920898,116536320,openai-gpt
A saw,is a tool.,saw,tool,1,-12.653648376464844,116536320,openai-gpt
A hammer,is a tool.,hammer,tool,2,-13.220963716506958,116536320,openai-gpt
A ruler,is a tool.,ruler,tool,3,-13.723170280456543,116536320,openai-gpt
A screwdriver,is a tool.,screwdriver,tool,4,-14.331532716751099,116536320,openai-gpt
A drill,is a tool.,drill,tool,5,-14.62584137916565,116536320,openai-gpt
A nail,is a tool.,nail,tool,6,-15.292969465255737,116536320,openai-gpt
A tape measure,is a tool.,tape measure,tool,7,-18.071715831756592,116536320,openai-gpt
A sawhorse,is a tool.,sawhorse,tool,8,-18.4525043964386,116536320,openai-gpt
A sandpaper,is a tool.,sandpaper,tool,9,-19.15460228919983,116536320,openai-gpt
A sander,is a tool.,sander,tool,10,-14.082354545593262,116536320,openai-gpt
A level,is a tool.,level,tool,11,-22.381267786026,116536320,openai-gpt
A plane,is a tool.,plane,tool,12,-18.97975182533264,116536320,openai-gpt
A file,is a tool.,file,tool,13,-18.764061450958252,116536320,openai-gpt
A toolbox,is a tool.,toolbox,tool,14,-16.741150856018066,116536320,openai-gpt
A t-square,is a tool.,T-square,tool,15,-19.758381605148315,116536320,openai-gpt
A chisel,is a tool.,chisel,tool,16,-13.555018424987793,116536320,openai-gpt
A rasp,is a tool.,rasp,tool,17,-21.793628931045532,116536320,openai-gpt
A pencil,is a tool.,pencil,tool,18,-14.949508905410767,116536320,openai-gpt
