preamble,stimulus,item,category,rank,score,params,model
A doll,is a toy.,doll,toy,1,-18.420633792877197,17845424,albert-large-v1
A top,is a toy.,top,toy,2,-17.79304790496826,17845424,albert-large-v1
A jack-in-the-box,is a toy.,jack-in-the-box,toy,3,-19.522148609161377,17845424,albert-large-v1
A toy soldier,is a toy.,toy soldier,toy,4,-6.90125846862793,17845424,albert-large-v1
A yo-yo,is a toy.,yo-yo,toy,5,-12.957786560058594,17845424,albert-large-v1
A block,is a toy.,block,toy,6,-19.782925128936768,17845424,albert-large-v1
Marbles,are toys.,marbles,toy,7,-16.780600547790527,17845424,albert-large-v1
A rattle,is a toy.,rattle,toy,8,-21.456809997558594,17845424,albert-large-v1
A stuffed animal,is a toy.,stuffed animal,toy,9,-18.642351150512695,17845424,albert-large-v1
A water pistol,is a toy.,water pistol,toy,10,-22.5256290435791,17845424,albert-large-v1
A teddy bear,is a toy.,teddy bear,toy,11,-22.282557010650635,17845424,albert-large-v1
A rocking horse,is a toy.,rocking horse,toy,12,-18.96109676361084,17845424,albert-large-v1
A doll house,is a toy.,doll house,toy,13,-20.68111228942871,17845424,albert-large-v1
A ball,is a toy.,ball,toy,14,-15.531341075897217,17845424,albert-large-v1
Jacks,are toys.,jacks,toy,15,-12.836145401000977,17845424,albert-large-v1
Paper dolls,are toys.,paper dolls,toy,16,-11.418042182922363,17845424,albert-large-v1
An erector set,is a toy.,erector set,toy,17,-17.518101692199707,17845424,albert-large-v1
A hula hoop,is a toy.,hula hoop,toy,18,-17.120230197906494,17845424,albert-large-v1
A jump rope,is a toy.,jump rope,toy,19,-17.224545001983643,17845424,albert-large-v1
A pogo stick,is a toy.,pogo stick,toy,20,-17.465399742126465,17845424,albert-large-v1
A clay,is a toy.,clay,toy,21,-15.26831579208374,17845424,albert-large-v1
A wagon,is a toy.,wagon,toy,22,-19.953972816467285,17845424,albert-large-v1
A kite,is a toy.,kite,toy,23,-16.66129970550537,17845424,albert-large-v1
A train,is a toy.,train,toy,24,-16.512667655944824,17845424,albert-large-v1
A tricycle,is a toy.,tricycle,toy,25,-18.257269859313965,17845424,albert-large-v1
A coloring book,is a toy.,coloring book,toy,26,-16.847147464752197,17845424,albert-large-v1
Crayons,are toys.,crayons,toy,27,-13.60483169555664,17845424,albert-large-v1
A truck,is a toy.,truck,toy,28,-20.025615692138672,17845424,albert-large-v1
A puzzle,is a toy.,puzzle,toy,29,-19.48148822784424,17845424,albert-large-v1
A fire engine,is a toy.,fire engine,toy,30,-17.52670383453369,17845424,albert-large-v1
A balloon,is a toy.,balloon,toy,31,-17.064873218536377,17845424,albert-large-v1
Skates,are toys.,skates,toy,32,-12.929668426513672,17845424,albert-large-v1
A baseball,is a toy.,baseball,toy,33,-15.329795837402344,17845424,albert-large-v1
A drum,is a toy.,drum,toy,34,-18.589879989624023,17845424,albert-large-v1
A football,is a toy.,football,toy,35,-15.633512020111084,17845424,albert-large-v1
A game,is a toy.,game,toy,36,-17.33189105987549,17845424,albert-large-v1
A swing,is a toy.,swing,toy,37,-22.284017086029053,17845424,albert-large-v1
A boat,is a toy.,boat,toy,38,-17.3964204788208,17845424,albert-large-v1
A monopoly,is a toy.,monopoly,toy,39,-18.11297082901001,17845424,albert-large-v1
A sled,is a toy.,sled,toy,40,-20.78108501434326,17845424,albert-large-v1
A seesaw,is a toy.,seesaw,toy,41,-19.23253297805786,17845424,albert-large-v1
Stilts,are toys.,stilts,toy,42,-16.580150604248047,17845424,albert-large-v1
Checkers,are toys.,checkers,toy,43,-17.255565643310547,17845424,albert-large-v1
A bat,is a toy.,bat,toy,44,-15.080798149108887,17845424,albert-large-v1
A car,is a toy.,car,toy,45,-18.669334888458252,17845424,albert-large-v1
