conclusion,category,blankpredicate,category_word,predicate_id,argument_id,logprob,normalized_logprob,params,model
All vehicles are vorpal.,vehicle,are,vehicles,3,4,-98.20064878463745,-14.028664112091064,110104890,bert-base-uncased
All vegetables are mimsy.,vegetable,are,vegetables,2,3,-93.589430809021,-13.369918687002999,110104890,bert-base-uncased
All tools can be daxed.,tool,can be,tools,2,1,-92.1143388748169,-13.159191267830986,110104890,bert-base-uncased
All furniture can be blicked.,furniture,can be,furniture,2,3,-115.90506887435913,-14.488133609294891,110104890,bert-base-uncased
All weapons are mimsy.,weapon,are,weapons,3,3,-94.62401247024536,-13.51771606717791,110104890,bert-base-uncased
All vegetables have jabberwocks.,vegetable,have,vegetables,3,4,-128.2663493156433,-16.033293664455414,110104890,bert-base-uncased
All furniture have wugs.,furniture,have,furniture,5,1,-89.92565822601318,-14.987609704335531,110104890,bert-base-uncased
All fruits can be daxed.,fruit,can be,fruits,1,1,-87.48173952102661,-12.49739136014666,110104890,bert-base-uncased
All vehicles can gyre.,vehicle,can,vehicles,1,4,-82.57526540756226,-13.76254423459371,110104890,bert-base-uncased
All vehicles can be gimbled.,vehicle,can be,vehicles,2,5,-95.3526177406311,-13.621802534375872,110104890,bert-base-uncased
All furniture use a jabberwock.,furniture,use a,furniture,4,4,-134.98785495758057,-14.998650550842285,110104890,bert-base-uncased
All tools use a fep.,tool,use a,tools,4,2,-92.65677738189697,-13.236682483128138,110104890,bert-base-uncased
All furniture can be wiffed.,furniture,can be,furniture,2,2,-109.02318525314331,-15.574740750449044,110104890,bert-base-uncased
All weapons can blick.,weapon,can,weapons,1,3,-74.44064140319824,-12.406773567199707,110104890,bert-base-uncased
All fruits have toves.,fruit,have,fruits,3,5,-80.37730312347412,-13.396217187245687,110104890,bert-base-uncased
All birds can wif.,bird,can,birds,1,2,-76.19405508041382,-12.69900918006897,110104890,bert-base-uncased
All furniture can gimble.,furniture,can,furniture,1,5,-89.43745994567871,-14.906243324279785,110104890,bert-base-uncased
All birds love jabberwocks.,bird,love,birds,5,4,-111.19500494003296,-13.89937561750412,110104890,bert-base-uncased
All birds can gyre.,bird,can,birds,1,4,-76.2390308380127,-12.706505139668783,110104890,bert-base-uncased
All vegetables are frabjous.,vegetable,are,vegetables,2,5,-114.76036405563354,-14.345045506954193,110104890,bert-base-uncased
All furniture can dax.,furniture,can,furniture,1,1,-70.30701065063477,-14.061402130126954,110104890,bert-base-uncased
All tools have feps.,tool,have,tools,5,2,-90.9730224609375,-15.16217041015625,110104890,bert-base-uncased
All weapons are beamish.,weapon,are,weapons,3,1,-79.03222703933716,-13.172037839889526,110104890,bert-base-uncased
All vehicles can dax.,vehicle,can,vehicles,1,1,-67.8993239402771,-13.57986478805542,110104890,bert-base-uncased
All tools use a wug.,tool,use a,tools,4,1,-95.66741275787354,-13.666773251124791,110104890,bert-base-uncased
All fruits are slithy.,fruit,are,fruits,2,2,-75.20350170135498,-12.53391695022583,110104890,bert-base-uncased
All tools can be gyred.,tool,can be,tools,2,4,-106.84838008880615,-13.356047511100769,110104890,bert-base-uncased
All birds can blick.,bird,can,birds,1,3,-66.02162790298462,-11.003604650497437,110104890,bert-base-uncased
All furniture use a blicket.,furniture,use a,furniture,4,3,-103.78709363937378,-12.973386704921722,110104890,bert-base-uncased
All birds use a fep.,bird,use a,birds,4,2,-96.85161399841309,-13.835944856916155,110104890,bert-base-uncased
All tools can be blicked.,tool,can be,tools,2,3,-104.77885627746582,-13.097357034683228,110104890,bert-base-uncased
All sports require gimbling.,sport,requires,sports,2,5,-87.02420282363892,-14.50403380393982,110104890,bert-base-uncased
All fruits can be gyred.,fruit,can be,fruits,1,4,-105.21328687667847,-13.151660859584808,110104890,bert-base-uncased
