preamble,stimulus,item,category,feature,score,params,model
A robin,is alive.,robin,bird,1,-12.406669616699219,354824192,gpt2-medium
A sparrow,is alive.,sparrow,bird,1,-12.371986389160156,354824192,gpt2-medium
A bluejay,is alive.,bluejay,bird,1,-14.850555419921875,354824192,gpt2-medium
A bluebird,is alive.,bluebird,bird,1,-13.029693603515625,354824192,gpt2-medium
A canary,is alive.,canary,bird,1,-13.002128601074219,354824192,gpt2-medium
A blackbird,is alive.,blackbird,bird,1,-13.337310791015625,354824192,gpt2-medium
A dove,is alive.,dove,bird,1,-12.160099029541016,354824192,gpt2-medium
A lark,is alive.,lark,bird,1,-14.177207946777344,354824192,gpt2-medium
A swallow,is alive.,swallow,bird,1,-13.539363861083984,354824192,gpt2-medium
A parakeet,is alive.,parakeet,bird,1,-14.296672821044922,354824192,gpt2-medium
An oriole,is alive.,oriole,bird,1,-14.684406280517578,354824192,gpt2-medium
A mockingbird,is alive.,mockingbird,bird,1,-14.289981842041016,354824192,gpt2-medium
A redbird,is alive.,redbird,bird,1,-13.327987670898438,354824192,gpt2-medium
A wren,is alive.,wren,bird,1,-14.464696884155273,354824192,gpt2-medium
A finch,is alive.,finch,bird,1,-13.218158721923828,354824192,gpt2-medium
A starling,is alive.,starling,bird,1,-14.163078308105469,354824192,gpt2-medium
A cardinal,is alive.,cardinal,bird,1,-15.118331909179688,354824192,gpt2-medium
An eagle,is alive.,eagle,bird,1,-12.90848159790039,354824192,gpt2-medium
A hummingbird,is alive.,hummingbird,bird,1,-12.752639770507812,354824192,gpt2-medium
A seagull,is alive.,seagull,bird,1,-14.073196411132812,354824192,gpt2-medium
A woodpecker,is alive.,woodpecker,bird,1,-13.60028076171875,354824192,gpt2-medium
A pigeon,is alive.,pigeon,bird,1,-12.506950378417969,354824192,gpt2-medium
A thrush,is alive.,thrush,bird,1,-14.629318237304688,354824192,gpt2-medium
A falcon,is alive.,falcon,bird,1,-13.405513763427734,354824192,gpt2-medium
A crow,is alive.,crow,bird,1,-13.293167114257812,354824192,gpt2-medium
A hawk,is alive.,hawk,bird,1,-14.069740295410156,354824192,gpt2-medium
A raven,is alive.,raven,bird,1,-13.007396697998047,354824192,gpt2-medium
A goldfinch,is alive.,goldfinch,bird,1,-14.856494903564453,354824192,gpt2-medium
A parrot,is alive.,parrot,bird,1,-13.222755432128906,354824192,gpt2-medium
A sandpiper,is alive.,sandpiper,bird,1,-14.690052032470703,354824192,gpt2-medium
A pheasant,is alive.,pheasant,bird,1,-12.13922119140625,354824192,gpt2-medium
A catbird,is alive.,catbird,bird,1,-13.601844787597656,354824192,gpt2-medium
A crane,is alive.,crane,bird,1,-19.114585876464844,354824192,gpt2-medium
An albatross,is alive.,albatross,bird,1,-13.466114044189453,354824192,gpt2-medium
A condor,is alive.,condor,bird,1,-12.53292465209961,354824192,gpt2-medium
A toucan,is alive.,toucan,bird,1,-12.569107055664062,354824192,gpt2-medium
An owl,is alive.,owl,bird,1,-12.554512023925781,354824192,gpt2-medium
A pelican,is alive.,pelican,bird,1,-12.888763427734375,354824192,gpt2-medium
A goose,is alive.,goose,bird,1,-11.311187744140625,354824192,gpt2-medium
A vulture,is alive.,vulture,bird,1,-14.500434875488281,354824192,gpt2-medium
A stork,is alive.,stork,bird,1,-12.947467803955078,354824192,gpt2-medium
A buzzard,is alive.,buzzard,bird,1,-14.42108154296875,354824192,gpt2-medium
A swan,is alive.,swan,bird,1,-11.818359375,354824192,gpt2-medium
A flamingo,is alive.,flamingo,bird,1,-12.27142333984375,354824192,gpt2-medium
A duck,is alive.,duck,bird,1,-10.34930419921875,354824192,gpt2-medium
A peacock,is alive.,peacock,bird,1,-12.600196838378906,354824192,gpt2-medium
An egret,is alive.,egret,bird,1,-14.977956771850586,354824192,gpt2-medium
A chicken,is alive.,chicken,bird,1,-10.191291809082031,354824192,gpt2-medium
A turkey,is alive.,turkey,bird,1,-9.996994018554688,354824192,gpt2-medium
An ostrich,is alive.,ostrich,bird,1,-12.788795471191406,354824192,gpt2-medium
A titmouse,is alive.,titmouse,bird,1,-14.036846160888672,354824192,gpt2-medium
An emu,is alive.,emu,bird,1,-12.213233947753906,354824192,gpt2-medium
A penguin,is alive.,penguin,bird,1,-13.468582153320312,354824192,gpt2-medium
A bat,is alive.,bat,bird,1,-12.198799133300781,354824192,gpt2-medium
A robin,flies.,robin,bird,2,-11.474098205566406,354824192,gpt2-medium
A sparrow,flies.,sparrow,bird,2,-10.1561279296875,354824192,gpt2-medium
A bluejay,flies.,bluejay,bird,2,-11.98321533203125,354824192,gpt2-medium
A bluebird,flies.,bluebird,bird,2,-10.559333801269531,354824192,gpt2-medium
A canary,flies.,canary,bird,2,-13.770973205566406,354824192,gpt2-medium
A blackbird,flies.,blackbird,bird,2,-10.385383605957031,354824192,gpt2-medium
A dove,flies.,dove,bird,2,-11.123550415039062,354824192,gpt2-medium
A lark,flies.,lark,bird,2,-14.461082458496094,354824192,gpt2-medium
A swallow,flies.,swallow,bird,2,-11.194992065429688,354824192,gpt2-medium
A parakeet,flies.,parakeet,bird,2,-13.139884948730469,354824192,gpt2-medium
An oriole,flies.,oriole,bird,2,-15.392570495605469,354824192,gpt2-medium
A mockingbird,flies.,mockingbird,bird,2,-11.699493408203125,354824192,gpt2-medium
A redbird,flies.,redbird,bird,2,-10.820686340332031,354824192,gpt2-medium
A wren,flies.,wren,bird,2,-11.787094116210938,354824192,gpt2-medium
A finch,flies.,finch,bird,2,-11.191970825195312,354824192,gpt2-medium
A starling,flies.,starling,bird,2,-11.142425537109375,354824192,gpt2-medium
