stimulus,item,category,feature,logprob,normalized_logprob,params,model
a robin is alive.,robin,bird,1,-31.87668752670288,-5.31278125445048,116537088,openai-gpt
a sparrow is alive.,sparrow,bird,1,-32.225218772888184,-5.370869795481364,116537088,openai-gpt
a bluejay is alive.,bluejay,bird,1,-36.81527900695801,-5.259325572422573,116537088,openai-gpt
a bluebird is alive.,bluebird,bird,1,-33.91345834732056,-4.844779763902936,116537088,openai-gpt
a canary is alive.,canary,bird,1,-32.97827911376953,-5.496379852294922,116537088,openai-gpt
a blackbird is alive.,blackbird,bird,1,-33.060250759124756,-4.722892965589251,116537088,openai-gpt
a dove is alive.,dove,bird,1,-32.23618221282959,-5.372697035471599,116537088,openai-gpt
a lark is alive.,lark,bird,1,-37.19066381454468,-6.198443969090779,116537088,openai-gpt
a swallow is alive.,swallow,bird,1,-38.36291027069092,-6.393818378448486,116537088,openai-gpt
a parakeet is alive.,parakeet,bird,1,-35.68117713928223,-4.460147142410278,116537088,openai-gpt
an oriole is alive.,oriole,bird,1,-37.653903007507324,-6.275650501251221,116537088,openai-gpt
a mockingbird is alive.,mockingbird,bird,1,-34.24336242675781,-4.891908918108259,116537088,openai-gpt
a redbird is alive.,redbird,bird,1,-36.20825386047363,-5.172607694353376,116537088,openai-gpt
a wren is alive.,wren,bird,1,-34.32381582260132,-5.720635970433553,116537088,openai-gpt
a finch is alive.,finch,bird,1,-32.92958402633667,-5.488264004389445,116537088,openai-gpt
a starling is alive.,starling,bird,1,-35.279653549194336,-5.039950507027762,116537088,openai-gpt
a cardinal is alive.,cardinal,bird,1,-32.461533546447754,-5.410255591074626,116537088,openai-gpt
an eagle is alive.,eagle,bird,1,-31.510957717895508,-5.251826286315918,116537088,openai-gpt
a hummingbird is alive.,hummingbird,bird,1,-33.28299570083618,-5.547165950139363,116537088,openai-gpt
a seagull is alive.,seagull,bird,1,-33.44462966918945,-5.574104944864909,116537088,openai-gpt
a woodpecker is alive.,woodpecker,bird,1,-32.936728954315186,-5.489454825719197,116537088,openai-gpt
a pigeon is alive.,pigeon,bird,1,-31.925001621246338,-5.320833603541057,116537088,openai-gpt
a thrush is alive.,thrush,bird,1,-34.168949604034424,-4.8812785148620605,116537088,openai-gpt
a falcon is alive.,falcon,bird,1,-33.40476083755493,-5.567460139592488,116537088,openai-gpt
a crow is alive.,crow,bird,1,-31.870526790618896,-5.311754465103149,116537088,openai-gpt
a hawk is alive.,hawk,bird,1,-32.07732057571411,-5.346220095952352,116537088,openai-gpt
a raven is alive.,raven,bird,1,-31.359248161315918,-5.226541360219319,116537088,openai-gpt
a goldfinch is alive.,goldfinch,bird,1,-35.79242420196533,-5.1132034574236185,116537088,openai-gpt
a parrot is alive.,parrot,bird,1,-31.9665207862854,-5.3277534643809,116537088,openai-gpt
a sandpiper is alive.,sandpiper,bird,1,-37.965946197509766,-5.423706599644253,116537088,openai-gpt
a pheasant is alive.,pheasant,bird,1,-35.4017596244812,-4.42521995306015,116537088,openai-gpt
