preamble,stimulus,item,category,rank,score,params,model
A doll,is a toy.,doll,toy,1,-8.801526069641113,82760793,distilroberta-base
A top,is a toy.,top,toy,2,-16.808809280395508,82760793,distilroberta-base
A jack-in-the-box,is a toy.,jack-in-the-box,toy,3,-10.047548294067383,82760793,distilroberta-base
A toy soldier,is a toy.,toy soldier,toy,4,-14.903251647949219,82760793,distilroberta-base
A yo-yo,is a toy.,yo-yo,toy,5,-9.996793746948242,82760793,distilroberta-base
A block,is a toy.,block,toy,6,-12.861393928527832,82760793,distilroberta-base
Marbles,are toys.,marbles,toy,7,-16.159607887268066,82760793,distilroberta-base
A rattle,is a toy.,rattle,toy,8,-11.014633178710938,82760793,distilroberta-base
A stuffed animal,is a toy.,stuffed animal,toy,9,-8.617918014526367,82760793,distilroberta-base
A water pistol,is a toy.,water pistol,toy,10,-9.604508399963379,82760793,distilroberta-base
A teddy bear,is a toy.,teddy bear,toy,11,-9.423591613769531,82760793,distilroberta-base
A rocking horse,is a toy.,rocking horse,toy,12,-11.4593505859375,82760793,distilroberta-base
A doll house,is a toy.,doll house,toy,13,-11.57612419128418,82760793,distilroberta-base
A ball,is a toy.,ball,toy,14,-9.973101615905762,82760793,distilroberta-base
Jacks,are toys.,jacks,toy,15,-17.9027099609375,82760793,distilroberta-base
Paper dolls,are toys.,paper dolls,toy,16,-8.595351219177246,82760793,distilroberta-base
An erector set,is a toy.,erector set,toy,17,-13.472208023071289,82760793,distilroberta-base
A hula hoop,is a toy.,hula hoop,toy,18,-9.442975044250488,82760793,distilroberta-base
A jump rope,is a toy.,jump rope,toy,19,-10.661812782287598,82760793,distilroberta-base
A pogo stick,is a toy.,pogo stick,toy,20,-9.743342399597168,82760793,distilroberta-base
A clay,is a toy.,clay,toy,21,-13.701817512512207,82760793,distilroberta-base
A wagon,is a toy.,wagon,toy,22,-11.265026092529297,82760793,distilroberta-base
A kite,is a toy.,kite,toy,23,-11.229510307312012,82760793,distilroberta-base
A train,is a toy.,train,toy,24,-10.978837966918945,82760793,distilroberta-base
A tricycle,is a toy.,tricycle,toy,25,-9.889838218688965,82760793,distilroberta-base
A coloring book,is a toy.,coloring book,toy,26,-10.295953750610352,82760793,distilroberta-base
Crayons,are toys.,crayons,toy,27,-13.523211479187012,82760793,distilroberta-base
A truck,is a toy.,truck,toy,28,-11.850085258483887,82760793,distilroberta-base
A puzzle,is a toy.,puzzle,toy,29,-12.30382251739502,82760793,distilroberta-base
A fire engine,is a toy.,fire engine,toy,30,-11.69498062133789,82760793,distilroberta-base
A balloon,is a toy.,balloon,toy,31,-9.632781028747559,82760793,distilroberta-base
Skates,are toys.,skates,toy,32,-15.025724411010742,82760793,distilroberta-base
A baseball,is a toy.,baseball,toy,33,-10.36870002746582,82760793,distilroberta-base
A drum,is a toy.,drum,toy,34,-11.678221702575684,82760793,distilroberta-base
A football,is a toy.,football,toy,35,-9.210796356201172,82760793,distilroberta-base
A game,is a toy.,game,toy,36,-11.534875869750977,82760793,distilroberta-base
A swing,is a toy.,swing,toy,37,-12.218698501586914,82760793,distilroberta-base
A boat,is a toy.,boat,toy,38,-11.99335765838623,82760793,distilroberta-base
A monopoly,is a toy.,monopoly,toy,39,-16.613896369934082,82760793,distilroberta-base
A sled,is a toy.,sled,toy,40,-10.102066040039062,82760793,distilroberta-base
A seesaw,is a toy.,seesaw,toy,41,-13.131619453430176,82760793,distilroberta-base
Stilts,are toys.,stilts,toy,42,-13.634093761444092,82760793,distilroberta-base
Checkers,are toys.,checkers,toy,43,-16.970070838928223,82760793,distilroberta-base
A bat,is a toy.,bat,toy,44,-10.641023635864258,82760793,distilroberta-base
A car,is a toy.,car,toy,45,-9.465540885925293,82760793,distilroberta-base
An airplane,is a toy.,airplane,toy,46,-10.25079345703125,82760793,distilroberta-base
A bicycle,is a toy.,bicycle,toy,47,-9.443863868713379,82760793,distilroberta-base
A tractor,is a toy.,tractor,toy,48,-10.912817001342773,82760793,distilroberta-base
A sandbox,is a toy.,sandbox,toy,49,-11.872583389282227,82760793,distilroberta-base
A bike,is a toy.,bike,toy,50,-9.994969367980957,82760793,distilroberta-base
A bow and arrow,is a toy.,bow and arrow,toy,51,-11.77830982208252,82760793,distilroberta-base
A rope,is a toy.,rope,toy,52,-11.60186767578125,82760793,distilroberta-base
Dishes,are toys.,dishes,toy,53,-19.059839725494385,82760793,distilroberta-base
Cards,are toys.,cards,toy,54,-19.916152000427246,82760793,distilroberta-base
A mitt,is a toy.,mitt,toy,55,-12.21900463104248,82760793,distilroberta-base
A horse,is a toy.,horse,toy,56,-11.923246383666992,82760793,distilroberta-base
A gun,is a toy.,gun,toy,57,-9.093225479125977,82760793,distilroberta-base
Animals,are toys.,animals,toy,58,-10.769352912902832,82760793,distilroberta-base
A tennis racket,is a toy.,tennis racket,toy,59,-9.434804916381836,82760793,distilroberta-base
Books,are toys.,books,toy,60,-13.962027549743652,82760793,distilroberta-base
A robin,is a bird.,robin,bird,1,-14.358447074890137,82760793,distilroberta-base
A sparrow,is a bird.,sparrow,bird,2,-9.865524291992188,82760793,distilroberta-base
A bluejay,is a bird.,bluejay,bird,3,-11.49201774597168,82760793,distilroberta-base
A bluebird,is a bird.,bluebird,bird,4,-9.50959300994873,82760793,distilroberta-base
A canary,is a bird.,canary,bird,5,-11.248538970947266,82760793,distilroberta-base
A blackbird,is a bird.,blackbird,bird,6,-9.265989303588867,82760793,distilroberta-base
A dove,is a bird.,dove,bird,7,-10.302593231201172,82760793,distilroberta-base
A lark,is a bird.,lark,bird,8,-10.665487289428711,82760793,distilroberta-base
A swallow,is a bird.,swallow,bird,9,-12.137264251708984,82760793,distilroberta-base
A parakeet,is a bird.,parakeet,bird,10,-10.97986888885498,82760793,distilroberta-base
An oriole,is a bird.,oriole,bird,11,-9.867149353027344,82760793,distilroberta-base
A mockingbird,is a bird.,mockingbird,bird,12,-8.654175758361816,82760793,distilroberta-base
A redbird,is a bird.,redbird,bird,13,-9.104537010192871,82760793,distilroberta-base
A wren,is a bird.,wren,bird,14,-12.410719871520996,82760793,distilroberta-base
A finch,is a bird.,finch,bird,15,-13.575483322143555,82760793,distilroberta-base
A starling,is a bird.,starling,bird,16,-12.778031349182129,82760793,distilroberta-base
A cardinal,is a bird.,cardinal,bird,17,-11.957101821899414,82760793,distilroberta-base
An eagle,is a bird.,eagle,bird,18,-10.46055793762207,82760793,distilroberta-base
A hummingbird,is a bird.,hummingbird,bird,19,-8.4308500289917,82760793,distilroberta-base
A seagull,is a bird.,seagull,bird,20,-9.858375549316406,82760793,distilroberta-base
A woodpecker,is a bird.,woodpecker,bird,21,-11.180964469909668,82760793,distilroberta-base
A pigeon,is a bird.,pigeon,bird,22,-8.573278427124023,82760793,distilroberta-base
A thrush,is a bird.,thrush,bird,23,-13.310040950775146,82760793,distilroberta-base
A falcon,is a bird.,falcon,bird,24,-9.619196891784668,82760793,distilroberta-base
A crow,is a bird.,crow,bird,25,-10.023530006408691,82760793,distilroberta-base
