premise,conclusion,control,item,category,blankpredicate,item_word,category_word,predicate_id,argument_id,score,conclusion_only,control_score,shuffled_diff,shuffled_diff_sd,params,model
Dolls can be daxed.,All toys can be daxed.,All birds can be daxed.,doll,toy,can be,Dolls,toys,1,1,-20.05769157409668,-38.10236072540283,-22.17792844772339,4.3011274337768555,3.042971134185791,335174458,bert-large-uncased
Dolls can be wiffed.,All toys can be wiffed.,All birds can be wiffed.,doll,toy,can be,Dolls,toys,1,2,-7.74301290512085,-29.34881591796875,-9.768728733062744,-0.22249674797058105,1.9683117866516113,335174458,bert-large-uncased
Dolls can be blicked.,All toys can be blicked.,All birds can be blicked.,doll,toy,can be,Dolls,toys,1,3,-7.609434127807617,-25.956756591796875,-8.782721042633057,0.37752199172973633,2.7376792430877686,335174458,bert-large-uncased
Dolls can be gyred.,All toys can be gyred.,All birds can be gyred.,doll,toy,can be,Dolls,toys,1,4,-5.807070255279541,-28.013539791107178,-8.384302616119385,2.4211831092834473,3.299448251724243,335174458,bert-large-uncased
Dolls can be gimbled.,All toys can be gimbled.,All birds can be gimbled.,doll,toy,can be,Dolls,toys,1,5,-7.847225189208984,-39.11214065551758,-12.319762706756592,2.9275577068328857,2.841374635696411,335174458,bert-large-uncased
Dolls are beamish.,All toys are beamish.,All birds are beamish.,doll,toy,are,Dolls,toys,2,1,-7.112033367156982,-27.76588535308838,-8.44978380203247,-0.27157193422317505,1.3915959596633911,335174458,bert-large-uncased
Dolls are slithy.,All toys are slithy.,All birds are slithy.,doll,toy,are,Dolls,toys,2,2,-8.80241584777832,-28.468876361846924,-12.608131408691406,-0.06819009780883789,1.5153361558914185,335174458,bert-large-uncased
Dolls are mimsy.,All toys are mimsy.,All birds are mimsy.,doll,toy,are,Dolls,toys,2,3,-5.759221076965332,-25.161033153533936,-8.810119152069092,2.569268226623535,3.172391891479492,335174458,bert-large-uncased
Dolls are vorpal.,All toys are vorpal.,All birds are vorpal.,doll,toy,are,Dolls,toys,2,4,-6.231807708740234,-12.334481239318848,-6.248724460601807,2.3861892223358154,3.7064764499664307,335174458,bert-large-uncased
Dolls are frabjous.,All toys are frabjous.,All birds are frabjous.,doll,toy,are,Dolls,toys,2,5,-7.519560813903809,-43.00015163421631,-9.349754333496094,0.36369094252586365,1.4814751148223877,335174458,bert-large-uncased
Dolls have wugs.,All toys have wugs.,All birds have wugs.,doll,toy,have,Dolls,toys,3,1,-6.037423133850098,-29.16664695739746,-8.823920726776123,3.9955742359161377,1.174743413925171,335174458,bert-large-uncased
Dolls have feps.,All toys have feps.,All birds have feps.,doll,toy,have,Dolls,toys,3,2,-7.938669681549072,-33.26948690414429,-6.7812113761901855,3.1239981651306152,1.7852683067321777,335174458,bert-large-uncased
Dolls have blickets.,All toys have blickets.,All birds have blickets.,doll,toy,have,Dolls,toys,3,3,-8.716211318969727,-33.609046936035156,-7.954874038696289,0.4309313893318176,0.9031011462211609,335174458,bert-large-uncased
Dolls have jabberwocks.,All toys have jabberwocks.,All birds have jabberwocks.,doll,toy,have,Dolls,toys,3,4,-5.175680160522461,-21.075642585754395,-8.134253978729248,3.3438289165496826,1.4136073589324951,335174458,bert-large-uncased
Dolls have toves.,All toys have toves.,All birds have toves.,doll,toy,have,Dolls,toys,3,5,-28.460968017578125,-47.02354907989502,-28.582099437713623,-1.8351309299468994,2.9593348503112793,335174458,bert-large-uncased
Dolls use a wug.,All toys use a wug.,All birds use a wug.,doll,toy,use a,Dolls,toys,4,1,-8.743022441864014,-35.58116292953491,-7.44791316986084,3.520331621170044,3.4972710609436035,335174458,bert-large-uncased
Dolls use a fep.,All toys use a fep.,All birds use a fep.,doll,toy,use a,Dolls,toys,4,2,-8.501723766326904,-36.01092338562012,-7.7176008224487305,8.305623054504395,4.246335506439209,335174458,bert-large-uncased
Dolls use a blicket.,All toys use a blicket.,All birds use a blicket.,doll,toy,use a,Dolls,toys,4,3,-8.455411434173584,-35.55759382247925,-7.48415994644165,4.200078010559082,3.2897257804870605,335174458,bert-large-uncased
Dolls use a jabberwock.,All toys use a jabberwock.,All birds use a jabberwock.,doll,toy,use a,Dolls,toys,4,4,-7.077958583831787,-22.781885623931885,-6.746258735656738,4.981095314025879,3.480135202407837,335174458,bert-large-uncased
Dolls use a tove.,All toys use a tove.,All birds use a tove.,doll,toy,use a,Dolls,toys,4,5,-9.24737024307251,-35.47771453857422,-11.037684440612793,3.4020028114318848,1.976275086402893,335174458,bert-large-uncased
Tops can be daxed.,All toys can be daxed.,All birds can be daxed.,top,toy,can be,Tops,toys,1,1,-23.987235069274902,-38.10236072540283,-20.710928440093994,-1.1725314855575562,3.5386855602264404,335174458,bert-large-uncased
Tops can be wiffed.,All toys can be wiffed.,All birds can be wiffed.,top,toy,can be,Tops,toys,1,2,-10.721473693847656,-29.34881591796875,-7.445877552032471,1.4759294986724854,2.3179938793182373,335174458,bert-large-uncased
Tops can be blicked.,All toys can be blicked.,All birds can be blicked.,top,toy,can be,Tops,toys,1,3,-11.088509559631348,-25.956756591796875,-8.61429500579834,0.017867088317871094,2.514666795730591,335174458,bert-large-uncased
Tops can be gyred.,All toys can be gyred.,All birds can be gyred.,top,toy,can be,Tops,toys,1,4,-9.482836723327637,-28.013539791107178,-6.8150458335876465,1.2128190994262695,1.469850778579712,335174458,bert-large-uncased
Tops can be gimbled.,All toys can be gimbled.,All birds can be gimbled.,top,toy,can be,Tops,toys,1,5,-9.058713912963867,-39.11214065551758,-8.270033836364746,2.973557233810425,1.405983805656433,335174458,bert-large-uncased
Tops are beamish.,All toys are beamish.,All birds are beamish.,top,toy,are,Tops,toys,2,1,-10.654837608337402,-27.76588535308838,-9.495050430297852,-0.5392029881477356,0.4874727427959442,335174458,bert-large-uncased
Tops are slithy.,All toys are slithy.,All birds are slithy.,top,toy,are,Tops,toys,2,2,-10.556500434875488,-28.468876361846924,-7.590871810913086,-0.413046270608902,0.6142001152038574,335174458,bert-large-uncased
Tops are mimsy.,All toys are mimsy.,All birds are mimsy.,top,toy,are,Tops,toys,2,3,-9.749418258666992,-25.161033153533936,-7.640877723693848,0.27267521619796753,1.259108543395996,335174458,bert-large-uncased
Tops are vorpal.,All toys are vorpal.,All birds are vorpal.,top,toy,are,Tops,toys,2,4,-10.753629684448242,-12.334481239318848,-8.350574493408203,-0.6657190322875977,0.5354189872741699,335174458,bert-large-uncased
Tops are frabjous.,All toys are frabjous.,All birds are frabjous.,top,toy,are,Tops,toys,2,5,-11.986398696899414,-43.00015163421631,-9.332921981811523,-2.2279605865478516,0.7040640115737915,335174458,bert-large-uncased
Tops have wugs.,All toys have wugs.,All birds have wugs.,top,toy,have,Tops,toys,3,1,-9.281953811645508,-29.16664695739746,-5.35035514831543,2.482011079788208,1.9979327917099,335174458,bert-large-uncased
Tops have feps.,All toys have feps.,All birds have feps.,top,toy,have,Tops,toys,3,2,-10.850330352783203,-33.26948690414429,-6.929781436920166,-0.45254677534103394,1.3345011472702026,335174458,bert-large-uncased
Tops have blickets.,All toys have blickets.,All birds have blickets.,top,toy,have,Tops,toys,3,3,-15.9226655960083,-33.609046936035156,-9.362579822540283,-4.584501266479492,0.9582540392875671,335174458,bert-large-uncased
Tops have jabberwocks.,All toys have jabberwocks.,All birds have jabberwocks.,top,toy,have,Tops,toys,3,4,-9.210570812225342,-21.075642585754395,-5.404949188232422,1.0893299579620361,1.360547661781311,335174458,bert-large-uncased
Tops have toves.,All toys have toves.,All birds have toves.,top,toy,have,Tops,toys,3,5,-28.521050453186035,-47.02354907989502,-23.087067127227783,-4.934357643127441,2.4288668632507324,335174458,bert-large-uncased
Tops use a wug.,All toys use a wug.,All birds use a wug.,top,toy,use a,Tops,toys,4,1,-11.095633506774902,-35.58116292953491,-5.907747268676758,3.429563045501709,1.2011440992355347,335174458,bert-large-uncased
Tops use a fep.,All toys use a fep.,All birds use a fep.,top,toy,use a,Tops,toys,4,2,-12.063750267028809,-36.01092338562012,-8.494184017181396,3.7642662525177,0.9773710370063782,335174458,bert-large-uncased
Tops use a blicket.,All toys use a blicket.,All birds use a blicket.,top,toy,use a,Tops,toys,4,3,-12.8472580909729,-35.55759382247925,-7.7992072105407715,2.967970371246338,2.421581268310547,335174458,bert-large-uncased
Tops use a jabberwock.,All toys use a jabberwock.,All birds use a jabberwock.,top,toy,use a,Tops,toys,4,4,-11.060723781585693,-22.781885623931885,-5.8958330154418945,2.7669882774353027,2.0843100547790527,335174458,bert-large-uncased
Tops use a tove.,All toys use a tove.,All birds use a tove.,top,toy,use a,Tops,toys,4,5,-11.545336723327637,-35.47771453857422,-6.425363540649414,1.9006881713867188,1.7504674196243286,335174458,bert-large-uncased
Jacks-in-the box can be daxed.,All toys can be daxed.,All birds can be daxed.,jack-in-the-box,toy,can be,Jacks-in-the box,toys,1,1,-25.156596660614014,-38.10236072540283,-22.669548988342285,-0.10317840427160263,1.46425461769104,335174458,bert-large-uncased
