premise,conclusion,control,item,category,blankpredicate,item_word,category_word,predicate_id,argument_id,score,conclusion_only,control_score,shuffled_diff,shuffled_diff_sd,params,model
Dolls can be daxed.,All toys can be daxed.,All birds can be daxed.,doll,toy,can be,Dolls,toys,1,1,-15.111364364624023,-41.46149444580078,-18.307310104370117,3.8945751190185547,1.090787649154663,354824192,gpt2-medium
Dolls can be wiffed.,All toys can be wiffed.,All birds can be wiffed.,doll,toy,can be,Dolls,toys,1,2,-16.898717641830444,-39.22180366516113,-18.930785417556763,3.3033766746520996,2.1724109649658203,354824192,gpt2-medium
Dolls can be blicked.,All toys can be blicked.,All birds can be blicked.,doll,toy,can be,Dolls,toys,1,3,-17.71043872833252,-39.75189971923828,-18.527213096618652,1.9882627725601196,1.4842195510864258,354824192,gpt2-medium
Dolls can be gyred.,All toys can be gyred.,All birds can be gyred.,doll,toy,can be,Dolls,toys,1,4,-17.110267639160156,-41.592201232910156,-18.333723068237305,1.9195826053619385,1.4684785604476929,354824192,gpt2-medium
Dolls can be gimbled.,All toys can be gimbled.,All birds can be gimbled.,doll,toy,can be,Dolls,toys,1,5,-16.778205156326294,-42.837371826171875,-18.667869091033936,2.7098965644836426,1.6204932928085327,354824192,gpt2-medium
Dolls are beamish.,All toys are beamish.,All birds are beamish.,doll,toy,are,Dolls,toys,2,1,-16.857178688049316,-40.282997131347656,-17.05192756652832,4.455977439880371,0.9654576182365417,354824192,gpt2-medium
Dolls are slithy.,All toys are slithy.,All birds are slithy.,doll,toy,are,Dolls,toys,2,2,-14.644288063049316,-39.43482971191406,-15.906270980834961,2.9440715312957764,1.165342926979065,354824192,gpt2-medium
Dolls are mimsy.,All toys are mimsy.,All birds are mimsy.,doll,toy,are,Dolls,toys,2,3,-16.57759380340576,-43.79476737976074,-17.08509624004364,8.29880428314209,6.063952922821045,354824192,gpt2-medium
Dolls are vorpal.,All toys are vorpal.,All birds are vorpal.,doll,toy,are,Dolls,toys,2,4,-15.475040435791016,-37.553144454956055,-15.853681564331055,4.457938194274902,1.5336642265319824,354824192,gpt2-medium
Dolls are frabjous.,All toys are frabjous.,All birds are frabjous.,doll,toy,are,Dolls,toys,2,5,-15.590719223022461,-39.17677307128906,-17.882574558258057,2.5967795848846436,1.048925518989563,354824192,gpt2-medium
Dolls have wugs.,All toys have wugs.,All birds have wugs.,doll,toy,have,Dolls,toys,3,1,-15.306587219238281,-39.52836227416992,-15.885181427001953,4.600618839263916,1.025747537612915,354824192,gpt2-medium
Dolls have feps.,All toys have feps.,All birds have feps.,doll,toy,have,Dolls,toys,3,2,-15.107370376586914,-41.569950103759766,-16.13715362548828,4.106211185455322,2.8064122200012207,354824192,gpt2-medium
Dolls have blickets.,All toys have blickets.,All birds have blickets.,doll,toy,have,Dolls,toys,3,3,-16.69406509399414,-41.58575439453125,-15.351364135742188,4.7131500244140625,2.5996854305267334,354824192,gpt2-medium
Dolls have jabberwocks.,All toys have jabberwocks.,All birds have jabberwocks.,doll,toy,have,Dolls,toys,3,4,-17.145183563232422,-40.46938705444336,-16.183048248291016,8.306645393371582,3.8884100914001465,354824192,gpt2-medium
Dolls have toves.,All toys have toves.,All birds have toves.,doll,toy,have,Dolls,toys,3,5,-14.446563243865967,-40.490474700927734,-15.229743957519531,12.328577041625977,7.319817066192627,354824192,gpt2-medium
Dolls use a wug.,All toys use a wug.,All birds use a wug.,doll,toy,use a,Dolls,toys,4,1,-15.492992401123047,-47.674116134643555,-17.657352447509766,8.900052070617676,3.160513162612915,354824192,gpt2-medium
Dolls use a fep.,All toys use a fep.,All birds use a fep.,doll,toy,use a,Dolls,toys,4,2,-16.168728828430176,-49.566490173339844,-18.910894334316254,12.802309036254883,2.5680553913116455,354824192,gpt2-medium
Dolls use a blicket.,All toys use a blicket.,All birds use a blicket.,doll,toy,use a,Dolls,toys,4,3,-15.89617109298706,-49.35327911376953,-16.851741790771484,9.233477592468262,2.5088062286376953,354824192,gpt2-medium
Dolls use a jabberwock.,All toys use a jabberwock.,All birds use a jabberwock.,doll,toy,use a,Dolls,toys,4,4,-17.244548797607422,-48.40180587768555,-18.885766983032227,10.812921524047852,3.16947340965271,354824192,gpt2-medium
Dolls use a tove.,All toys use a tove.,All birds use a tove.,doll,toy,use a,Dolls,toys,4,5,-16.01531410217285,-48.53950309753418,-18.587596893310547,12.901372909545898,4.315291881561279,354824192,gpt2-medium
Tops can be daxed.,All toys can be daxed.,All birds can be daxed.,top,toy,can be,Tops,toys,1,1,-17.707399368286133,-41.46149444580078,-18.8514461517334,6.5198655128479,2.773852825164795,354824192,gpt2-medium
Tops can be wiffed.,All toys can be wiffed.,All birds can be wiffed.,top,toy,can be,Tops,toys,1,2,-18.866947174072266,-39.22180366516113,-19.224494695663452,5.699840545654297,1.2367056608200073,354824192,gpt2-medium
Tops can be blicked.,All toys can be blicked.,All birds can be blicked.,top,toy,can be,Tops,toys,1,3,-19.71787166595459,-39.75189971923828,-18.510278820991516,3.9043190479278564,1.2581546306610107,354824192,gpt2-medium
Tops can be gyred.,All toys can be gyred.,All birds can be gyred.,top,toy,can be,Tops,toys,1,4,-19.497774124145508,-41.592201232910156,-19.165974140167236,3.256808042526245,1.0785565376281738,354824192,gpt2-medium
Tops can be gimbled.,All toys can be gimbled.,All birds can be gimbled.,top,toy,can be,Tops,toys,1,5,-19.808946132659912,-42.837371826171875,-19.635704040527344,3.2773303985595703,0.606559157371521,354824192,gpt2-medium
Tops are beamish.,All toys are beamish.,All birds are beamish.,top,toy,are,Tops,toys,2,1,-21.122253894805908,-40.282997131347656,-20.712717294692993,4.744919776916504,0.773017942905426,354824192,gpt2-medium
Tops are slithy.,All toys are slithy.,All birds are slithy.,top,toy,are,Tops,toys,2,2,-17.23704093694687,-39.43482971191406,-16.960806131362915,4.273810386657715,1.59701406955719,354824192,gpt2-medium
Tops are mimsy.,All toys are mimsy.,All birds are mimsy.,top,toy,are,Tops,toys,2,3,-20.256969451904297,-43.79476737976074,-18.769334077835083,10.375805854797363,4.3838067054748535,354824192,gpt2-medium
Tops are vorpal.,All toys are vorpal.,All birds are vorpal.,top,toy,are,Tops,toys,2,4,-18.699268341064453,-37.553144454956055,-17.0791015625,6.466926574707031,1.6417757272720337,354824192,gpt2-medium
Tops are frabjous.,All toys are frabjous.,All birds are frabjous.,top,toy,are,Tops,toys,2,5,-19.09125518798828,-39.17677307128906,-18.963177621364594,4.500248908996582,1.2368979454040527,354824192,gpt2-medium
Tops have wugs.,All toys have wugs.,All birds have wugs.,top,toy,have,Tops,toys,3,1,-16.480015754699707,-39.52836227416992,-16.327585220336914,4.891012668609619,2.238158941268921,354824192,gpt2-medium
Tops have feps.,All toys have feps.,All birds have feps.,top,toy,have,Tops,toys,3,2,-16.738445281982422,-41.569950103759766,-15.770488739013672,4.985415458679199,3.0488414764404297,354824192,gpt2-medium
Tops have blickets.,All toys have blickets.,All birds have blickets.,top,toy,have,Tops,toys,3,3,-18.656211853027344,-41.58575439453125,-15.813629150390625,4.73944616317749,2.0472652912139893,354824192,gpt2-medium
Tops have jabberwocks.,All toys have jabberwocks.,All birds have jabberwocks.,top,toy,have,Tops,toys,3,4,-19.926212310791016,-40.46938705444336,-17.82932472229004,5.748682498931885,3.5484955310821533,354824192,gpt2-medium
Tops have toves.,All toys have toves.,All birds have toves.,top,toy,have,Tops,toys,3,5,-17.163121700286865,-40.490474700927734,-15.666650772094727,9.63325023651123,7.992321491241455,354824192,gpt2-medium
Tops use a wug.,All toys use a wug.,All birds use a wug.,top,toy,use a,Tops,toys,4,1,-16.963363647460938,-47.674116134643555,-18.810797214508057,9.785219192504883,2.553837776184082,354824192,gpt2-medium
Tops use a fep.,All toys use a fep.,All birds use a fep.,top,toy,use a,Tops,toys,4,2,-18.511810302734375,-49.566490173339844,-19.88973379135132,8.944433212280273,2.633251428604126,354824192,gpt2-medium
Tops use a blicket.,All toys use a blicket.,All birds use a blicket.,top,toy,use a,Tops,toys,4,3,-17.68101692199707,-49.35327911376953,-18.34089756011963,8.720470428466797,1.037473440170288,354824192,gpt2-medium
Tops use a jabberwock.,All toys use a jabberwock.,All birds use a jabberwock.,top,toy,use a,Tops,toys,4,4,-20.34078884124756,-48.40180587768555,-20.781356811523438,11.322239875793457,2.5373427867889404,354824192,gpt2-medium
Tops use a tove.,All toys use a tove.,All birds use a tove.,top,toy,use a,Tops,toys,4,5,-19.10127019882202,-48.53950309753418,-19.85358428955078,13.279844284057617,4.493930816650391,354824192,gpt2-medium
Jacks-in-the box can be daxed.,All toys can be daxed.,All birds can be daxed.,jack-in-the-box,toy,can be,Jacks-in-the box,toys,1,1,-18.880577087402344,-41.46149444580078,-20.871153831481934,5.916356086730957,2.2948434352874756,354824192,gpt2-medium
Jacks-in-the box can be wiffed.,All toys can be wiffed.,All birds can be wiffed.,jack-in-the-box,toy,can be,Jacks-in-the box,toys,1,2,-19.99533462524414,-39.22180366516113,-21.71239447593689,5.391676425933838,1.810840129852295,354824192,gpt2-medium
Jacks-in-the box can be blicked.,All toys can be blicked.,All birds can be blicked.,jack-in-the-box,toy,can be,Jacks-in-the box,toys,1,3,-20.493040084838867,-39.75189971923828,-21.117782592773438,4.3245849609375,1.6917215585708618,354824192,gpt2-medium
Jacks-in-the box can be gyred.,All toys can be gyred.,All birds can be gyred.,jack-in-the-box,toy,can be,Jacks-in-the box,toys,1,4,-19.138980865478516,-41.592201232910156,-20.093088150024414,3.0231361389160156,2.0947318077087402,354824192,gpt2-medium
Jacks-in-the box can be gimbled.,All toys can be gimbled.,All birds can be gimbled.,jack-in-the-box,toy,can be,Jacks-in-the box,toys,1,5,-20.946991443634033,-42.837371826171875,-21.91301727294922,2.4997570514678955,0.9296000599861145,354824192,gpt2-medium
Jacks-in-the box are beamish.,All toys are beamish.,All birds are beamish.,jack-in-the-box,toy,are,Jacks-in-the box,toys,2,1,-22.353927612304688,-40.282997131347656,-19.37479591369629,3.714254379272461,0.9390486478805542,354824192,gpt2-medium
Jacks-in-the box are slithy.,All toys are slithy.,All birds are slithy.,jack-in-the-box,toy,are,Jacks-in-the box,toys,2,2,-18.766708850860596,-39.43482971191406,-17.622798442840576,4.673565864562988,0.8335166573524475,354824192,gpt2-medium
Jacks-in-the box are mimsy.,All toys are mimsy.,All birds are mimsy.,jack-in-the-box,toy,are,Jacks-in-the box,toys,2,3,-23.377277374267578,-43.79476737976074,-20.071130752563477,6.871180534362793,4.619604587554932,354824192,gpt2-medium
Jacks-in-the box are vorpal.,All toys are vorpal.,All birds are vorpal.,jack-in-the-box,toy,are,Jacks-in-the box,toys,2,4,-19.74397850036621,-37.553144454956055,-17.730960845947266,3.58601450920105,2.1464414596557617,354824192,gpt2-medium
Jacks-in-the box are frabjous.,All toys are frabjous.,All birds are frabjous.,jack-in-the-box,toy,are,Jacks-in-the box,toys,2,5,-21.29688835144043,-39.17677307128906,-20.919363975524902,3.223254442214966,0.9735230207443237,354824192,gpt2-medium
Jacks-in-the box have wugs.,All toys have wugs.,All birds have wugs.,jack-in-the-box,toy,have,Jacks-in-the box,toys,3,1,-17.58677101135254,-39.52836227416992,-16.825973510742188,4.483190059661865,0.9497485756874084,354824192,gpt2-medium
Jacks-in-the box have feps.,All toys have feps.,All birds have feps.,jack-in-the-box,toy,have,Jacks-in-the box,toys,3,2,-16.51395058631897,-41.569950103759766,-16.954944610595703,4.742039203643799,3.717047691345215,354824192,gpt2-medium
Jacks-in-the box have blickets.,All toys have blickets.,All birds have blickets.,jack-in-the-box,toy,have,Jacks-in-the box,toys,3,3,-19.034534454345703,-41.58575439453125,-16.281679153442383,5.554197788238525,2.233158588409424,354824192,gpt2-medium
Jacks-in-the box have jabberwocks.,All toys have jabberwocks.,All birds have jabberwocks.,jack-in-the-box,toy,have,Jacks-in-the box,toys,3,4,-20.503859281539917,-40.46938705444336,-17.925504684448242,5.479153633117676,2.2012083530426025,354824192,gpt2-medium
Jacks-in-the box have toves.,All toys have toves.,All birds have toves.,jack-in-the-box,toy,have,Jacks-in-the box,toys,3,5,-17.68001937866211,-40.490474700927734,-17.31597900390625,13.58112621307373,8.507213592529297,354824192,gpt2-medium
Jacks-in-the box use a wug.,All toys use a wug.,All birds use a wug.,jack-in-the-box,toy,use a,Jacks-in-the box,toys,4,1,-19.20650291442871,-47.674116134643555,-21.496658325195312,8.982895851135254,1.8451828956604004,354824192,gpt2-medium
Jacks-in-the box use a fep.,All toys use a fep.,All birds use a fep.,jack-in-the-box,toy,use a,Jacks-in-the box,toys,4,2,-20.869476318359375,-49.566490173339844,-23.15226936340332,10.685799598693848,1.462349534034729,354824192,gpt2-medium
Jacks-in-the box use a blicket.,All toys use a blicket.,All birds use a blicket.,jack-in-the-box,toy,use a,Jacks-in-the box,toys,4,3,-20.515920639038086,-49.35327911376953,-21.52147674560547,9.040403366088867,2.9191701412200928,354824192,gpt2-medium
Jacks-in-the box use a jabberwock.,All toys use a jabberwock.,All birds use a jabberwock.,jack-in-the-box,toy,use a,Jacks-in-the box,toys,4,4,-24.901493072509766,-48.40180587768555,-24.58689308166504,4.286273956298828,3.239392042160034,354824192,gpt2-medium
Jacks-in-the box use a tove.,All toys use a tove.,All birds use a tove.,jack-in-the-box,toy,use a,Jacks-in-the box,toys,4,5,-20.777734756469727,-48.53950309753418,-23.045732498168945,12.134729385375977,5.571920871734619,354824192,gpt2-medium
Toy soldiers can be daxed.,All toys can be daxed.,All birds can be daxed.,toy soldier,toy,can be,Toy soldiers,toys,1,1,-13.281198263168335,-41.46149444580078,-20.27129554748535,5.366336822509766,3.3247313499450684,354824192,gpt2-medium
Toy soldiers can be wiffed.,All toys can be wiffed.,All birds can be wiffed.,toy soldier,toy,can be,Toy soldiers,toys,1,2,-14.837176501750946,-39.22180366516113,-20.797851845622063,4.604962348937988,2.570600748062134,354824192,gpt2-medium
Toy soldiers can be blicked.,All toys can be blicked.,All birds can be blicked.,toy soldier,toy,can be,Toy soldiers,toys,1,3,-13.855151176452637,-39.75189971923828,-19.991291046142578,4.101377010345459,1.4077447652816772,354824192,gpt2-medium
