stimulus,item,category,feature,logprob,normalized_logprob,params,model
a robin is alive.,robin,bird,1,-130.67951679229736,-26.135903358459473,33740602,google_electra-base-generator
a sparrow is alive.,sparrow,bird,1,-134.91171169281006,-26.982342338562013,33740602,google_electra-base-generator
a bluejay is alive.,bluejay,bird,1,-188.79331302642822,-26.970473289489746,33740602,google_electra-base-generator
a bluebird is alive.,bluebird,bird,1,-152.60669612884521,-25.434449354807537,33740602,google_electra-base-generator
a canary is alive.,canary,bird,1,-127.57933712005615,-25.51586742401123,33740602,google_electra-base-generator
a blackbird is alive.,blackbird,bird,1,-154.63339805603027,-25.77223300933838,33740602,google_electra-base-generator
a dove is alive.,dove,bird,1,-129.9233570098877,-25.98467140197754,33740602,google_electra-base-generator
a lark is alive.,lark,bird,1,-140.47333908081055,-28.094667816162108,33740602,google_electra-base-generator
a swallow is alive.,swallow,bird,1,-141.1461696624756,-28.229233932495116,33740602,google_electra-base-generator
a parakeet is alive.,parakeet,bird,1,-207.498517036438,-29.642645290919713,33740602,google_electra-base-generator
an oriole is alive.,oriole,bird,1,-183.91400337219238,-26.27342905317034,33740602,google_electra-base-generator
a mockingbird is alive.,mockingbird,bird,1,-160.20375156402588,-26.70062526067098,33740602,google_electra-base-generator
a redbird is alive.,redbird,bird,1,-150.54741382598877,-25.091235637664795,33740602,google_electra-base-generator
a wren is alive.,wren,bird,1,-133.64339923858643,-26.728679847717284,33740602,google_electra-base-generator
a finch is alive.,finch,bird,1,-131.95382595062256,-26.39076519012451,33740602,google_electra-base-generator
a starling is alive.,starling,bird,1,-162.746018409729,-27.124336401621502,33740602,google_electra-base-generator
a cardinal is alive.,cardinal,bird,1,-132.78934383392334,-26.55786876678467,33740602,google_electra-base-generator
an eagle is alive.,eagle,bird,1,-130.93096160888672,-26.186192321777344,33740602,google_electra-base-generator
a hummingbird is alive.,hummingbird,bird,1,-146.5472869873047,-24.42454783121745,33740602,google_electra-base-generator
a seagull is alive.,seagull,bird,1,-199.65813732147217,-28.522591045924596,33740602,google_electra-base-generator
a woodpecker is alive.,woodpecker,bird,1,-202.9477481842041,-28.9925354548863,33740602,google_electra-base-generator
a pigeon is alive.,pigeon,bird,1,-134.83060359954834,-26.966120719909668,33740602,google_electra-base-generator
a thrush is alive.,thrush,bird,1,-170.58264350891113,-28.430440584818523,33740602,google_electra-base-generator
a falcon is alive.,falcon,bird,1,-132.51575565338135,-26.50315113067627,33740602,google_electra-base-generator
a crow is alive.,crow,bird,1,-134.40580940246582,-26.881161880493163,33740602,google_electra-base-generator
a hawk is alive.,hawk,bird,1,-133.23106575012207,-26.646213150024415,33740602,google_electra-base-generator
a raven is alive.,raven,bird,1,-121.6735782623291,-24.33471565246582,33740602,google_electra-base-generator
a goldfinch is alive.,goldfinch,bird,1,-194.1868495941162,-27.740978513445175,33740602,google_electra-base-generator
a parrot is alive.,parrot,bird,1,-140.138014793396,-28.0276029586792,33740602,google_electra-base-generator
a sandpiper is alive.,sandpiper,bird,1,-220.45744705200195,-31.49392100742885,33740602,google_electra-base-generator
a pheasant is alive.,pheasant,bird,1,-212.59747791290283,-30.371068273271835,33740602,google_electra-base-generator
a catbird is alive.,catbird,bird,1,-142.25205326080322,-23.708675543467205,33740602,google_electra-base-generator
a crane is alive.,crane,bird,1,-132.78858757019043,-26.557717514038085,33740602,google_electra-base-generator
an albatross is alive.,albatross,bird,1,-199.71408462524414,-28.53058351789202,33740602,google_electra-base-generator
a condor is alive.,condor,bird,1,-139.65326404571533,-27.930652809143066,33740602,google_electra-base-generator
a toucan is alive.,toucan,bird,1,-179.1215524673462,-25.588793209620885,33740602,google_electra-base-generator
an owl is alive.,owl,bird,1,-129.77842140197754,-25.95568428039551,33740602,google_electra-base-generator
a pelican is alive.,pelican,bird,1,-194.77953720092773,-27.825648171561106,33740602,google_electra-base-generator
a goose is alive.,geese,bird,1,-130.80536651611328,-26.161073303222658,33740602,google_electra-base-generator
a vulture is alive.,vulture,bird,1,-128.9961862564087,-25.79923725128174,33740602,google_electra-base-generator
a stork is alive.,stork,bird,1,-191.80849838256836,-27.401214054652623,33740602,google_electra-base-generator
a buzzard is alive.,buzzard,bird,1,-182.31768035888672,-30.386280059814453,33740602,google_electra-base-generator
a swan is alive.,swan,bird,1,-119.69304752349854,-23.938609504699706,33740602,google_electra-base-generator
a flamingo is alive.,flamingo,bird,1,-157.3373212814331,-26.22288688023885,33740602,google_electra-base-generator
a duck is alive.,duck,bird,1,-129.43884658813477,-25.887769317626955,33740602,google_electra-base-generator
a peacock is alive.,peacock,bird,1,-128.7859468460083,-25.75718936920166,33740602,google_electra-base-generator
an egret is alive.,egret,bird,1,-203.3182373046875,-29.045462472098215,33740602,google_electra-base-generator
a chicken is alive.,chicken,bird,1,-119.75076007843018,-23.950152015686037,33740602,google_electra-base-generator
a turkey is alive.,turkey,bird,1,-130.20897674560547,-26.041795349121095,33740602,google_electra-base-generator
an ostrich is alive.,ostrich,bird,1,-186.88047981262207,-26.697211401803152,33740602,google_electra-base-generator
a titmouse is alive.,titmouse,bird,1,-202.21267414093018,-28.88752487727574,33740602,google_electra-base-generator
an emu is alive.,emu,bird,1,-155.3905487060547,-25.89842478434245,33740602,google_electra-base-generator
a penguin is alive.,penguin,bird,1,-122.23030948638916,-24.446061897277833,33740602,google_electra-base-generator
a bat is alive.,bat,bird,1,-122.55457973480225,-24.51091594696045,33740602,google_electra-base-generator
a robin flies.,robin,bird,2,-121.71363544464111,-30.42840886116028,33740602,google_electra-base-generator
a sparrow flies.,sparrow,bird,2,-111.32462692260742,-27.831156730651855,33740602,google_electra-base-generator
a bluejay flies.,bluejay,bird,2,-170.19431686401367,-28.365719477335613,33740602,google_electra-base-generator
a bluebird flies.,bluebird,bird,2,-132.80173015594482,-26.560346031188963,33740602,google_electra-base-generator
a canary flies.,canary,bird,2,-113.71632862091064,-28.42908215522766,33740602,google_electra-base-generator
a blackbird flies.,blackbird,bird,2,-135.9987211227417,-27.19974422454834,33740602,google_electra-base-generator
a dove flies.,dove,bird,2,-105.81784915924072,-26.45446228981018,33740602,google_electra-base-generator
a lark flies.,lark,bird,2,-110.34194087982178,-27.585485219955444,33740602,google_electra-base-generator
a swallow flies.,swallow,bird,2,-107.190110206604,-26.797527551651,33740602,google_electra-base-generator
a parakeet flies.,parakeet,bird,2,-193.46219539642334,-32.24369923273722,33740602,google_electra-base-generator
an oriole flies.,oriole,bird,2,-181.8873233795166,-30.3145538965861,33740602,google_electra-base-generator
a mockingbird flies.,mockingbird,bird,2,-139.0115213394165,-27.8023042678833,33740602,google_electra-base-generator
a redbird flies.,redbird,bird,2,-130.4001235961914,-26.08002471923828,33740602,google_electra-base-generator
a wren flies.,wren,bird,2,-117.74971961975098,-29.437429904937744,33740602,google_electra-base-generator
a finch flies.,finch,bird,2,-120.77280330657959,-30.193200826644897,33740602,google_electra-base-generator
a starling flies.,starling,bird,2,-155.0304479598999,-31.00608959197998,33740602,google_electra-base-generator
a cardinal flies.,cardinal,bird,2,-118.78386211395264,-29.69596552848816,33740602,google_electra-base-generator
an eagle flies.,eagle,bird,2,-113.18191528320312,-28.29547882080078,33740602,google_electra-base-generator
a hummingbird flies.,hummingbird,bird,2,-130.86859607696533,-26.173719215393067,33740602,google_electra-base-generator
a seagull flies.,seagull,bird,2,-181.16233825683594,-30.19372304280599,33740602,google_electra-base-generator
a woodpecker flies.,woodpecker,bird,2,-193.44190788269043,-32.2403179804484,33740602,google_electra-base-generator
a pigeon flies.,pigeon,bird,2,-107.47423839569092,-26.86855959892273,33740602,google_electra-base-generator
a thrush flies.,thrush,bird,2,-154.02180099487305,-30.80436019897461,33740602,google_electra-base-generator
a falcon flies.,falcon,bird,2,-107.88311386108398,-26.970778465270996,33740602,google_electra-base-generator
a crow flies.,crow,bird,2,-103.65586757659912,-25.91396689414978,33740602,google_electra-base-generator
a hawk flies.,hawk,bird,2,-110.90467262268066,-27.726168155670166,33740602,google_electra-base-generator
a raven flies.,raven,bird,2,-106.36162090301514,-26.590405225753784,33740602,google_electra-base-generator
a goldfinch flies.,goldfinch,bird,2,-179.57869338989258,-29.929782231648762,33740602,google_electra-base-generator
a parrot flies.,parrot,bird,2,-111.82468128204346,-27.956170320510864,33740602,google_electra-base-generator
a sandpiper flies.,sandpiper,bird,2,-200.6710844039917,-33.44518073399862,33740602,google_electra-base-generator
a pheasant flies.,pheasant,bird,2,-201.84646701812744,-33.641077836354576,33740602,google_electra-base-generator
a catbird flies.,catbird,bird,2,-122.9360523223877,-24.58721046447754,33740602,google_electra-base-generator
a crane flies.,crane,bird,2,-108.80131340026855,-27.20032835006714,33740602,google_electra-base-generator
an albatross flies.,albatross,bird,2,-188.3576145172119,-31.392935752868652,33740602,google_electra-base-generator
a condor flies.,condor,bird,2,-114.15810585021973,-28.53952646255493,33740602,google_electra-base-generator
a toucan flies.,toucan,bird,2,-176.1444091796875,-29.357401529947918,33740602,google_electra-base-generator
an owl flies.,owl,bird,2,-111.71195793151855,-27.92798948287964,33740602,google_electra-base-generator
a pelican flies.,pelican,bird,2,-182.95304012298584,-30.492173353830974,33740602,google_electra-base-generator
a goose flies.,geese,bird,2,-107.10051918029785,-26.775129795074463,33740602,google_electra-base-generator
a vulture flies.,vulture,bird,2,-106.20596504211426,-26.551491260528564,33740602,google_electra-base-generator
a stork flies.,stork,bird,2,-186.34850978851318,-31.058084964752197,33740602,google_electra-base-generator
a buzzard flies.,buzzard,bird,2,-159.06823539733887,-31.813647079467774,33740602,google_electra-base-generator
a swan flies.,swan,bird,2,-105.93384742736816,-26.48346185684204,33740602,google_electra-base-generator
a flamingo flies.,flamingo,bird,2,-142.18837547302246,-28.437675094604494,33740602,google_electra-base-generator
a duck flies.,duck,bird,2,-109.24164199829102,-27.310410499572754,33740602,google_electra-base-generator
a peacock flies.,peacock,bird,2,-106.07892894744873,-26.519732236862183,33740602,google_electra-base-generator
an egret flies.,egret,bird,2,-187.44410514831543,-31.240684191385906,33740602,google_electra-base-generator
a chicken flies.,chicken,bird,2,-105.19237613677979,-26.298094034194946,33740602,google_electra-base-generator
a turkey flies.,turkey,bird,2,-118.62934017181396,-29.65733504295349,33740602,google_electra-base-generator
an ostrich flies.,ostrich,bird,2,-179.64961433410645,-29.941602389017742,33740602,google_electra-base-generator
a titmouse flies.,titmouse,bird,2,-177.42401123046875,-29.570668538411457,33740602,google_electra-base-generator
an emu flies.,emu,bird,2,-145.49908065795898,-29.099816131591798,33740602,google_electra-base-generator
a penguin flies.,penguin,bird,2,-103.63457870483398,-25.908644676208496,33740602,google_electra-base-generator
a bat flies.,bat,bird,2,-102.34632015228271,-25.58658003807068,33740602,google_electra-base-generator
a robin has feathers.,robin,bird,3,-149.9829797744751,-29.99659595489502,33740602,google_electra-base-generator
a sparrow has feathers.,sparrow,bird,3,-149.31977081298828,-29.863954162597658,33740602,google_electra-base-generator
a bluejay has feathers.,bluejay,bird,3,-199.0167236328125,-28.430960518973215,33740602,google_electra-base-generator
a bluebird has feathers.,bluebird,bird,3,-170.60427570343018,-28.434045950571697,33740602,google_electra-base-generator
a canary has feathers.,canary,bird,3,-143.16708660125732,-28.633417320251464,33740602,google_electra-base-generator
a blackbird has feathers.,blackbird,bird,3,-175.8267698287964,-29.304461638132732,33740602,google_electra-base-generator
a dove has feathers.,dove,bird,3,-143.9722137451172,-28.79444274902344,33740602,google_electra-base-generator
a lark has feathers.,lark,bird,3,-158.4680814743042,-31.69361629486084,33740602,google_electra-base-generator
a swallow has feathers.,swallow,bird,3,-149.08198165893555,-29.81639633178711,33740602,google_electra-base-generator
a parakeet has feathers.,parakeet,bird,3,-229.62285137176514,-32.803264481680735,33740602,google_electra-base-generator
an oriole has feathers.,oriole,bird,3,-207.12817001342773,-29.589738573346818,33740602,google_electra-base-generator
a mockingbird has feathers.,mockingbird,bird,3,-176.70145797729492,-29.45024299621582,33740602,google_electra-base-generator
a redbird has feathers.,redbird,bird,3,-169.8466558456421,-28.30777597427368,33740602,google_electra-base-generator
a wren has feathers.,wren,bird,3,-154.51007175445557,-30.902014350891115,33740602,google_electra-base-generator
a finch has feathers.,finch,bird,3,-149.74065017700195,-29.94813003540039,33740602,google_electra-base-generator
a starling has feathers.,starling,bird,3,-186.94368839263916,-31.157281398773193,33740602,google_electra-base-generator
a cardinal has feathers.,cardinal,bird,3,-155.87541389465332,-31.175082778930665,33740602,google_electra-base-generator
an eagle has feathers.,eagle,bird,3,-151.34845352172852,-30.269690704345702,33740602,google_electra-base-generator
a hummingbird has feathers.,hummingbird,bird,3,-167.52021026611328,-27.920035044352215,33740602,google_electra-base-generator
a seagull has feathers.,seagull,bird,3,-217.08556652069092,-31.01222378867013,33740602,google_electra-base-generator
a woodpecker has feathers.,woodpecker,bird,3,-219.70411014556885,-31.38630144936698,33740602,google_electra-base-generator
a pigeon has feathers.,pigeon,bird,3,-147.16066074371338,-29.432132148742674,33740602,google_electra-base-generator
a thrush has feathers.,thrush,bird,3,-188.39565086364746,-31.399275143941242,33740602,google_electra-base-generator
a falcon has feathers.,falcon,bird,3,-152.0937328338623,-30.418746566772462,33740602,google_electra-base-generator
a crow has feathers.,crow,bird,3,-146.27665424346924,-29.25533084869385,33740602,google_electra-base-generator
a hawk has feathers.,hawk,bird,3,-150.53645420074463,-30.107290840148927,33740602,google_electra-base-generator
a raven has feathers.,raven,bird,3,-141.47191619873047,-28.294383239746093,33740602,google_electra-base-generator
a goldfinch has feathers.,goldfinch,bird,3,-219.0083885192871,-31.286912645612443,33740602,google_electra-base-generator
a parrot has feathers.,parrot,bird,3,-146.15335083007812,-29.230670166015624,33740602,google_electra-base-generator
a sandpiper has feathers.,sandpiper,bird,3,-235.4539966583252,-33.636285236903596,33740602,google_electra-base-generator
a pheasant has feathers.,pheasant,bird,3,-231.62254810333252,-33.08893544333322,33740602,google_electra-base-generator
a catbird has feathers.,catbird,bird,3,-162.60410118103027,-27.10068353017171,33740602,google_electra-base-generator
a crane has feathers.,crane,bird,3,-146.57579135894775,-29.31515827178955,33740602,google_electra-base-generator
an albatross has feathers.,albatross,bird,3,-225.98891639709473,-32.284130913870676,33740602,google_electra-base-generator
a condor has feathers.,condor,bird,3,-146.16488552093506,-29.23297710418701,33740602,google_electra-base-generator
a toucan has feathers.,toucan,bird,3,-195.84938716888428,-27.97848388126918,33740602,google_electra-base-generator
an owl has feathers.,owl,bird,3,-154.59112739562988,-30.918225479125976,33740602,google_electra-base-generator
a pelican has feathers.,pelican,bird,3,-204.64539337158203,-29.23505619594029,33740602,google_electra-base-generator
geese have feathers.,geese,bird,3,-137.63060569763184,-34.40765142440796,33740602,google_electra-base-generator
a vulture has feathers.,vulture,bird,3,-145.8072271347046,-29.16144542694092,33740602,google_electra-base-generator
