premise,conclusion,control,item,category,blankpredicate,item_word,category_word,predicate_id,argument_id,score,conclusion_only,control_score,shuffled_diff,shuffled_diff_sd,params,model
Dolls can be daxed.,All toys can be daxed.,All birds can be daxed.,doll,toy,can be,Dolls,toys,1,1,-13.675038814544678,-41.99608564376831,-18.572874069213867,2.9626336097717285,1.4173258543014526,1557612800,gpt2-xl
Dolls can be wiffed.,All toys can be wiffed.,All birds can be wiffed.,doll,toy,can be,Dolls,toys,1,2,-13.833868026733398,-38.77493858337402,-19.01266860961914,3.6711623668670654,1.9088501930236816,1557612800,gpt2-xl
Dolls can be blicked.,All toys can be blicked.,All birds can be blicked.,doll,toy,can be,Dolls,toys,1,3,-16.175044536590576,-41.04529905319214,-21.115458011627197,1.2730686664581299,1.9166592359542847,1557612800,gpt2-xl
Dolls can be gyred.,All toys can be gyred.,All birds can be gyred.,doll,toy,can be,Dolls,toys,1,4,-15.901005268096924,-42.03165102005005,-21.5978422164917,4.210872650146484,3.0627737045288086,1557612800,gpt2-xl
Dolls can be gimbled.,All toys can be gimbled.,All birds can be gimbled.,doll,toy,can be,Dolls,toys,1,5,-15.499740600585938,-42.32273006439209,-20.050875186920166,1.3519593477249146,1.5098947286605835,1557612800,gpt2-xl
Dolls are beamish.,All toys are beamish.,All birds are beamish.,doll,toy,are,Dolls,toys,2,1,-14.848594665527344,-44.444701194763184,-18.192919731140137,8.065900802612305,2.4163153171539307,1557612800,gpt2-xl
Dolls are slithy.,All toys are slithy.,All birds are slithy.,doll,toy,are,Dolls,toys,2,2,-14.071326732635498,-38.999881744384766,-17.057712078094482,3.0218505859375,2.2001800537109375,1557612800,gpt2-xl
Dolls are mimsy.,All toys are mimsy.,All birds are mimsy.,doll,toy,are,Dolls,toys,2,3,-15.188210487365723,-42.63961601257324,-16.533565521240234,6.721411228179932,4.731603145599365,1557612800,gpt2-xl
Dolls are vorpal.,All toys are vorpal.,All birds are vorpal.,doll,toy,are,Dolls,toys,2,4,-14.851009368896484,-41.01577949523926,-18.302854537963867,6.0643181800842285,3.171794891357422,1557612800,gpt2-xl
Dolls are frabjous.,All toys are frabjous.,All birds are frabjous.,doll,toy,are,Dolls,toys,2,5,-14.931632041931152,-36.98670959472656,-15.75267219543457,5.68485164642334,2.309950828552246,1557612800,gpt2-xl
Dolls have wugs.,All toys have wugs.,All birds have wugs.,doll,toy,have,Dolls,toys,3,1,-12.756490230560303,-39.57461166381836,-16.079352855682373,4.664495944976807,2.603306293487549,1557612800,gpt2-xl
