stimulus,item,category,rank,logprob,normalized_logprob,params,model
a doll is a toy.,doll,toy,1,-101.85308456420898,-16.975514094034832,356461657,roberta-large
a top is a toy.,top,toy,2,-87.97550582885742,-14.66258430480957,356461657,roberta-large
a jack-in-the-box is a toy.,jack-in-the-box,toy,3,-224.51351928710938,-18.70945994059245,356461657,roberta-large
a toy soldier is a toy.,toy soldier,toy,4,-98.50466537475586,-14.072095053536552,356461657,roberta-large
a yo-yo is a toy.,yo-yo,toy,5,-144.87931442260742,-18.109914302825928,356461657,roberta-large
a block is a toy.,block,toy,6,-95.2498550415039,-15.87497584025065,356461657,roberta-large
marbles are toys.,marbles,toy,7,-77.70908737182617,-15.541817474365235,356461657,roberta-large
a rattle is a toy.,rattle,toy,8,-118.40145874023438,-16.914494105747767,356461657,roberta-large
a stuffed animal is a toy.,stuffed animal,toy,9,-113.67422485351562,-16.23917497907366,356461657,roberta-large
a water pistol is a toy.,water pistol,toy,10,-112.51609420776367,-16.073727743966238,356461657,roberta-large
a teddy bear is a toy.,teddy bear,toy,11,-133.08956146240234,-16.636195182800293,356461657,roberta-large
a rocking horse is a toy.,rocking horse,toy,12,-108.05270385742188,-15.436100551060267,356461657,roberta-large
a doll house is a toy.,doll house,toy,13,-110.2605209350586,-15.751502990722656,356461657,roberta-large
a ball is a toy.,ball,toy,14,-95.69222640991211,-15.948704401652018,356461657,roberta-large
jacks are toys.,jacks,toy,15,-77.49237060546875,-15.49847412109375,356461657,roberta-large
paper dolls are toys.,paper dolls,toy,16,-84.78713607788086,-16.95742721557617,356461657,roberta-large
an erector set is a toy.,erector set,toy,17,-132.31329727172852,-16.539162158966064,356461657,roberta-large
a hula hoop is a toy.,hula hoop,toy,18,-132.46108627319336,-16.55763578414917,356461657,roberta-large
a jump rope is a toy.,jump rope,toy,19,-101.60766220092773,-14.515380314418248,356461657,roberta-large
a pogo stick is a toy.,pogo stick,toy,20,-143.5095443725586,-17.938693046569824,356461657,roberta-large
a clay is a toy.,clay,toy,21,-89.20443725585938,-14.867406209309896,356461657,roberta-large
a wagon is a toy.,wagon,toy,22,-94.99938583374023,-15.833230972290039,356461657,roberta-large
a kite is a toy.,kite,toy,23,-121.29965209960938,-17.328521728515625,356461657,roberta-large
a train is a toy.,train,toy,24,-97.58806991577148,-16.264678319295246,356461657,roberta-large
a tricycle is a toy.,tricycle,toy,25,-127.97686767578125,-18.28240966796875,356461657,roberta-large
a coloring book is a toy.,coloring book,toy,26,-112.71855545043945,-16.102650778634207,356461657,roberta-large
crayons are toys.,crayons,toy,27,-120.97570419311523,-20.162617365519207,356461657,roberta-large
a truck is a toy.,truck,toy,28,-96.52073669433594,-16.08678944905599,356461657,roberta-large
a puzzle is a toy.,puzzle,toy,29,-101.16588973999023,-16.860981623331707,356461657,roberta-large
a fire engine is a toy.,fire engine,toy,30,-112.91243362426758,-16.130347660609655,356461657,roberta-large
a balloon is a toy.,balloon,toy,31,-97.0630111694336,-16.177168528238933,356461657,roberta-large
skates are toys.,skates,toy,32,-86.52509307861328,-17.305018615722656,356461657,roberta-large
a baseball is a toy.,baseball,toy,33,-91.03413772583008,-15.172356287638346,356461657,roberta-large
a drum is a toy.,drum,toy,34,-92.67072296142578,-15.445120493570963,356461657,roberta-large
a football is a toy.,football,toy,35,-93.12998580932617,-15.521664301554361,356461657,roberta-large
a game is a toy.,game,toy,36,-96.27888488769531,-16.046480814615887,356461657,roberta-large
a swing is a toy.,swing,toy,37,-96.60407257080078,-16.10067876180013,356461657,roberta-large
a boat is a toy.,boat,toy,38,-96.0726318359375,-16.012105305989582,356461657,roberta-large
a monopoly is a toy.,monopoly,toy,39,-90.56389999389648,-15.09398333231608,356461657,roberta-large
a sled is a toy.,sled,toy,40,-93.28081512451172,-15.546802520751953,356461657,roberta-large
a seesaw is a toy.,seesaw,toy,41,-118.57004928588867,-16.93857846941267,356461657,roberta-large
