premise,conclusion,control,item,category,blankpredicate,item_word,category_word,predicate_id,argument_id,score,conclusion_only,control_score,shuffled_diff,shuffled_diff_sd,params,model
Dolls can be daxed.,All toys can be daxed.,All birds can be daxed.,doll,toy,can be,Dolls,toys,1,1,-15.409265518188477,-43.003305435180664,-17.539603233337402,7.5640764236450195,3.554180860519409,116536320,openai-gpt
Dolls can be wiffed.,All toys can be wiffed.,All birds can be wiffed.,doll,toy,can be,Dolls,toys,1,2,-15.846524238586426,-42.005847454071045,-18.97449493408203,4.181944847106934,3.4323596954345703,116536320,openai-gpt
Dolls can be blicked.,All toys can be blicked.,All birds can be blicked.,doll,toy,can be,Dolls,toys,1,3,-19.44289541244507,-52.637343406677246,-21.49052667617798,6.755518436431885,5.635970592498779,116536320,openai-gpt
Dolls can be gyred.,All toys can be gyred.,All birds can be gyred.,doll,toy,can be,Dolls,toys,1,4,-20.204702854156494,-45.34584617614746,-24.369877338409424,6.084749221801758,3.5219295024871826,116536320,openai-gpt
Dolls can be gimbled.,All toys can be gimbled.,All birds can be gimbled.,doll,toy,can be,Dolls,toys,1,5,-18.545974254608154,-47.243815898895264,-20.073047161102295,9.637213706970215,4.369960308074951,116536320,openai-gpt
Dolls are beamish.,All toys are beamish.,All birds are beamish.,doll,toy,are,Dolls,toys,2,1,-14.695829391479492,-43.57821226119995,-15.447667121887207,11.15023136138916,3.204242706298828,116536320,openai-gpt
Dolls are slithy.,All toys are slithy.,All birds are slithy.,doll,toy,are,Dolls,toys,2,2,-15.436827659606934,-44.228246212005615,-17.30138397216797,5.224208354949951,1.699257731437683,116536320,openai-gpt
Dolls are mimsy.,All toys are mimsy.,All birds are mimsy.,doll,toy,are,Dolls,toys,2,3,-14.401412963867188,-39.790119647979736,-16.998494148254395,6.5238356590271,4.068662166595459,116536320,openai-gpt
Dolls are vorpal.,All toys are vorpal.,All birds are vorpal.,doll,toy,are,Dolls,toys,2,4,-16.71652603149414,-40.91505241394043,-16.779486656188965,9.915700912475586,2.954318046569824,116536320,openai-gpt
Dolls are frabjous.,All toys are frabjous.,All birds are frabjous.,doll,toy,are,Dolls,toys,2,5,-16.099527835845947,-57.0672926902771,-18.166388034820557,9.322118759155273,2.870842695236206,116536320,openai-gpt
