preamble,stimulus,item,category,feature,score,params,model
A robin,is alive.,robin,bird,1,-16.127628326416016,81913344,distilgpt2
A sparrow,is alive.,sparrow,bird,1,-13.792728424072266,81913344,distilgpt2
A bluejay,is alive.,bluejay,bird,1,-13.35983657836914,81913344,distilgpt2
A bluebird,is alive.,bluebird,bird,1,-12.14059829711914,81913344,distilgpt2
A canary,is alive.,canary,bird,1,-12.91805648803711,81913344,distilgpt2
A blackbird,is alive.,blackbird,bird,1,-11.83095932006836,81913344,distilgpt2
A dove,is alive.,dove,bird,1,-13.138710021972656,81913344,distilgpt2
A lark,is alive.,lark,bird,1,-14.75656509399414,81913344,distilgpt2
A swallow,is alive.,swallow,bird,1,-12.763111114501953,81913344,distilgpt2
A parakeet,is alive.,parakeet,bird,1,-15.496944427490234,81913344,distilgpt2
An oriole,is alive.,oriole,bird,1,-14.725330352783203,81913344,distilgpt2
A mockingbird,is alive.,mockingbird,bird,1,-13.64019775390625,81913344,distilgpt2
A redbird,is alive.,redbird,bird,1,-12.166328430175781,81913344,distilgpt2
A wren,is alive.,wren,bird,1,-13.17569351196289,81913344,distilgpt2
A finch,is alive.,finch,bird,1,-13.841678619384766,81913344,distilgpt2
A starling,is alive.,starling,bird,1,-14.96384048461914,81913344,distilgpt2
A cardinal,is alive.,cardinal,bird,1,-13.643722534179688,81913344,distilgpt2
An eagle,is alive.,eagle,bird,1,-13.754829406738281,81913344,distilgpt2
A hummingbird,is alive.,hummingbird,bird,1,-11.69173812866211,81913344,distilgpt2
A seagull,is alive.,seagull,bird,1,-13.68496322631836,81913344,distilgpt2
A woodpecker,is alive.,woodpecker,bird,1,-12.771076202392578,81913344,distilgpt2
A pigeon,is alive.,pigeon,bird,1,-12.319206237792969,81913344,distilgpt2
A thrush,is alive.,thrush,bird,1,-16.23444366455078,81913344,distilgpt2
A falcon,is alive.,falcon,bird,1,-13.86838150024414,81913344,distilgpt2
A crow,is alive.,crow,bird,1,-13.979400634765625,81913344,distilgpt2
A hawk,is alive.,hawk,bird,1,-12.852294921875,81913344,distilgpt2
A raven,is alive.,raven,bird,1,-13.19534683227539,81913344,distilgpt2
A goldfinch,is alive.,goldfinch,bird,1,-15.008544921875,81913344,distilgpt2
A parrot,is alive.,parrot,bird,1,-12.61385726928711,81913344,distilgpt2
A sandpiper,is alive.,sandpiper,bird,1,-14.109451293945312,81913344,distilgpt2
A pheasant,is alive.,pheasant,bird,1,-12.897205352783203,81913344,distilgpt2
A catbird,is alive.,catbird,bird,1,-11.759422302246094,81913344,distilgpt2
A crane,is alive.,crane,bird,1,-18.24924087524414,81913344,distilgpt2
An albatross,is alive.,albatross,bird,1,-13.539081573486328,81913344,distilgpt2
A condor,is alive.,condor,bird,1,-16.65149688720703,81913344,distilgpt2
A toucan,is alive.,toucan,bird,1,-13.214824676513672,81913344,distilgpt2
