preamble,stimulus,item,category,rank,score,params,model
A gun is a,weapon.,gun,weapon,1,-1.5387191772460938,774031360,gpt2-large
A pistol is a,weapon.,pistol,weapon,2,-1.8884449005126953,774031360,gpt2-large
A revolver is a,weapon.,revolver,weapon,3,-2.0993642807006836,774031360,gpt2-large
A machine gun is a,weapon.,machine gun,weapon,4,-1.0302562713623047,774031360,gpt2-large
A rifle is a,weapon.,rifle,weapon,5,-1.372878074645996,774031360,gpt2-large
A switchblade is a,weapon.,switchblade,weapon,6,-2.78218936920166,774031360,gpt2-large
A knife is a,weapon.,knife,weapon,7,-2.4523229598999023,774031360,gpt2-large
A dagger is a,weapon.,dagger,weapon,8,-1.8292217254638672,774031360,gpt2-large
A shotgun is a,weapon.,shotgun,weapon,9,-1.9288520812988281,774031360,gpt2-large
A sword is a,weapon.,sword,weapon,10,-1.7624073028564453,774031360,gpt2-large
A bomb is a,weapon.,bomb,weapon,11,-2.147732734680176,774031360,gpt2-large
A hand grenade is a,weapon.,hand grenade,weapon,12,-2.5300798416137695,774031360,gpt2-large
An atom bomb is a,weapon.,Atom bomb,weapon,13,-1.891261100769043,774031360,gpt2-large
A bayonet is a,weapon.,bayonet,weapon,14,-2.267001152038574,774031360,gpt2-large
A spear is a,weapon.,spear,weapon,15,-1.2645750045776367,774031360,gpt2-large
A bazooka is a,weapon.,bazooka,weapon,16,-1.443582534790039,774031360,gpt2-large
A cannon is a,weapon.,cannon,weapon,17,-2.1037168502807617,774031360,gpt2-large
A bow and arrow is a,weapon.,bow and arrow,weapon,18,-1.5196638107299805,774031360,gpt2-large
A club is a,weapon.,club,weapon,19,-9.485546112060547,774031360,gpt2-large
A lance is a,weapon.,lance,weapon,20,-2.2593441009521484,774031360,gpt2-large
A brass knuckle is a,weapon.,brass knuckle,weapon,21,-3.4316368103027344,774031360,gpt2-large
A bullet is a,weapon.,bullet,weapon,22,-2.1726245880126953,774031360,gpt2-large
A tomahawk is a,weapon.,tomahawk,weapon,23,-2.51772403717041,774031360,gpt2-large
A mortar is a,weapon.,mortar,weapon,24,-2.5611915588378906,774031360,gpt2-large
An arrow is a,weapon.,arrow,weapon,25,-2.4479293823242188,774031360,gpt2-large
A blackjack is a,weapon.,blackjack,weapon,26,-9.94572639465332,774031360,gpt2-large
A tank is a,weapon.,tank,weapon,27,-4.191023826599121,774031360,gpt2-large
Teargas is a,weapon.,teargas,weapon,28,-3.0177249908447266,774031360,gpt2-large
A missile is a,weapon.,missile,weapon,29,-1.3220033645629883,774031360,gpt2-large
A whip is a,weapon.,whip,weapon,30,-2.8765602111816406,774031360,gpt2-large
An ice pick is a,weapon.,ice pick,weapon,31,-2.725741386413574,774031360,gpt2-large
A hatchet is a,weapon.,hatchet,weapon,32,-1.857863426208496,774031360,gpt2-large
A slingshot is a,weapon.,slingshot,weapon,33,-2.0977821350097656,774031360,gpt2-large
A fist is a,weapon.,fist,weapon,34,-2.593963623046875,774031360,gpt2-large
An axe is a,weapon.,axe,weapon,35,-1.8318405151367188,774031360,gpt2-large
A bow is a,weapon.,bow,weapon,36,-1.9088706970214844,774031360,gpt2-large
