preamble,stimulus,item,category,rank,score,params,model
A gun is a,weapon.,gun,weapon,1,-0.5688552856445312,355412057,roberta-large
A pistol is a,weapon.,pistol,weapon,2,-0.5760383605957031,355412057,roberta-large
A revolver is a,weapon.,revolver,weapon,3,-1.6384506225585938,355412057,roberta-large
A machine gun is a,weapon.,machine gun,weapon,4,-1.3130340576171875,355412057,roberta-large
A rifle is a,weapon.,rifle,weapon,5,-0.6734390258789062,355412057,roberta-large
A switchblade is a,weapon.,switchblade,weapon,6,-1.3763427734375,355412057,roberta-large
A knife is a,weapon.,knife,weapon,7,-0.5976371765136719,355412057,roberta-large
A dagger is a,weapon.,dagger,weapon,8,-0.7312126159667969,355412057,roberta-large
A shotgun is a,weapon.,shotgun,weapon,9,-0.9576301574707031,355412057,roberta-large
A sword is a,weapon.,sword,weapon,10,-0.5603370666503906,355412057,roberta-large
A bomb is a,weapon.,bomb,weapon,11,-1.1838531494140625,355412057,roberta-large
A hand grenade is a,weapon.,hand grenade,weapon,12,-2.1052513122558594,355412057,roberta-large
An atom bomb is a,weapon.,Atom bomb,weapon,13,-1.2975311279296875,355412057,roberta-large
A bayonet is a,weapon.,bayonet,weapon,14,-1.0977363586425781,355412057,roberta-large
A spear is a,weapon.,spear,weapon,15,-0.6484642028808594,355412057,roberta-large
A bazooka is a,weapon.,bazooka,weapon,16,-2.7555618286132812,355412057,roberta-large
A cannon is a,weapon.,cannon,weapon,17,-1.45477294921875,355412057,roberta-large
A bow and arrow is a,weapon.,bow and arrow,weapon,18,-0.36797332763671875,355412057,roberta-large
A club is a,weapon.,club,weapon,19,-10.562599182128906,355412057,roberta-large
A lance is a,weapon.,lance,weapon,20,-1.1256599426269531,355412057,roberta-large
A brass knuckle is a,weapon.,brass knuckle,weapon,21,-3.210052490234375,355412057,roberta-large
A bullet is a,weapon.,bullet,weapon,22,-1.683868408203125,355412057,roberta-large
A tomahawk is a,weapon.,tomahawk,weapon,23,-1.2529754638671875,355412057,roberta-large
A mortar is a,weapon.,mortar,weapon,24,-1.4695587158203125,355412057,roberta-large
An arrow is a,weapon.,arrow,weapon,25,-0.8525962829589844,355412057,roberta-large
