preamble,stimulus,item,category,feature,score,params,model
A robin,is alive.,robin,bird,1,-7.576626777648926,125288025,roberta-base
A sparrow,is alive.,sparrow,bird,1,-7.980138778686523,125288025,roberta-base
A bluejay,is alive.,bluejay,bird,1,-7.234199523925781,125288025,roberta-base
A bluebird,is alive.,bluebird,bird,1,-8.516409873962402,125288025,roberta-base
A canary,is alive.,canary,bird,1,-7.043503761291504,125288025,roberta-base
A blackbird,is alive.,blackbird,bird,1,-9.171285629272461,125288025,roberta-base
A dove,is alive.,dove,bird,1,-9.947250366210938,125288025,roberta-base
A lark,is alive.,lark,bird,1,-7.938447952270508,125288025,roberta-base
A swallow,is alive.,swallow,bird,1,-11.429938316345215,125288025,roberta-base
A parakeet,is alive.,parakeet,bird,1,-8.426020622253418,125288025,roberta-base
An oriole,is alive.,oriole,bird,1,-11.674430847167969,125288025,roberta-base
A mockingbird,is alive.,mockingbird,bird,1,-7.151211738586426,125288025,roberta-base
A redbird,is alive.,redbird,bird,1,-8.868108749389648,125288025,roberta-base
A wren,is alive.,wren,bird,1,-9.593556880950928,125288025,roberta-base
A finch,is alive.,finch,bird,1,-9.173394680023193,125288025,roberta-base
A starling,is alive.,starling,bird,1,-9.539981842041016,125288025,roberta-base
A cardinal,is alive.,cardinal,bird,1,-7.705019950866699,125288025,roberta-base
An eagle,is alive.,eagle,bird,1,-10.179969787597656,125288025,roberta-base
A hummingbird,is alive.,hummingbird,bird,1,-7.238112449645996,125288025,roberta-base
A seagull,is alive.,seagull,bird,1,-7.618797302246094,125288025,roberta-base
A woodpecker,is alive.,woodpecker,bird,1,-8.247663497924805,125288025,roberta-base
A pigeon,is alive.,pigeon,bird,1,-9.151253700256348,125288025,roberta-base
A thrush,is alive.,thrush,bird,1,-9.322035312652588,125288025,roberta-base
A falcon,is alive.,falcon,bird,1,-9.046347618103027,125288025,roberta-base
A crow,is alive.,crow,bird,1,-8.751480102539062,125288025,roberta-base
A hawk,is alive.,hawk,bird,1,-7.623699188232422,125288025,roberta-base
A raven,is alive.,raven,bird,1,-7.709474563598633,125288025,roberta-base
A goldfinch,is alive.,goldfinch,bird,1,-8.004158020019531,125288025,roberta-base
A parrot,is alive.,parrot,bird,1,-6.6392107009887695,125288025,roberta-base
A sandpiper,is alive.,sandpiper,bird,1,-8.488299369812012,125288025,roberta-base
A pheasant,is alive.,pheasant,bird,1,-9.484978675842285,125288025,roberta-base
A catbird,is alive.,catbird,bird,1,-7.089932441711426,125288025,roberta-base
A crane,is alive.,crane,bird,1,-13.15432357788086,125288025,roberta-base
An albatross,is alive.,albatross,bird,1,-10.333760261535645,125288025,roberta-base
A condor,is alive.,condor,bird,1,-9.323497772216797,125288025,roberta-base
A toucan,is alive.,toucan,bird,1,-8.28437089920044,125288025,roberta-base
An owl,is alive.,owl,bird,1,-6.772512435913086,125288025,roberta-base
A pelican,is alive.,pelican,bird,1,-8.739310264587402,125288025,roberta-base
A goose,is alive.,goose,bird,1,-8.434929847717285,125288025,roberta-base
A vulture,is alive.,vulture,bird,1,-7.571990966796875,125288025,roberta-base
A stork,is alive.,stork,bird,1,-7.371715545654297,125288025,roberta-base
A buzzard,is alive.,buzzard,bird,1,-9.645474433898926,125288025,roberta-base
A swan,is alive.,swan,bird,1,-9.303864479064941,125288025,roberta-base
A flamingo,is alive.,flamingo,bird,1,-8.498908042907715,125288025,roberta-base
A duck,is alive.,duck,bird,1,-8.34886646270752,125288025,roberta-base
A peacock,is alive.,peacock,bird,1,-7.562705039978027,125288025,roberta-base
An egret,is alive.,egret,bird,1,-10.030571937561035,125288025,roberta-base
A chicken,is alive.,chicken,bird,1,-8.772994995117188,125288025,roberta-base
A turkey,is alive.,turkey,bird,1,-9.932745456695557,125288025,roberta-base
An ostrich,is alive.,ostrich,bird,1,-9.809282302856445,125288025,roberta-base
A titmouse,is alive.,titmouse,bird,1,-7.313239097595215,125288025,roberta-base
An emu,is alive.,emu,bird,1,-8.450212001800537,125288025,roberta-base
A penguin,is alive.,penguin,bird,1,-6.828096389770508,125288025,roberta-base
A bat,is alive.,bat,bird,1,-8.743796348571777,125288025,roberta-base
A robin,flies.,robin,bird,2,-14.005926132202148,125288025,roberta-base
A sparrow,flies.,sparrow,bird,2,-8.56647777557373,125288025,roberta-base
A bluejay,flies.,bluejay,bird,2,-9.50011920928955,125288025,roberta-base
A bluebird,flies.,bluebird,bird,2,-8.592101097106934,125288025,roberta-base
A canary,flies.,canary,bird,2,-10.5263671875,125288025,roberta-base
A blackbird,flies.,blackbird,bird,2,-8.375325202941895,125288025,roberta-base
A dove,flies.,dove,bird,2,-7.708620071411133,125288025,roberta-base
A lark,flies.,lark,bird,2,-8.528575420379639,125288025,roberta-base
