stimulus,item,category,rank,logprob,normalized_logprob,params,model
a doll is a toy.,doll,toy,1,-31.61022186279297,-4.515745980398996,116537088,openai-gpt
a top is a toy.,top,toy,2,-36.9552059173584,-5.2793151310512,116537088,openai-gpt
a jack-in-the-box is a toy.,jack-in-the-box,toy,3,-37.71634268760681,-2.9012571298159084,116537088,openai-gpt
a toy soldier is a toy.,toy soldier,toy,4,-36.8714542388916,-4.60893177986145,116537088,openai-gpt
a yo-yo is a toy.,yo-yo,toy,5,-36.47071027755737,-4.052301141950819,116537088,openai-gpt
a block is a toy.,block,toy,6,-40.70657539367676,-5.8152250562395364,116537088,openai-gpt
marbles are toys.,marbles,toy,7,-34.73983573913574,-6.947967147827148,116537088,openai-gpt
a rattle is a toy.,rattle,toy,8,-37.59283113479614,-5.370404447828021,116537088,openai-gpt
a stuffed animal is a toy.,stuffed animal,toy,9,-36.53621244430542,-4.5670265555381775,116537088,openai-gpt
a water pistol is a toy.,water pistol,toy,10,-38.46054935455322,-4.807568669319153,116537088,openai-gpt
a teddy bear is a toy.,teddy bear,toy,11,-35.06441307067871,-4.383051633834839,116537088,openai-gpt
a rocking horse is a toy.,rocking horse,toy,12,-38.476603984832764,-4.8095754981040955,116537088,openai-gpt
a doll house is a toy.,doll house,toy,13,-38.497398853302,-4.81217485666275,116537088,openai-gpt
a ball is a toy.,ball,toy,14,-33.44872212409973,-4.77838887487139,116537088,openai-gpt
jacks are toys.,jacks,toy,15,-36.35944318771362,-7.271888637542725,116537088,openai-gpt
paper dolls are toys.,paper dolls,toy,16,-36.369171142578125,-6.0615285237630205,116537088,openai-gpt
an erector set is a toy.,erector set,toy,17,-43.926119327545166,-4.880679925282796,116537088,openai-gpt
a hula hoop is a toy.,hula hoop,toy,18,-40.36686730384827,-4.485207478205363,116537088,openai-gpt
a jump rope is a toy.,jump rope,toy,19,-42.14023470878601,-5.267529338598251,116537088,openai-gpt
a pogo stick is a toy.,pogo stick,toy,20,-36.99469995498657,-4.11052221722073,116537088,openai-gpt
a clay is a toy.,clay,toy,21,-41.1712965965271,-5.881613799503872,116537088,openai-gpt
a wagon is a toy.,wagon,toy,22,-36.52740955352783,-5.2182013647896905,116537088,openai-gpt
a kite is a toy.,kite,toy,23,-36.24201965332031,-5.177431379045759,116537088,openai-gpt
a train is a toy.,train,toy,24,-36.55749773979187,-5.222499677113125,116537088,openai-gpt
a tricycle is a toy.,tricycle,toy,25,-35.93995141983032,-4.49249392747879,116537088,openai-gpt
a coloring book is a toy.,coloring book,toy,26,-39.5378475189209,-4.942230939865112,116537088,openai-gpt
crayons are toys.,crayons,toy,27,-36.76203918457031,-6.127006530761719,116537088,openai-gpt
a truck is a toy.,truck,toy,28,-34.99683237075806,-4.999547481536865,116537088,openai-gpt
a puzzle is a toy.,puzzle,toy,29,-38.96139073371887,-5.565912961959839,116537088,openai-gpt
a fire engine is a toy.,fire engine,toy,30,-38.599843978881836,-4.8249804973602295,116537088,openai-gpt
a balloon is a toy.,balloon,toy,31,-35.73005032539368,-5.104292903627668,116537088,openai-gpt
skates are toys.,skates,toy,32,-37.08131551742554,-7.416263103485107,116537088,openai-gpt
a baseball is a toy.,baseball,toy,33,-35.9008207321167,-5.128688676016671,116537088,openai-gpt
a drum is a toy.,drum,toy,34,-35.4846625328064,-5.069237504686628,116537088,openai-gpt
a football is a toy.,football,toy,35,-34.252020835876465,-4.893145833696638,116537088,openai-gpt
a game is a toy.,game,toy,36,-35.90312337875366,-5.129017625536237,116537088,openai-gpt
a swing is a toy.,swing,toy,37,-38.874502658843994,-5.553500379834857,116537088,openai-gpt
a boat is a toy.,boat,toy,38,-34.01878070831299,-4.859825815473284,116537088,openai-gpt
a monopoly is a toy.,monopoly,toy,39,-38.471927642822266,-5.495989663260324,116537088,openai-gpt
a sled is a toy.,sled,toy,40,-37.824514627456665,-5.403502089636667,116537088,openai-gpt
a seesaw is a toy.,seesaw,toy,41,-38.49026298522949,-4.8112828731536865,116537088,openai-gpt
stilts are toys.,stilts,toy,42,-37.36902141571045,-6.228170235951741,116537088,openai-gpt
checkers are toys.,checkers,toy,43,-36.290701389312744,-6.048450231552124,116537088,openai-gpt
a bat is a toy.,bat,toy,44,-34.65489387512207,-4.950699125017438,116537088,openai-gpt
a car is a toy.,car,toy,45,-32.029881715774536,-4.575697387967791,116537088,openai-gpt
an airplane is a toy.,airplane,toy,46,-34.35850763320923,-4.908358233315604,116537088,openai-gpt
a bicycle is a toy.,bicycle,toy,47,-35.23999881744385,-5.034285545349121,116537088,openai-gpt
a tractor is a toy.,tractor,toy,48,-35.75423240661621,-5.107747486659458,116537088,openai-gpt
a sandbox is a toy.,sandbox,toy,49,-40.551762342453,-5.068970292806625,116537088,openai-gpt
a bike is a toy.,bike,toy,50,-34.55363893508911,-4.936234133584159,116537088,openai-gpt
a bow and arrow is a toy.,bow and arrow,toy,51,-38.35245442390442,-4.261383824878269,116537088,openai-gpt
a rope is a toy.,rope,toy,52,-36.75853133201599,-5.25121876171657,116537088,openai-gpt
dishes are toys.,dishes,toy,53,-37.227397441864014,-7.445479488372802,116537088,openai-gpt
cards are toys.,cards,toy,54,-34.93551588058472,-6.9871031761169435,116537088,openai-gpt
a mitt is a toy.,mitt,toy,55,-40.67493033409119,-5.810704333441598,116537088,openai-gpt
a horse is a toy.,horse,toy,56,-31.638960361480713,-4.51985148021153,116537088,openai-gpt
a gun is a toy.,gun,toy,57,-30.75145959854126,-4.393065656934466,116537088,openai-gpt
animals are toys.,animals,toy,58,-32.13549566268921,-6.427099132537842,116537088,openai-gpt
a tennis racket is a toy.,tennis racket,toy,59,-37.4613733291626,-4.682671666145325,116537088,openai-gpt
books are toys.,books,toy,60,-32.99761343002319,-6.599522686004638,116537088,openai-gpt
a robin is a bird.,robin,bird,1,-30.62565517425537,-4.375093596322196,116537088,openai-gpt
a sparrow is a bird.,sparrow,bird,2,-29.352274894714355,-4.193182127816336,116537088,openai-gpt
a bluejay is a bird.,bluejay,bird,3,-36.7547824382782,-4.594347804784775,116537088,openai-gpt
a bluebird is a bird.,bluebird,bird,4,-32.034761905670166,-4.004345238208771,116537088,openai-gpt
a canary is a bird.,canary,bird,5,-32.36614799499512,-4.623735427856445,116537088,openai-gpt
a blackbird is a bird.,blackbird,bird,6,-30.281456470489502,-3.7851820588111877,116537088,openai-gpt
a dove is a bird.,dove,bird,7,-29.86662483215332,-4.266660690307617,116537088,openai-gpt
a lark is a bird.,lark,bird,8,-38.50950503349304,-5.501357861927578,116537088,openai-gpt
a swallow is a bird.,swallow,bird,9,-38.455498456954956,-5.493642636707851,116537088,openai-gpt
a parakeet is a bird.,parakeet,bird,10,-34.38906240463257,-3.821006933848063,116537088,openai-gpt
an oriole is a bird.,oriole,bird,11,-39.26226997375488,-5.6088957105364114,116537088,openai-gpt
a mockingbird is a bird.,mockingbird,bird,12,-33.76177215576172,-4.220221519470215,116537088,openai-gpt
a redbird is a bird.,redbird,bird,13,-33.524170875549316,-4.1905213594436646,116537088,openai-gpt
a wren is a bird.,wren,bird,14,-33.46070432662964,-4.780100618089948,116537088,openai-gpt
a finch is a bird.,finch,bird,15,-32.78005313873291,-4.682864734104702,116537088,openai-gpt
a starling is a bird.,starling,bird,16,-33.87872052192688,-4.23484006524086,116537088,openai-gpt
a cardinal is a bird.,cardinal,bird,17,-33.2828574180603,-4.754693916865757,116537088,openai-gpt
an eagle is a bird.,eagle,bird,18,-28.003490924835205,-4.000498703547886,116537088,openai-gpt
a hummingbird is a bird.,hummingbird,bird,19,-32.3332142829895,-4.619030611855643,116537088,openai-gpt
a seagull is a bird.,seagull,bird,20,-30.359419345855713,-4.337059906550816,116537088,openai-gpt
a woodpecker is a bird.,woodpecker,bird,21,-30.742443084716797,-4.391777583530971,116537088,openai-gpt
a pigeon is a bird.,pigeon,bird,22,-30.378538131713867,-4.33979116167341,116537088,openai-gpt
a thrush is a bird.,thrush,bird,23,-32.620593309402466,-4.077574163675308,116537088,openai-gpt
a falcon is a bird.,falcon,bird,24,-30.461819171905518,-4.35168845312936,116537088,openai-gpt
a crow is a bird.,crow,bird,25,-29.24729609489441,-4.178185156413487,116537088,openai-gpt
a hawk is a bird.,hawk,bird,26,-29.20804262161255,-4.172577517373221,116537088,openai-gpt
a raven is a bird.,raven,bird,27,-29.590821743011475,-4.227260249001639,116537088,openai-gpt
a goldfinch is a bird.,goldfinch,bird,28,-35.37400436401367,-4.421750545501709,116537088,openai-gpt
a parrot is a bird.,parrot,bird,29,-30.539449214935303,-4.362778459276472,116537088,openai-gpt
a sandpiper is a bird.,sandpiper,bird,30,-37.652846336364746,-4.706605792045593,116537088,openai-gpt
a pheasant is a bird.,pheasant,bird,31,-35.062045097351074,-3.895782788594564,116537088,openai-gpt
a catbird is a bird.,catbird,bird,32,-33.915435791015625,-4.239429473876953,116537088,openai-gpt
a crane is a bird.,crane,bird,33,-33.642815351486206,-4.806116478783744,116537088,openai-gpt
an albatross is a bird.,albatross,bird,34,-33.32987403869629,-4.166234254837036,116537088,openai-gpt
a condor is a bird.,condor,bird,35,-33.58272075653076,-4.197840094566345,116537088,openai-gpt
a toucan is a bird.,toucan,bird,36,-36.73064994812012,-4.591331243515015,116537088,openai-gpt
an owl is a bird.,owl,bird,37,-29.24305820465088,-4.177579743521554,116537088,openai-gpt
a pelican is a bird.,pelican,bird,38,-31.670016765594482,-4.52428810937064,116537088,openai-gpt
geese are birds.,geese,bird,39,-31.835681438446045,-6.367136287689209,116537088,openai-gpt
a vulture is a bird.,vulture,bird,40,-32.683226585388184,-4.669032369341169,116537088,openai-gpt
a stork is a bird.,stork,bird,41,-32.54263257980347,-4.067829072475433,116537088,openai-gpt
a buzzard is a bird.,buzzard,bird,42,-33.059653759002686,-4.722807679857526,116537088,openai-gpt
a swan is a bird.,swan,bird,43,-32.01969003677368,-4.574241433824811,116537088,openai-gpt
