preamble,stimulus,item,category,rank,score,params,model
A doll,is a toy.,doll,toy,1,-21.904846668243408,11812272,albert-base-v1
A top,is a toy.,top,toy,2,-21.76170063018799,11812272,albert-base-v1
A jack-in-the-box,is a toy.,jack-in-the-box,toy,3,-21.824783325195312,11812272,albert-base-v1
A toy soldier,is a toy.,toy soldier,toy,4,-9.095514297485352,11812272,albert-base-v1
A yo-yo,is a toy.,yo-yo,toy,5,-15.111806392669678,11812272,albert-base-v1
A block,is a toy.,block,toy,6,-28.05726671218872,11812272,albert-base-v1
Marbles,are toys.,marbles,toy,7,-18.25188159942627,11812272,albert-base-v1
A rattle,is a toy.,rattle,toy,8,-23.4732928276062,11812272,albert-base-v1
A stuffed animal,is a toy.,stuffed animal,toy,9,-23.438055515289307,11812272,albert-base-v1
A water pistol,is a toy.,water pistol,toy,10,-26.915149688720703,11812272,albert-base-v1
A teddy bear,is a toy.,teddy bear,toy,11,-23.202017784118652,11812272,albert-base-v1
A rocking horse,is a toy.,rocking horse,toy,12,-23.12246799468994,11812272,albert-base-v1
A doll house,is a toy.,doll house,toy,13,-24.128727436065674,11812272,albert-base-v1
A ball,is a toy.,ball,toy,14,-19.297892570495605,11812272,albert-base-v1
Jacks,are toys.,jacks,toy,15,-14.404738426208496,11812272,albert-base-v1
Paper dolls,are toys.,paper dolls,toy,16,-15.301851272583008,11812272,albert-base-v1
An erector set,is a toy.,erector set,toy,17,-24.527348518371582,11812272,albert-base-v1
A hula hoop,is a toy.,hula hoop,toy,18,-18.35055637359619,11812272,albert-base-v1
A jump rope,is a toy.,jump rope,toy,19,-22.31425380706787,11812272,albert-base-v1
A pogo stick,is a toy.,pogo stick,toy,20,-21.121041297912598,11812272,albert-base-v1
A clay,is a toy.,clay,toy,21,-19.112120628356934,11812272,albert-base-v1
A wagon,is a toy.,wagon,toy,22,-25.458445072174072,11812272,albert-base-v1
A kite,is a toy.,kite,toy,23,-17.74488878250122,11812272,albert-base-v1
A train,is a toy.,train,toy,24,-30.425381183624268,11812272,albert-base-v1
A tricycle,is a toy.,tricycle,toy,25,-19.9304838180542,11812272,albert-base-v1
A coloring book,is a toy.,coloring book,toy,26,-24.43009042739868,11812272,albert-base-v1
Crayons,are toys.,crayons,toy,27,-16.645913124084473,11812272,albert-base-v1
A truck,is a toy.,truck,toy,28,-26.072248458862305,11812272,albert-base-v1
A puzzle,is a toy.,puzzle,toy,29,-24.369553089141846,11812272,albert-base-v1
A fire engine,is a toy.,fire engine,toy,30,-26.691283226013184,11812272,albert-base-v1
A balloon,is a toy.,balloon,toy,31,-24.051712036132812,11812272,albert-base-v1
Skates,are toys.,skates,toy,32,-16.929519176483154,11812272,albert-base-v1
A baseball,is a toy.,baseball,toy,33,-16.616116523742676,11812272,albert-base-v1
A drum,is a toy.,drum,toy,34,-22.474515914916992,11812272,albert-base-v1
A football,is a toy.,football,toy,35,-19.07839012145996,11812272,albert-base-v1
A game,is a toy.,game,toy,36,-20.47123670578003,11812272,albert-base-v1
A swing,is a toy.,swing,toy,37,-22.261816024780273,11812272,albert-base-v1
A boat,is a toy.,boat,toy,38,-25.752047061920166,11812272,albert-base-v1
A monopoly,is a toy.,monopoly,toy,39,-20.899850368499756,11812272,albert-base-v1
A sled,is a toy.,sled,toy,40,-25.491112232208252,11812272,albert-base-v1
A seesaw,is a toy.,seesaw,toy,41,-23.295337200164795,11812272,albert-base-v1
Stilts,are toys.,stilts,toy,42,-15.998025894165039,11812272,albert-base-v1
Checkers,are toys.,checkers,toy,43,-17.335938930511475,11812272,albert-base-v1
