premise,conclusion,control,item,category,blankpredicate,item_word,category_word,predicate_id,argument_id,score,conclusion_only,control_score,shuffled_diff,shuffled_diff_sd,params,model
Dolls can be daxed.,All toys can be daxed.,All birds can be daxed.,doll,toy,can be,Dolls,toys,1,1,-14.080857753753662,-45.45521879196167,-18.967302322387695,4.601103782653809,1.4576663970947266,774031360,gpt2-large
Dolls can be wiffed.,All toys can be wiffed.,All birds can be wiffed.,doll,toy,can be,Dolls,toys,1,2,-14.466562747955322,-40.587738037109375,-19.637092113494873,3.697775363922119,1.264607548713684,774031360,gpt2-large
Dolls can be blicked.,All toys can be blicked.,All birds can be blicked.,doll,toy,can be,Dolls,toys,1,3,-16.04289674758911,-43.88587045669556,-20.55401849746704,3.0012125968933105,2.3032689094543457,774031360,gpt2-large
Dolls can be gyred.,All toys can be gyred.,All birds can be gyred.,doll,toy,can be,Dolls,toys,1,4,-16.54320001602173,-45.5983681678772,-19.730348587036133,3.53059458732605,1.5763756036758423,774031360,gpt2-large
Dolls can be gimbled.,All toys can be gimbled.,All birds can be gimbled.,doll,toy,can be,Dolls,toys,1,5,-15.279095649719238,-47.18358325958252,-19.690024375915527,4.456845283508301,1.1083910465240479,774031360,gpt2-large
Dolls are beamish.,All toys are beamish.,All birds are beamish.,doll,toy,are,Dolls,toys,2,1,-15.357285022735596,-43.79194641113281,-20.14410400390625,8.391485214233398,2.2674341201782227,774031360,gpt2-large
Dolls are slithy.,All toys are slithy.,All birds are slithy.,doll,toy,are,Dolls,toys,2,2,-14.33794116973877,-43.48717975616455,-17.318246841430664,3.093233108520508,2.1252336502075195,774031360,gpt2-large
Dolls are mimsy.,All toys are mimsy.,All birds are mimsy.,doll,toy,are,Dolls,toys,2,3,-15.595905780792236,-45.14215421676636,-19.08530855178833,7.788796424865723,5.373967170715332,774031360,gpt2-large
Dolls are vorpal.,All toys are vorpal.,All birds are vorpal.,doll,toy,are,Dolls,toys,2,4,-14.236400604248047,-42.027849197387695,-17.242980003356934,5.120741367340088,2.9232964515686035,774031360,gpt2-large
Dolls are frabjous.,All toys are frabjous.,All birds are frabjous.,doll,toy,are,Dolls,toys,2,5,-14.30807113647461,-35.90874481201172,-19.071540355682373,3.9397902488708496,1.365350365638733,774031360,gpt2-large
Dolls have wugs.,All toys have wugs.,All birds have wugs.,doll,toy,have,Dolls,toys,3,1,-13.626554012298584,-40.02010154724121,-15.792407035827637,5.225986480712891,1.727903962135315,774031360,gpt2-large
Dolls have feps.,All toys have feps.,All birds have feps.,doll,toy,have,Dolls,toys,3,2,-12.891685962677002,-43.63818168640137,-16.583309650421143,5.257755279541016,2.2956881523132324,774031360,gpt2-large
Dolls have blickets.,All toys have blickets.,All birds have blickets.,doll,toy,have,Dolls,toys,3,3,-18.04391098022461,-43.347347259521484,-17.98734188079834,2.206186056137085,2.4781196117401123,774031360,gpt2-large
Dolls have jabberwocks.,All toys have jabberwocks.,All birds have jabberwocks.,doll,toy,have,Dolls,toys,3,4,-14.868076801300049,-44.34858989715576,-16.834590435028076,11.036893844604492,4.227447032928467,774031360,gpt2-large
Dolls have toves.,All toys have toves.,All birds have toves.,doll,toy,have,Dolls,toys,3,5,-12.3988356590271,-43.29762935638428,-15.886484622955322,14.54938793182373,7.9128804206848145,774031360,gpt2-large
Dolls use a wug.,All toys use a wug.,All birds use a wug.,doll,toy,use a,Dolls,toys,4,1,-13.92940092086792,-47.97131824493408,-17.13160991668701,10.226659774780273,2.1783998012542725,774031360,gpt2-large
Dolls use a fep.,All toys use a fep.,All birds use a fep.,doll,toy,use a,Dolls,toys,4,2,-14.569992542266846,-49.720603942871094,-17.818420886993408,13.196599006652832,3.0107333660125732,774031360,gpt2-large
Dolls use a blicket.,All toys use a blicket.,All birds use a blicket.,doll,toy,use a,Dolls,toys,4,3,-14.573332786560059,-50.338736057281494,-17.68184757232666,10.887418746948242,2.164947986602783,774031360,gpt2-large
Dolls use a jabberwock.,All toys use a jabberwock.,All birds use a jabberwock.,doll,toy,use a,Dolls,toys,4,4,-14.20478630065918,-52.262366771698,-17.162080764770508,14.26831340789795,3.1800179481506348,774031360,gpt2-large
Dolls use a tove.,All toys use a tove.,All birds use a tove.,doll,toy,use a,Dolls,toys,4,5,-14.400553703308105,-50.21435213088989,-18.05118989944458,14.175869941711426,4.655037879943848,774031360,gpt2-large
Tops can be daxed.,All toys can be daxed.,All birds can be daxed.,top,toy,can be,Tops,toys,1,1,-18.345044136047363,-45.45521879196167,-18.160224437713623,6.748425483703613,2.154489040374756,774031360,gpt2-large
Tops can be wiffed.,All toys can be wiffed.,All birds can be wiffed.,top,toy,can be,Tops,toys,1,2,-19.10244131088257,-40.587738037109375,-20.179256916046143,4.776472568511963,1.3879261016845703,774031360,gpt2-large
Tops can be blicked.,All toys can be blicked.,All birds can be blicked.,top,toy,can be,Tops,toys,1,3,-19.650962352752686,-43.88587045669556,-19.77998113632202,4.7473344802856445,1.4920161962509155,774031360,gpt2-large
Tops can be gyred.,All toys can be gyred.,All birds can be gyred.,top,toy,can be,Tops,toys,1,4,-21.216381072998047,-45.5983681678772,-19.740755081176758,3.7146224975585938,1.7578966617584229,774031360,gpt2-large
Tops can be gimbled.,All toys can be gimbled.,All birds can be gimbled.,top,toy,can be,Tops,toys,1,5,-20.749931812286377,-47.18358325958252,-20.934526920318604,4.157519817352295,1.1046266555786133,774031360,gpt2-large
Tops are beamish.,All toys are beamish.,All birds are beamish.,top,toy,are,Tops,toys,2,1,-20.05864953994751,-43.79194641113281,-20.19775629043579,6.823663234710693,1.7895156145095825,774031360,gpt2-large
Tops are slithy.,All toys are slithy.,All birds are slithy.,top,toy,are,Tops,toys,2,2,-18.041308403015137,-43.48717975616455,-15.360280990600586,4.938906669616699,1.7229957580566406,774031360,gpt2-large
Tops are mimsy.,All toys are mimsy.,All birds are mimsy.,top,toy,are,Tops,toys,2,3,-18.666934967041016,-45.14215421676636,-18.19408416748047,11.365389823913574,3.9881296157836914,774031360,gpt2-large
Tops are vorpal.,All toys are vorpal.,All birds are vorpal.,top,toy,are,Tops,toys,2,4,-17.777437210083008,-42.027849197387695,-17.070873260498047,6.706864356994629,2.1818125247955322,774031360,gpt2-large
Tops are frabjous.,All toys are frabjous.,All birds are frabjous.,top,toy,are,Tops,toys,2,5,-18.913350582122803,-35.90874481201172,-18.682108402252197,5.828568458557129,0.9777346849441528,774031360,gpt2-large
Tops have wugs.,All toys have wugs.,All birds have wugs.,top,toy,have,Tops,toys,3,1,-17.596034049987793,-40.02010154724121,-16.190922737121582,7.228041648864746,2.7243990898132324,774031360,gpt2-large
Tops have feps.,All toys have feps.,All birds have feps.,top,toy,have,Tops,toys,3,2,-16.615904331207275,-43.63818168640137,-16.20502996444702,7.7020263671875,1.7390474081039429,774031360,gpt2-large
Tops have blickets.,All toys have blickets.,All birds have blickets.,top,toy,have,Tops,toys,3,3,-20.658530712127686,-43.347347259521484,-16.85532569885254,4.415220737457275,1.5256134271621704,774031360,gpt2-large
