preamble,stimulus,item,category,feature,score,params,model
A robin,is alive.,robin,bird,1,-6.756523132324219,356461657,roberta-large
A sparrow,is alive.,sparrow,bird,1,-7.787517547607422,356461657,roberta-large
A bluejay,is alive.,bluejay,bird,1,-6.953182220458984,356461657,roberta-large
A bluebird,is alive.,bluebird,bird,1,-6.765621185302734,356461657,roberta-large
A canary,is alive.,canary,bird,1,-4.027744293212891,356461657,roberta-large
A blackbird,is alive.,blackbird,bird,1,-7.618415832519531,356461657,roberta-large
A dove,is alive.,dove,bird,1,-7.9716949462890625,356461657,roberta-large
A lark,is alive.,lark,bird,1,-6.815757751464844,356461657,roberta-large
A swallow,is alive.,swallow,bird,1,-7.489067077636719,356461657,roberta-large
A parakeet,is alive.,parakeet,bird,1,-5.149478912353516,356461657,roberta-large
An oriole,is alive.,oriole,bird,1,-5.370304107666016,356461657,roberta-large
A mockingbird,is alive.,mockingbird,bird,1,-6.361148834228516,356461657,roberta-large
A redbird,is alive.,redbird,bird,1,-6.528236389160156,356461657,roberta-large
A wren,is alive.,wren,bird,1,-7.340019226074219,356461657,roberta-large
A finch,is alive.,finch,bird,1,-6.521427154541016,356461657,roberta-large
A starling,is alive.,starling,bird,1,-6.918479919433594,356461657,roberta-large
A cardinal,is alive.,cardinal,bird,1,-6.8954925537109375,356461657,roberta-large
An eagle,is alive.,eagle,bird,1,-9.059696197509766,356461657,roberta-large
A hummingbird,is alive.,hummingbird,bird,1,-8.167400360107422,356461657,roberta-large
A seagull,is alive.,seagull,bird,1,-6.275321960449219,356461657,roberta-large
A woodpecker,is alive.,woodpecker,bird,1,-7.4242401123046875,356461657,roberta-large
A pigeon,is alive.,pigeon,bird,1,-8.59670639038086,356461657,roberta-large
A thrush,is alive.,thrush,bird,1,-6.030750274658203,356461657,roberta-large
A falcon,is alive.,falcon,bird,1,-7.000907897949219,356461657,roberta-large
A crow,is alive.,crow,bird,1,-8.622283935546875,356461657,roberta-large
A hawk,is alive.,hawk,bird,1,-9.025585174560547,356461657,roberta-large
A raven,is alive.,raven,bird,1,-9.674972534179688,356461657,roberta-large
A goldfinch,is alive.,goldfinch,bird,1,-6.977699279785156,356461657,roberta-large
A parrot,is alive.,parrot,bird,1,-5.3848114013671875,356461657,roberta-large
A sandpiper,is alive.,sandpiper,bird,1,-7.45306396484375,356461657,roberta-large
A pheasant,is alive.,pheasant,bird,1,-7.997234344482422,356461657,roberta-large
A catbird,is alive.,catbird,bird,1,-5.344425201416016,356461657,roberta-large
A crane,is alive.,crane,bird,1,-13.832202911376953,356461657,roberta-large
An albatross,is alive.,albatross,bird,1,-8.063789367675781,356461657,roberta-large
A condor,is alive.,condor,bird,1,-7.652091979980469,356461657,roberta-large
A toucan,is alive.,toucan,bird,1,-6.581317901611328,356461657,roberta-large
An owl,is alive.,owl,bird,1,-8.521827697753906,356461657,roberta-large
A pelican,is alive.,pelican,bird,1,-9.105621337890625,356461657,roberta-large
A goose,is alive.,goose,bird,1,-8.13406753540039,356461657,roberta-large
A vulture,is alive.,vulture,bird,1,-6.917423248291016,356461657,roberta-large
A stork,is alive.,stork,bird,1,-6.959781646728516,356461657,roberta-large
A buzzard,is alive.,buzzard,bird,1,-7.087120056152344,356461657,roberta-large
A swan,is alive.,swan,bird,1,-6.950462341308594,356461657,roberta-large
A flamingo,is alive.,flamingo,bird,1,-6.904613494873047,356461657,roberta-large
A duck,is alive.,duck,bird,1,-6.422153472900391,356461657,roberta-large
A peacock,is alive.,peacock,bird,1,-7.238567352294922,356461657,roberta-large
An egret,is alive.,egret,bird,1,-6.46466064453125,356461657,roberta-large
A chicken,is alive.,chicken,bird,1,-5.6838836669921875,356461657,roberta-large
A turkey,is alive.,turkey,bird,1,-6.92950439453125,356461657,roberta-large
An ostrich,is alive.,ostrich,bird,1,-7.445106506347656,356461657,roberta-large
A titmouse,is alive.,titmouse,bird,1,-7.067848205566406,356461657,roberta-large
An emu,is alive.,emu,bird,1,-5.907501220703125,356461657,roberta-large
A penguin,is alive.,penguin,bird,1,-8.187942504882812,356461657,roberta-large
A bat,is alive.,bat,bird,1,-8.226402282714844,356461657,roberta-large
A robin,flies.,robin,bird,2,-12.485038757324219,356461657,roberta-large
A sparrow,flies.,sparrow,bird,2,-10.140987396240234,356461657,roberta-large
A bluejay,flies.,bluejay,bird,2,-7.938014984130859,356461657,roberta-large
