preamble,stimulus,item,category,rank,score,params,model
A doll,is a toy.,doll,toy,1,-4.779208183288574,125288025,roberta-base
A top,is a toy.,top,toy,2,-15.227568626403809,125288025,roberta-base
A jack-in-the-box,is a toy.,jack-in-the-box,toy,3,-9.763091087341309,125288025,roberta-base
A toy soldier,is a toy.,toy soldier,toy,4,-7.73236083984375,125288025,roberta-base
A yo-yo,is a toy.,yo-yo,toy,5,-5.025338172912598,125288025,roberta-base
A block,is a toy.,block,toy,6,-12.124208450317383,125288025,roberta-base
Marbles,are toys.,marbles,toy,7,-10.129499912261963,125288025,roberta-base
A rattle,is a toy.,rattle,toy,8,-7.799360275268555,125288025,roberta-base
A stuffed animal,is a toy.,stuffed animal,toy,9,-5.646451950073242,125288025,roberta-base
A water pistol,is a toy.,water pistol,toy,10,-7.277472496032715,125288025,roberta-base
A teddy bear,is a toy.,teddy bear,toy,11,-6.301918029785156,125288025,roberta-base
A rocking horse,is a toy.,rocking horse,toy,12,-7.824316024780273,125288025,roberta-base
A doll house,is a toy.,doll house,toy,13,-6.299257278442383,125288025,roberta-base
A ball,is a toy.,ball,toy,14,-8.318232536315918,125288025,roberta-base
Jacks,are toys.,jacks,toy,15,-11.84532880783081,125288025,roberta-base
Paper dolls,are toys.,paper dolls,toy,16,-11.081313133239746,125288025,roberta-base
An erector set,is a toy.,erector set,toy,17,-13.961677551269531,125288025,roberta-base
A hula hoop,is a toy.,hula hoop,toy,18,-6.3467206954956055,125288025,roberta-base
A jump rope,is a toy.,jump rope,toy,19,-7.572528839111328,125288025,roberta-base
A pogo stick,is a toy.,pogo stick,toy,20,-5.594595909118652,125288025,roberta-base
A clay,is a toy.,clay,toy,21,-8.933553695678711,125288025,roberta-base
A wagon,is a toy.,wagon,toy,22,-8.874302864074707,125288025,roberta-base
A kite,is a toy.,kite,toy,23,-8.366717338562012,125288025,roberta-base
A train,is a toy.,train,toy,24,-8.046526908874512,125288025,roberta-base
A tricycle,is a toy.,tricycle,toy,25,-7.119732856750488,125288025,roberta-base
A coloring book,is a toy.,coloring book,toy,26,-8.28541374206543,125288025,roberta-base
Crayons,are toys.,crayons,toy,27,-10.406352043151855,125288025,roberta-base
A truck,is a toy.,truck,toy,28,-8.153412818908691,125288025,roberta-base
A puzzle,is a toy.,puzzle,toy,29,-10.554976463317871,125288025,roberta-base
A fire engine,is a toy.,fire engine,toy,30,-8.385828971862793,125288025,roberta-base
A balloon,is a toy.,balloon,toy,31,-9.225956916809082,125288025,roberta-base
Skates,are toys.,skates,toy,32,-13.137252807617188,125288025,roberta-base
A baseball,is a toy.,baseball,toy,33,-9.12447738647461,125288025,roberta-base
A drum,is a toy.,drum,toy,34,-7.637970924377441,125288025,roberta-base
A football,is a toy.,football,toy,35,-8.290751457214355,125288025,roberta-base
A game,is a toy.,game,toy,36,-11.02860164642334,125288025,roberta-base
A swing,is a toy.,swing,toy,37,-11.359644889831543,125288025,roberta-base
A boat,is a toy.,boat,toy,38,-9.151555061340332,125288025,roberta-base
A monopoly,is a toy.,monopoly,toy,39,-15.772819519042969,125288025,roberta-base
A sled,is a toy.,sled,toy,40,-7.342877388000488,125288025,roberta-base
A seesaw,is a toy.,seesaw,toy,41,-12.2987060546875,125288025,roberta-base
Stilts,are toys.,stilts,toy,42,-12.62364387512207,125288025,roberta-base
Checkers,are toys.,checkers,toy,43,-14.825174331665039,125288025,roberta-base
A bat,is a toy.,bat,toy,44,-10.515421867370605,125288025,roberta-base
A car,is a toy.,car,toy,45,-7.362090110778809,125288025,roberta-base
An airplane,is a toy.,airplane,toy,46,-7.77094841003418,125288025,roberta-base
A bicycle,is a toy.,bicycle,toy,47,-9.159758567810059,125288025,roberta-base
A tractor,is a toy.,tractor,toy,48,-7.892226219177246,125288025,roberta-base
A sandbox,is a toy.,sandbox,toy,49,-8.536104202270508,125288025,roberta-base
A bike,is a toy.,bike,toy,50,-9.438809394836426,125288025,roberta-base
A bow and arrow,is a toy.,bow and arrow,toy,51,-6.885002136230469,125288025,roberta-base
A rope,is a toy.,rope,toy,52,-11.590302467346191,125288025,roberta-base
Dishes,are toys.,dishes,toy,53,-16.70374584197998,125288025,roberta-base
Cards,are toys.,cards,toy,54,-18.30194091796875,125288025,roberta-base
A mitt,is a toy.,mitt,toy,55,-11.400130271911621,125288025,roberta-base
A horse,is a toy.,horse,toy,56,-9.683178901672363,125288025,roberta-base
A gun,is a toy.,gun,toy,57,-8.429882049560547,125288025,roberta-base
Animals,are toys.,animals,toy,58,-9.798758506774902,125288025,roberta-base
A tennis racket,is a toy.,tennis racket,toy,59,-6.30157470703125,125288025,roberta-base
Books,are toys.,books,toy,60,-10.384832382202148,125288025,roberta-base
A robin,is a bird.,robin,bird,1,-3.758340835571289,125288025,roberta-base
A sparrow,is a bird.,sparrow,bird,2,-3.3045310974121094,125288025,roberta-base
A bluejay,is a bird.,bluejay,bird,3,-5.811761856079102,125288025,roberta-base
A bluebird,is a bird.,bluebird,bird,4,-2.319978713989258,125288025,roberta-base
A canary,is a bird.,canary,bird,5,-4.9106597900390625,125288025,roberta-base
A blackbird,is a bird.,blackbird,bird,6,-2.8401708602905273,125288025,roberta-base
A dove,is a bird.,dove,bird,7,-7.005127906799316,125288025,roberta-base
A lark,is a bird.,lark,bird,8,-6.1807146072387695,125288025,roberta-base
A swallow,is a bird.,swallow,bird,9,-8.785582542419434,125288025,roberta-base
A parakeet,is a bird.,parakeet,bird,10,-5.562231063842773,125288025,roberta-base
An oriole,is a bird.,oriole,bird,11,-6.076379776000977,125288025,roberta-base
A mockingbird,is a bird.,mockingbird,bird,12,-2.2776737213134766,125288025,roberta-base
A redbird,is a bird.,redbird,bird,13,-2.6913862228393555,125288025,roberta-base
A wren,is a bird.,wren,bird,14,-6.274605751037598,125288025,roberta-base
A finch,is a bird.,finch,bird,15,-6.131329536437988,125288025,roberta-base
A starling,is a bird.,starling,bird,16,-9.815817832946777,125288025,roberta-base
A cardinal,is a bird.,cardinal,bird,17,-7.946076393127441,125288025,roberta-base
An eagle,is a bird.,eagle,bird,18,-2.6110706329345703,125288025,roberta-base
A hummingbird,is a bird.,hummingbird,bird,19,-2.03533935546875,125288025,roberta-base
A seagull,is a bird.,seagull,bird,20,-4.783639907836914,125288025,roberta-base
A woodpecker,is a bird.,woodpecker,bird,21,-6.8122100830078125,125288025,roberta-base
