preamble,stimulus,item,category,rank,score,params,model
A gun is a,weapon.,gun,weapon,1,-2.4423065185546875,13546682,google_electra-small-generator
A pistol is a,weapon.,pistol,weapon,2,-2.3641014099121094,13546682,google_electra-small-generator
A revolver is a,weapon.,revolver,weapon,3,-3.4016408920288086,13546682,google_electra-small-generator
A machine gun is a,weapon.,machine gun,weapon,4,-1.8945655822753906,13546682,google_electra-small-generator
A rifle is a,weapon.,rifle,weapon,5,-2.0473976135253906,13546682,google_electra-small-generator
A switchblade is a,weapon.,switchblade,weapon,6,-9.180567741394043,13546682,google_electra-small-generator
A knife is a,weapon.,knife,weapon,7,-4.4934587478637695,13546682,google_electra-small-generator
A dagger is a,weapon.,dagger,weapon,8,-3.084845542907715,13546682,google_electra-small-generator
A shotgun is a,weapon.,shotgun,weapon,9,-3.2716445922851562,13546682,google_electra-small-generator
A sword is a,weapon.,sword,weapon,10,-2.550952911376953,13546682,google_electra-small-generator
A bomb is a,weapon.,bomb,weapon,11,-3.1879425048828125,13546682,google_electra-small-generator
A hand grenade is a,weapon.,hand grenade,weapon,12,-1.58013916015625,13546682,google_electra-small-generator
An atom bomb is a,weapon.,Atom bomb,weapon,13,-1.9859189987182617,13546682,google_electra-small-generator
A bayonet is a,weapon.,bayonet,weapon,14,-6.068630695343018,13546682,google_electra-small-generator
A spear is a,weapon.,spear,weapon,15,-3.0058746337890625,13546682,google_electra-small-generator
A bazooka is a,weapon.,bazooka,weapon,16,-6.365131378173828,13546682,google_electra-small-generator
A cannon is a,weapon.,cannon,weapon,17,-2.862185478210449,13546682,google_electra-small-generator
A bow and arrow is a,weapon.,bow and arrow,weapon,18,-2.5370540618896484,13546682,google_electra-small-generator
A club is a,weapon.,club,weapon,19,-8.537603378295898,13546682,google_electra-small-generator
A lance is a,weapon.,lance,weapon,20,-7.713868141174316,13546682,google_electra-small-generator
A brass knuckle is a,weapon.,brass knuckle,weapon,21,-4.992007255554199,13546682,google_electra-small-generator
A bullet is a,weapon.,bullet,weapon,22,-4.857021331787109,13546682,google_electra-small-generator
A tomahawk is a,weapon.,tomahawk,weapon,23,-5.448984622955322,13546682,google_electra-small-generator
A mortar is a,weapon.,mortar,weapon,24,-2.9755020141601562,13546682,google_electra-small-generator
An arrow is a,weapon.,arrow,weapon,25,-4.852882385253906,13546682,google_electra-small-generator
A blackjack is a,weapon.,blackjack,weapon,26,-6.126979827880859,13546682,google_electra-small-generator
A tank is a,weapon.,tank,weapon,27,-3.6241025924682617,13546682,google_electra-small-generator
Teargas is a,weapon.,teargas,weapon,28,-7.149568557739258,13546682,google_electra-small-generator
A missile is a,weapon.,missile,weapon,29,-2.002450942993164,13546682,google_electra-small-generator
A whip is a,weapon.,whip,weapon,30,-7.422452449798584,13546682,google_electra-small-generator
An ice pick is a,weapon.,ice pick,weapon,31,-6.928744792938232,13546682,google_electra-small-generator
A hatchet is a,weapon.,hatchet,weapon,32,-6.00644588470459,13546682,google_electra-small-generator
A slingshot is a,weapon.,slingshot,weapon,33,-4.106625556945801,13546682,google_electra-small-generator
A fist is a,weapon.,fist,weapon,34,-4.470828056335449,13546682,google_electra-small-generator
An axe is a,weapon.,axe,weapon,35,-2.6706104278564453,13546682,google_electra-small-generator
A bow is a,weapon.,bow,weapon,36,-4.859193801879883,13546682,google_electra-small-generator
A razor is a,weapon.,razor,weapon,37,-9.321357727050781,13546682,google_electra-small-generator
A razor blade is a,weapon.,razor blade,weapon,38,-5.247208595275879,13546682,google_electra-small-generator
A rocket is a,weapon.,rocket,weapon,39,-3.343905448913574,13546682,google_electra-small-generator
A judo is a,weapon.,judo,weapon,40,-6.810061931610107,13546682,google_electra-small-generator
A stick is a,weapon.,stick,weapon,41,-6.9948201179504395,13546682,google_electra-small-generator
A poison is a,weapon.,poison,weapon,42,-6.256608963012695,13546682,google_electra-small-generator
A rock is a,weapon.,rock,weapon,43,-8.078110694885254,13546682,google_electra-small-generator
A stone is a,weapon.,stone,weapon,44,-7.921170711517334,13546682,google_electra-small-generator
Gas is a,weapon.,gas,weapon,45,-5.245674133300781,13546682,google_electra-small-generator
A chain is a,weapon.,chain,weapon,46,-7.110064506530762,13546682,google_electra-small-generator
A scissor is a,weapon.,scissor,weapon,47,-7.248898506164551,13546682,google_electra-small-generator
A brick is a,weapon.,brick,weapon,48,-9.084403038024902,13546682,google_electra-small-generator
A pitchfork is a,weapon.,pitchfork,weapon,49,-4.336787223815918,13546682,google_electra-small-generator
A hammer is a,weapon.,hammer,weapon,50,-3.954385757446289,13546682,google_electra-small-generator
A word is a,weapon.,word,weapon,51,-9.050623893737793,13546682,google_electra-small-generator
A hand is a,weapon.,hand,weapon,52,-5.857712745666504,13546682,google_electra-small-generator
A pipe is a,weapon.,pipe,weapon,53,-9.228442192077637,13546682,google_electra-small-generator
A rope is a,weapon.,rope,weapon,54,-5.222480773925781,13546682,google_electra-small-generator
An airplane is a,weapon.,airplane,weapon,55,-5.941189289093018,13546682,google_electra-small-generator
A foot is a,weapon.,foot,weapon,56,-7.461044788360596,13546682,google_electra-small-generator
A car is a,weapon.,car,weapon,57,-6.884031295776367,13546682,google_electra-small-generator
A screwdriver is a,weapon.,screwdriver,weapon,58,-4.933622360229492,13546682,google_electra-small-generator
Glass is a,weapon.,glass,weapon,59,-8.238396644592285,13546682,google_electra-small-generator
A shoe is a,weapon.,shoe,weapon,60,-6.293765068054199,13546682,google_electra-small-generator
Orange is a,fruit.,orange,fruit,1,-5.65045166015625,13546682,google_electra-small-generator
Apple is a,fruit.,apple,fruit,2,-8.36771011352539,13546682,google_electra-small-generator
Banana is a,fruit.,banana,fruit,3,-4.512514114379883,13546682,google_electra-small-generator
Peach is a,fruit.,peach,fruit,4,-5.427264213562012,13546682,google_electra-small-generator
Pear is a,fruit.,pear,fruit,5,-4.179778099060059,13546682,google_electra-small-generator
Apricot is a,fruit.,apricot,fruit,6,-7.761915683746338,13546682,google_electra-small-generator
Tangerine is a,fruit.,tangerine,fruit,7,-5.739175796508789,13546682,google_electra-small-generator
Plum is a,fruit.,plum,fruit,8,-4.089778900146484,13546682,google_electra-small-generator
Grape is a,fruit.,grape,fruit,9,-5.374603271484375,13546682,google_electra-small-generator
Nectarine is a,fruit.,nectarine,fruit,10,-5.409131050109863,13546682,google_electra-small-generator
Strawberry is a,fruit.,strawberry,fruit,11,-5.039458274841309,13546682,google_electra-small-generator
Grapefruit is a,fruit.,grapefruit,fruit,12,-6.157617568969727,13546682,google_electra-small-generator
Berry is a,fruit.,berry,fruit,13,-5.877196788787842,13546682,google_electra-small-generator
Cherry is a,fruit.,cherry,fruit,14,-5.351454734802246,13546682,google_electra-small-generator
Pineapple is a,fruit.,pineapple,fruit,15,-5.255697250366211,13546682,google_electra-small-generator
Blackberry is a,fruit.,blackberry,fruit,16,-10.076855659484863,13546682,google_electra-small-generator
Melon is a,fruit.,melon,fruit,17,-10.682575225830078,13546682,google_electra-small-generator
Blueberry is a,fruit.,blueberry,fruit,18,-5.915999889373779,13546682,google_electra-small-generator
Raspberry is a,fruit.,raspberry,fruit,19,-6.1613006591796875,13546682,google_electra-small-generator
Lemon is a,fruit.,lemon,fruit,20,-5.965758323669434,13546682,google_electra-small-generator
Black raspberry is a,fruit.,black raspberry,fruit,21,-6.868971824645996,13546682,google_electra-small-generator
Boysenberry is a,fruit.,boysenberry,fruit,22,-9.876441955566406,13546682,google_electra-small-generator
Watermelon is a,fruit.,watermelon,fruit,23,-6.7705183029174805,13546682,google_electra-small-generator
Cantaloupe is a,fruit.,cantaloupe,fruit,24,-9.319331169128418,13546682,google_electra-small-generator
Lime is a,fruit.,lime,fruit,25,-6.29649019241333,13546682,google_electra-small-generator
Tangelo is a,fruit.,tangelo,fruit,26,-9.553644180297852,13546682,google_electra-small-generator
Papaya is a,fruit.,papaya,fruit,27,-9.23893928527832,13546682,google_electra-small-generator
Honeydew is a,fruit.,honeydew,fruit,28,-7.550795078277588,13546682,google_electra-small-generator
Fig is a,fruit.,fig,fruit,29,-11.996857643127441,13546682,google_electra-small-generator
Mango is a,fruit.,mango,fruit,30,-4.144057273864746,13546682,google_electra-small-generator
Guava is a,fruit.,guava,fruit,31,-5.695865631103516,13546682,google_electra-small-generator
