premise,conclusion,control,item,category,blankpredicate,item_word,category_word,predicate_id,argument_id,score,conclusion_only,control_score,shuffled_diff,shuffled_diff_sd,params,model
Dolls can be daxed.,All toys can be daxed.,All birds can be daxed.,doll,toy,can be,Dolls,toys,1,1,-7.191189765930176,-28.427141189575195,-9.397292137145996,-1.5612987279891968,1.7541176080703735,124697433,roberta-base
Dolls can be wiffed.,All toys can be wiffed.,All birds can be wiffed.,doll,toy,can be,Dolls,toys,1,2,-6.111705780029297,-21.341365814208984,-10.227161407470703,-0.08943958580493927,2.4586265087127686,124697433,roberta-base
Dolls can be blicked.,All toys can be blicked.,All birds can be blicked.,doll,toy,can be,Dolls,toys,1,3,-7.672710418701172,-33.67601203918457,-13.413495063781738,0.6002668142318726,1.9616018533706665,124697433,roberta-base
Dolls can be gyred.,All toys can be gyred.,All birds can be gyred.,doll,toy,can be,Dolls,toys,1,4,-8.161117553710938,-28.003792762756348,-9.987531661987305,0.7042716145515442,1.5106662511825562,124697433,roberta-base
Dolls can be gimbled.,All toys can be gimbled.,All birds can be gimbled.,doll,toy,can be,Dolls,toys,1,5,-6.300597190856934,-27.33781385421753,-8.256662368774414,-0.876232922077179,1.006359338760376,124697433,roberta-base
Dolls are beamish.,All toys are beamish.,All birds are beamish.,doll,toy,are,Dolls,toys,2,1,-6.881631851196289,-34.05780601501465,-8.735989570617676,5.931027412414551,1.9395148754119873,124697433,roberta-base
Dolls are slithy.,All toys are slithy.,All birds are slithy.,doll,toy,are,Dolls,toys,2,2,-7.586620330810547,-27.22343349456787,-8.170228958129883,-1.6737397909164429,0.7759252190589905,124697433,roberta-base
Dolls are mimsy.,All toys are mimsy.,All birds are mimsy.,doll,toy,are,Dolls,toys,2,3,-6.361490249633789,-33.94981384277344,-8.64293098449707,7.629124641418457,9.00904655456543,124697433,roberta-base
Dolls are vorpal.,All toys are vorpal.,All birds are vorpal.,doll,toy,are,Dolls,toys,2,4,-6.1181135177612305,-20.59376049041748,-6.888971328735352,0.35769253969192505,0.7501828670501709,124697433,roberta-base
Dolls are frabjous.,All toys are frabjous.,All birds are frabjous.,doll,toy,are,Dolls,toys,2,5,-6.633731842041016,-37.502267837524414,-9.62923812866211,-1.09574294090271,1.0714285373687744,124697433,roberta-base
Dolls have wugs.,All toys have wugs.,All birds have wugs.,doll,toy,have,Dolls,toys,3,1,-5.872258186340332,-30.718113899230957,-7.800161361694336,-0.6182050704956055,0.9559168815612793,124697433,roberta-base
Dolls have feps.,All toys have feps.,All birds have feps.,doll,toy,have,Dolls,toys,3,2,-6.800947189331055,-43.212724685668945,-7.444667816162109,-0.42575129866600037,1.456978440284729,124697433,roberta-base
Dolls have blickets.,All toys have blickets.,All birds have blickets.,doll,toy,have,Dolls,toys,3,3,-7.744792938232422,-45.587220191955566,-5.73553466796875,-0.8426473736763,2.195807933807373,124697433,roberta-base
Dolls have jabberwocks.,All toys have jabberwocks.,All birds have jabberwocks.,doll,toy,have,Dolls,toys,3,4,-9.282306671142578,-32.46194648742676,-8.660329818725586,-2.256171464920044,0.9283288717269897,124697433,roberta-base
Dolls have toves.,All toys have toves.,All birds have toves.,doll,toy,have,Dolls,toys,3,5,-16.505295753479004,-40.34956979751587,-13.576519966125488,4.973437309265137,4.601626873016357,124697433,roberta-base
